
[00:00:00.000 --> 00:00:09.800]  今天是第五個星期的主日
[00:00:09.800 --> 00:00:14.000]  今天應該會很開心
[00:00:14.000 --> 00:00:16.200]  不知道為什麼剛好編配
[00:00:16.200 --> 00:00:17.600]  我也是說第五個星期
[00:00:17.600 --> 00:00:19.200]  都是叫我說快一點的
[00:00:19.200 --> 00:00:20.400]  上一次呢
[00:00:20.400 --> 00:00:22.800]  上一次記不記得說的是什麼
[00:00:22.800 --> 00:00:25.200]  哇,很好記性啊
[00:00:25.200 --> 00:00:26.600]  恩順正義啊
[00:00:26.600 --> 00:00:27.400]  是啊
[00:00:27.400 --> 00:00:29.400]  那麼在之前這個月
[00:00:29.400 --> 00:00:32.000]  我們全部都在說羅馬書
[00:00:32.000 --> 00:00:36.600]  分別是在說《成聖之路》
[00:00:36.600 --> 00:00:39.200]  又在說上個星期
[00:00:39.200 --> 00:00:41.200]  記不記得上個星期
[00:00:41.200 --> 00:00:42.800]  Pastor Gavin說什麼
[00:00:42.800 --> 00:00:45.200]  上個星期
[00:00:45.200 --> 00:00:46.200]  哇,已經忘記了
[00:00:46.200 --> 00:00:48.000]  上個星期說律法
[00:00:48.000 --> 00:00:49.200]  律法的真義
[00:00:49.200 --> 00:00:51.600]  今天說的題目就是
[00:00:51.600 --> 00:00:58.600]  聖靈帶來生命的自由與釋放
[00:00:59.000 --> 00:01:01.200]  我想問一下在這一刻
[00:01:01.200 --> 00:01:03.200]  在這個時間裡面
[00:01:03.200 --> 00:01:07.200]  你覺得你最想要的自由是什麼呢
[00:01:07.200 --> 00:01:10.200]  你最想要的自由是什麼呢
[00:01:10.200 --> 00:01:13.000]  好,跟你旁邊那個
[00:01:13.000 --> 00:01:15.800]  給你們30秒互相交流一下
[00:01:15.800 --> 00:01:17.800]  你最想要的自由是什麼
[00:01:17.800 --> 00:01:19.800]  現在毫無顧慮的
[00:01:19.800 --> 00:01:21.200]  你的自由是什麼
[00:01:21.200 --> 00:01:23.200]  你想要的自由是什麼
[00:01:23.400 --> 00:01:25.400]  你的自由是什麼
[00:01:25.400 --> 00:01:27.400]  你的自由是什麼
[00:01:27.400 --> 00:01:29.400]  你的自由是什麼
[00:01:29.400 --> 00:01:31.400]  你的自由
[00:01:31.400 --> 00:01:33.400]  你的自由
[00:01:33.400 --> 00:01:37.400]  最想想你的自由是什麼
[00:01:37.400 --> 00:01:39.400]  我的自由
[00:01:39.400 --> 00:01:41.400]  最後15秒
[00:01:41.400 --> 00:01:43.400]  最後
[00:01:43.600 --> 00:01:45.600]  最後
[00:01:45.600 --> 00:01:59.600]  OK,時間到
[00:01:59.600 --> 00:02:01.600]  30秒很快就過去了
[00:02:01.600 --> 00:02:05.200]  我不知道你的自由會不會是
[00:02:05.200 --> 00:02:09.400]  當年我的年紀和你的年紀一樣的時候的自由
[00:02:09.400 --> 00:02:10.400]  在想什麼呢
[00:02:10.400 --> 00:02:13.400]  就是我當時
[00:02:13.400 --> 00:02:15.400]  好像你們這麼小的時候
[00:02:15.400 --> 00:02:19.400]  最好越快越離開家裡
[00:02:19.400 --> 00:02:21.400]  去讀書最好
[00:02:21.400 --> 00:02:24.400]  再不用被爸爸媽媽在那裡
[00:02:24.400 --> 00:02:26.400]  惡惡的
[00:02:26.400 --> 00:02:32.400]  這個就是當時想最自由的一個方法
[00:02:32.400 --> 00:02:34.400]  第一,不用在家裡
[00:02:34.400 --> 00:02:36.400]  當時我們沒有手機
[00:02:36.400 --> 00:02:38.400]  就不會經常被人說
[00:02:38.400 --> 00:02:40.400]  不要再把手機藏起來
[00:02:40.400 --> 00:02:42.400]  3,2,1,收起來
[00:02:42.400 --> 00:02:44.400]  不會的
[00:02:44.400 --> 00:02:47.400]  就很想離開家裡
[00:02:47.400 --> 00:02:49.400]  去讀書
[00:02:49.400 --> 00:02:52.400]  但是人就很奇怪
[00:02:52.400 --> 00:02:54.400]  我記得當年
[00:02:54.400 --> 00:02:57.400]  我真的要獲得這個自由的時候
[00:02:57.400 --> 00:02:59.400]  坐上飛機離開家裡
[00:02:59.400 --> 00:03:01.400]  很開心的,趙英
[00:03:01.400 --> 00:03:03.400]  但是不知道為什麼
[00:03:03.400 --> 00:03:06.400]  那一晚離開了
[00:03:06.400 --> 00:03:09.400]  坐飛機去了別的地方
[00:03:09.400 --> 00:03:11.400]  進到宿舍
[00:03:11.400 --> 00:03:13.400]  李英很開心
[00:03:13.400 --> 00:03:15.400]  但是不知道為什麼那一晚
[00:03:15.400 --> 00:03:17.400]  會哭的呢
