
[00:00:00.000 --> 00:00:02.000]  各位弟兄姊妹,主佬平安
[00:00:02.000 --> 00:00:06.000]  我首先很感謝成年區今天為我們獻詩
[00:00:06.000 --> 00:00:10.000]  很講得出我們作為傳徒人的心聲
[00:00:10.000 --> 00:00:14.000]  辛火永存,鼓勵弟兄姊妹
[00:00:14.000 --> 00:00:16.000]  當基督的精兵走在哪裏?
[00:00:16.000 --> 00:00:18.000]  擇路就容易走嗎?
[00:00:18.000 --> 00:00:21.000]  不容易走,但鼓勵大家不容易走
[00:00:21.000 --> 00:00:26.000]  擇路,不是因為我們很想糟蹋大家
[00:00:26.000 --> 00:00:29.000]  要走擇路,是因為我們每一個先走的人
[00:00:29.000 --> 00:00:33.000]  或者我的前輩,長輩,都是先走的人
[00:00:33.000 --> 00:00:36.000]  大家都是走在這條不容易的擇路裏
[00:00:36.000 --> 00:00:40.000]  我們互相勉勵,彼此支持,一路走下去,好嗎?
[00:00:40.000 --> 00:00:42.000]  阿門
[00:00:42.000 --> 00:00:47.000]  首先今天講到之前,我要感謝林牧師和Vita傳道
[00:00:47.000 --> 00:00:54.000]  因為本身我今天講到應該是被安排在晚課和早課
[00:00:54.000 --> 00:00:56.000]  但為何會變成中午課呢?
[00:00:57.000 --> 00:01:01.000]  因為昨天我的大兒子忽然間很不舒服,進了急症室
[00:01:01.000 --> 00:01:03.000]  於是我陪太太到急症室
[00:01:03.000 --> 00:01:09.000]  Vita傳道仗義相助,林牧師亦願意讓我們有這個調動的安排
[00:01:09.000 --> 00:01:14.000]  所以今天最後就是講中堂和午堂
[00:01:14.000 --> 00:01:24.000]  軟弱是我們越來越成長的時候越來越不想面對的東西
[00:01:25.000 --> 00:01:32.000]  所以我們會覺得軟弱就是弱,所以我們會刻意隱藏它
[00:01:32.000 --> 00:01:37.000]  但今天去講彼得前書,關於夫婦的相處之道的時候
[00:01:37.000 --> 00:01:46.000]  特意想和大家想一下,軟弱,夫婦相處裏面的軟弱究竟是甚麼一回事呢?
[00:01:46.000 --> 00:01:52.000]  我想問一下這個牌匾,哪個家庭是有類似的牌匾?
[00:01:53.000 --> 00:01:58.000]  這個牌匾是我從小到大家庭都是用這個牌匾的
[00:01:58.000 --> 00:02:03.000]  甚至我結婚的時候,都收了十個八個
[00:02:03.000 --> 00:02:10.000]  逐一送出,轉讓給有需要的人,可能他們都已經有十個八個了
[00:02:10.000 --> 00:02:12.000]  基督是我家之主
[00:02:13.000 --> 00:02:23.000]  基督是我家之主,都是我們每一個信徒家庭都遺依歸的學習主的說話
[00:02:23.000 --> 00:02:25.000]  我們都很想建立一個基督化的家庭
[00:02:25.000 --> 00:02:30.000]  但怎樣才算是一個基督化的家庭呢?
