
[00:00:00.000 --> 00:00:07.000]  敬請各位協會的同仁賞賞神話
[00:00:07.000 --> 00:00:23.000]  《十二支派》陣營的位置
[00:00:23.000 --> 00:00:27.000]  神將以色列人從埃及召出來
[00:00:27.000 --> 00:00:37.000]  在曠野中神要透過以色列人成立聖結的子民
[00:00:37.000 --> 00:00:43.000]  在1-4章中我們看到有十二支派陣營的位置
[00:00:43.000 --> 00:00:45.000]  來到我們今天看的經文
[00:00:45.000 --> 00:00:47.000]  五章的一至三十一節
[00:00:47.000 --> 00:00:49.000]  是屬於整個大段
[00:00:49.000 --> 00:00:52.000]  五章的一節到六章二十七節裏面
[00:00:52.000 --> 00:00:54.000]  如果你留意看整段經文
[00:00:54.000 --> 00:00:57.000]  就是在說這班被安排好的以色列人
[00:00:57.000 --> 00:01:00.000]  他們一些律法上的要求
[00:01:00.000 --> 00:01:02.000]  當然這些律法都是教導他們
[00:01:02.000 --> 00:01:07.000]  關乎一班聖結群體的要求
[00:01:07.000 --> 00:01:14.000]  用我們今天簡單來說是一些條例或是一些律法
[00:01:14.000 --> 00:01:17.000]  而我們今天看的五章一至三十一節
[00:01:17.000 --> 00:01:21.000]  很明顯是有凸顯三個律例
[00:01:21.000 --> 00:01:22.000]  如果你回去看聖經裏面
[00:01:22.000 --> 00:01:25.000]  很明顯這三個分段很清晰
[00:01:25.000 --> 00:01:27.000]  因為他都是用耶和華和摩西港
[00:01:27.000 --> 00:01:29.000]  耶和華和摩西港
[00:01:29.000 --> 00:01:33.000]  作為段落不一樣的地方
[00:01:33.000 --> 00:01:36.000]  分別是一至四節一段
[00:01:36.000 --> 00:01:37.000]  五至十節一段
[00:01:37.000 --> 00:01:39.000]  十一至三十一節一段
[00:01:39.000 --> 00:01:42.000]  所以今天我們盼望從這三個條例裏面
[00:01:42.000 --> 00:01:44.000]  有一些學習
[00:01:44.000 --> 00:01:46.000]  不過很多時候在舊約裏面
[00:01:46.000 --> 00:01:48.000]  當我們說這些條例的時候
[00:01:48.000 --> 00:01:54.000]  大部分其實都是只給猶太人
[00:01:54.000 --> 00:01:57.000]  其實跟我們的關係是比較遠一點
[00:01:57.000 --> 00:02:00.000]  不過盼望我們今天能夠明白
[00:02:00.000 --> 00:02:02.000]  這個條例的精髓
[00:02:02.000 --> 00:02:05.000]  和對我們一些的幫助
[00:02:05.000 --> 00:02:08.000]  我們看第一個就是一節五節
[00:02:08.000 --> 00:02:11.000]  很清楚的這個簡單的一節四節裏面
[00:02:11.000 --> 00:02:16.000]  提出有三類的人要被趕出營
[00:02:16.000 --> 00:02:19.000]  當中神要潔淨營地
[00:02:19.000 --> 00:02:22.000]  以不潔的去隔離
[00:02:22.000 --> 00:02:25.000]  當然哪三類的人要隔離呢
[00:02:25.000 --> 00:02:30.000]  很清楚的第一個就是長大麻風的人
[00:02:30.000 --> 00:02:32.000]  當然這個大麻風在原來的文字
[00:02:32.000 --> 00:02:34.000]  可能不只是限於大麻風
[00:02:34.000 --> 00:02:39.000]  應該是包括一切和皮膚病有關
[00:02:39.000 --> 00:02:40.000]  為什麼呢 簡單來說
[00:02:40.000 --> 00:02:43.000]  如果從一個衛生的角度去看
[00:02:43.000 --> 00:02:44.000]  如果當時的營裏面
[00:02:44.000 --> 00:02:47.000]  神要讓這些營的人能夠有安全
[00:02:47.000 --> 00:02:48.000]  你想像一下
[00:02:48.000 --> 00:02:52.000]  如果一個傳染病的皮膚病出現的時候
[00:02:52.000 --> 00:02:55.000]  這個群體就很容易被威脅
[00:02:55.000 --> 00:02:57.000]  如果神要設立一群群體
[00:02:57.000 --> 00:03:00.000]  代表他在地上的代表的時候
[00:03:00.000 --> 00:03:04.000]  這個群體的生存就會受到威脅
[00:03:04.000 --> 00:03:06.000]  所以要將這個大麻風
[00:03:06.000 --> 00:03:08.000]  或者皮膚病的人
[00:03:08.000 --> 00:03:11.000]  趁機用一個比較嚴厲的時間
[00:03:11.000 --> 00:03:14.000]  趕他們出營
[00:03:14.000 --> 00:03:15.000]  當然趕他們出營
[00:03:15.000 --> 00:03:17.000]  是表示在外面的地方
[00:03:17.000 --> 00:03:19.000]  是可以讓他們一段時間
[00:03:19.000 --> 00:03:22.000]  可能康復或者修復的時候
[00:03:22.000 --> 00:03:24.000]  就可以再回到這個營
[00:03:24.000 --> 00:03:27.000]  第二個提出的是患流症
[00:03:27.000 --> 00:03:28.000]  什麼叫流症呢
[00:03:28.000 --> 00:03:29.000]  其實簡單來說
[00:03:29.000 --> 00:03:31.000]  就是一切在身體裏面
[00:03:31.000 --> 00:03:34.000]  會流出來的液體的一些情況
[00:03:34.000 --> 00:03:36.000]  不過根據如果你說
[00:03:36.000 --> 00:03:39.000]  常聞是和一個傳染性有關的
[00:03:39.000 --> 00:03:40.000]  我相信這裡說的流症
[00:03:40.000 --> 00:03:44.000]  可能和我們今天所說的這個淋病
[00:03:44.000 --> 00:03:48.000]  或者一些和性有關的傳染病
[00:03:48.000 --> 00:03:51.000]  可能是有比較直接的關係
[00:03:51.000 --> 00:03:53.000]  簡單來說這個患流症
[00:03:53.000 --> 00:03:57.000]  都是一種帶有傳染性的一種的疾病
[00:03:57.000 --> 00:04:00.000]  而第三種我們見到要趕出營的
[00:04:00.000 --> 00:04:03.000]  就是因死屍而不潔
[00:04:03.000 --> 00:04:04.000]  當然有兩個可能性
[00:04:04.000 --> 00:04:06.000]  一個是禮儀上不潔
[00:04:06.000 --> 00:04:07.000]  一個是真的在
[00:04:07.000 --> 00:04:08.000]  你可以想像一下
[00:04:08.000 --> 00:04:10.000]  當時他們在曠野
[00:04:10.000 --> 00:04:14.000]  曠野的地方相對天氣很侷熱
[00:04:14.000 --> 00:04:16.000]  在這麼侷熱的情況下
[00:04:16.000 --> 00:04:18.000]  如果屍體有一點病菌
[00:04:18.000 --> 00:04:23.000]  其實很容易帶來很嚴重的傳染性
[00:04:23.000 --> 00:04:25.000]  無論是直接碰到屍體
[00:04:25.000 --> 00:04:27.000]  或者間接碰到屍體
[00:04:27.000 --> 00:04:31.000]  都很容易造成這個影響
