
[00:00:00.000 --> 00:00:02.880]  好 各位弟兄姐妹 大家逐內平安
[00:00:02.880 --> 00:00:06.200]  很感恩又在一個主日的時候
[00:00:06.200 --> 00:00:09.240]  和大家相聚 那麼特別今天的主日呢
[00:00:09.240 --> 00:00:11.980]  還同樣是父親節
[00:00:11.980 --> 00:00:14.920]  那麼在祝願所有的父親
[00:00:14.920 --> 00:00:17.920]  還有屬靈的父親 父親節快樂之外呢
[00:00:17.920 --> 00:00:20.660]  我們也要同心的
[00:00:20.660 --> 00:00:23.880]  將這份讚美歸於我們在天上的父
[00:00:23.880 --> 00:00:24.880]  將這份讚美歸於我們在天上的父
[00:00:24.880 --> 00:00:28.380]  所以今天呢 也會要和大家分享的一個講題呢
[00:00:28.380 --> 00:00:31.380]  叫做 蒙福的父親
[00:00:31.380 --> 00:00:32.380]  叫做 蒙福的父親
[00:00:32.380 --> 00:00:35.960]  那麼我們也是透過這樣一個主題
[00:00:35.960 --> 00:00:36.960]  那麼我們也是透過這樣一個主題
[00:00:36.960 --> 00:00:41.160]  看到蒙福的父親
[00:00:41.160 --> 00:00:44.320]  究竟是怎麼樣把這樣一種屬天的福氣
[00:00:44.320 --> 00:00:46.360]  帶到自己的家中
[00:00:46.360 --> 00:00:49.720]  得蒙救贖 然後整個家
[00:00:49.720 --> 00:00:52.760]  進入到了方舟裡面去
[00:00:52.760 --> 00:00:56.160]  那麼作為一個爸爸 父親
[00:00:56.160 --> 00:00:58.980]  這一點也不容易 在期間
[00:00:58.980 --> 00:01:01.300]  默默為家庭付出
[00:01:01.300 --> 00:01:04.920]  有各樣的辛苦都很少表露
[00:01:04.920 --> 00:01:07.720]  各樣的壓力自己在承擔
[00:01:07.720 --> 00:01:10.320]  在外面東奔西跑
[00:01:10.320 --> 00:01:13.920]  按著這樣一種的辛勞啊 有有才的
[00:01:13.920 --> 00:01:14.920]  朋友啊
[00:01:14.920 --> 00:01:17.920]  他就去看這個字
[00:01:17.920 --> 00:01:18.920]  他就去看這個字
[00:01:18.920 --> 00:01:20.360]  他就發現
[00:01:20.360 --> 00:01:22.040]  爸爸的爸字
[00:01:22.040 --> 00:01:25.520]  把它翻轉以後再打橫
[00:01:25.740 --> 00:01:27.740]  他有一個特別的發現
[00:01:27.740 --> 00:01:31.080]  變成了另外一個字
[00:01:31.080 --> 00:01:32.820]  大家有沒有想過這個發現是什麼
[00:01:32.820 --> 00:01:35.060]  有的有發現過
[00:01:35.060 --> 00:01:38.960]  好 我們來看一看這樣一個有趣的發現
[00:01:38.960 --> 00:01:41.960]  (觀眾)狗
[00:01:41.960 --> 00:01:43.960]  (觀眾)狗
[00:01:43.960 --> 00:01:45.960]  (觀眾)狗
[00:01:45.960 --> 00:01:47.960]  (觀眾)狗
[00:01:47.960 --> 00:01:49.960]  (觀眾)狗
[00:01:49.960 --> 00:01:51.960]  (觀眾)狗
[00:01:51.960 --> 00:01:53.960]  (觀眾)狗
[00:01:53.960 --> 00:01:55.960]  (觀眾)狗
[00:01:55.960 --> 00:01:58.960]  哦 竟然是這個狗字啊
[00:01:58.960 --> 00:02:01.960]  所以呢 很多朋友也調侃啊
[00:02:01.960 --> 00:02:04.960]  父親不容易做啊 累得像狗一樣啊
[00:02:04.960 --> 00:02:06.960]  哈哈哈哈
[00:02:06.960 --> 00:02:09.960]  那麼我的孩子也發現了這個有趣的事情以後呢
[00:02:09.960 --> 00:02:12.960]  也都在調侃啊
[00:02:12.960 --> 00:02:15.960]  啊 這個竟然會成為這樣一個字啊
[00:02:15.960 --> 00:02:18.960]  那我也只好鼓勵他說 哎 爸爸不容易啊
[00:02:18.960 --> 00:02:21.960]  那如果守護在你旁邊
[00:02:21.960 --> 00:02:24.960]  作為你生命中的陪伴
[00:02:24.960 --> 00:02:27.960]  指引 成為那大牧者的牧羊犬啊
[00:02:27.960 --> 00:02:30.960]  能夠照顧好你這個小羊呢
[00:02:30.960 --> 00:02:33.960]  爸爸也就心滿意足了
[00:02:33.960 --> 00:02:36.960]  那麼過了很多次的父親節啊
[00:02:36.960 --> 00:02:39.960]  每一次呢 都是收到了很多的祝賀
