
[00:00:00.000 --> 00:00:13.000]  首先我想回顧上星期講了什麼
[00:00:13.000 --> 00:00:31.000]  在耶穌進入耶穌教時,他知道最後一天將會到來
[00:00:31.000 --> 00:00:49.000]  例如保羅進入羅馬教時,他知道他有一個最後的審訊
[00:00:49.000 --> 00:00:59.000]  耶穌進入耶穌教時,他騎著什麼? 是不是一匹馬? 不是,不是一匹馬
[00:00:59.000 --> 00:01:04.000]  平時皇帝是騎著一匹馬的,是一匹馬
[00:01:04.000 --> 00:01:10.000]  它代表著他有力量、有權力、有勝利
[00:01:10.000 --> 00:01:19.000]  但耶穌是騎著一匹馬,他騎著一匹馬代表著平安和和平
[00:01:19.000 --> 00:01:24.000]  我們今天開始看耶穌挑戰權力
[00:01:24.000 --> 00:01:27.000]  他挑戰的權力有三部分
[00:01:27.000 --> 00:01:36.000]  第一是他的權力,第二是他的身份,第三是他的政策
[00:01:36.000 --> 00:01:47.000]  我們看到在這個經文之前,耶穌在教堂上翻了桌子
[00:01:47.000 --> 00:01:50.000]  為什麼他翻桌子呢?因為他很不開心
[00:01:50.000 --> 00:02:00.000]  為什麼這些人用了我爸爸的家去賣東西、騙人錢呢?
[00:02:00.000 --> 00:02:06.000]  他很生氣,那些權力就質問他
[00:02:06.000 --> 00:02:10.000]  告訴我們,你用什麼權力做這些事?
[00:02:10.000 --> 00:02:13.000]  他們說,誰給你這個權力?
[00:02:13.000 --> 00:02:25.000]  他回答,我問你這個問題,告訴我,耶穌的聖餐是從天上還是人類的?
[00:02:25.000 --> 00:02:34.000]  他們在他們之間討論,說,如果我們說是從天上,他會問,你為什麼不相信他?
[00:02:34.000 --> 00:02:44.000]  但如果我們說是人類的,那些人都會懲罰我們,因為他們確信耶穌是一個神父
[00:02:44.000 --> 00:02:48.000]  他們回答,我們不知道從哪裡來的
[00:02:48.000 --> 00:02:55.000]  耶穌說,我不會告訴你,我用什麼權力做這些事
[00:02:55.000 --> 00:03:08.000]  耶穌回答他們,用這個問題,你覺得約翰用什麼權力去浸禮?
[00:03:08.000 --> 00:03:17.000]  他們說不知道,因為他們不想承認約翰是對的
[00:03:17.000 --> 00:03:20.000]  約翰是怎樣?
[00:03:20.000 --> 00:03:29.000]  約翰是承認耶穌是來臨的 Messiah
[00:03:29.000 --> 00:03:34.000]  他自己說,我不是那個 Messiah
[00:03:34.000 --> 00:03:44.000]  他承認,他就是那個從森林中,從野外,準備路向主的
[00:03:44.000 --> 00:03:47.000]  他準備路向 Messiah
[00:03:47.000 --> 00:03:52.000]  他承認耶穌是 Messiah
[00:03:52.000 --> 00:03:57.000]  他想讓耶穌浸禮,去祭拜他
