
[00:00:00.000 --> 00:00:02.000]  大家叫我安然也可以
[00:00:02.000 --> 00:00:03.200]  我先介紹一下自己
[00:00:03.200 --> 00:00:05.200]  這張照片是我十年前的樣子
[00:00:05.200 --> 00:00:07.800]  我想問大家能否猜到我是讀什麼科目的
[00:00:07.800 --> 00:00:08.800]  謝謝你 說我帥
[00:00:08.800 --> 00:00:10.000]  讀什麼科目的呢?
[00:00:10.000 --> 00:00:10.600]  你猜猜
[00:00:10.600 --> 00:00:11.400]  我以前
[00:00:11.400 --> 00:00:12.400]  化學科
[00:00:12.400 --> 00:00:13.600]  不是
[00:00:13.600 --> 00:00:14.400]  還有沒有?
[00:00:14.400 --> 00:00:15.200]  (教授:數學)
[00:00:15.200 --> 00:00:16.000]  不用了
[00:00:16.000 --> 00:00:16.400]  (教授:化學)
[00:00:16.400 --> 00:00:17.600]  化學科 沒錯
[00:00:17.600 --> 00:00:19.600]  這個是十幾年前的事
[00:00:19.600 --> 00:00:21.600]  在其中一間大學
[00:00:21.600 --> 00:00:23.000]  我做那些腦術
[00:00:23.000 --> 00:00:25.600]  其實是我研究新科學的
[00:00:25.600 --> 00:00:27.400]  即是腦神經科學
[00:00:27.400 --> 00:00:31.800]  我會把腦部打藥
[00:00:31.800 --> 00:00:33.600]  令到某一個位置消失
[00:00:33.600 --> 00:00:38.600]  我研究了柏金遜症
[00:00:38.600 --> 00:00:39.400]  在香港那裡
[00:00:39.400 --> 00:00:43.200]  然後我再去英國研究阿茲密克症
[00:00:43.200 --> 00:00:44.200]  全部都是跟腦有關
[00:00:44.200 --> 00:00:45.200]  研究了一段時間
[00:00:45.200 --> 00:00:47.600]  然後回到港大醫學院再研究一點
[00:00:47.600 --> 00:00:49.600]  然後我就轉行了
[00:00:49.600 --> 00:00:51.800]  我現在在一間基督教機構工作
[00:00:51.800 --> 00:00:54.200]  這個就是我的名字 安然
[00:00:54.200 --> 00:00:56.000]  我讀化學科
[00:00:56.000 --> 00:00:57.000]  剛才答對了
[00:00:57.000 --> 00:00:58.000]  因為大家很聰明
[00:00:58.000 --> 00:01:00.000]  有一次我去學校分享的時候
[00:01:00.000 --> 00:01:01.400]  我給這幅相出來
[00:01:01.400 --> 00:01:03.200]  他們說我做滅鼠
[00:01:03.200 --> 00:01:06.600]  但我不是說滅鼠講座的
[00:01:06.600 --> 00:01:07.600]  好
[00:01:07.600 --> 00:01:09.600]  剛才說了
[00:01:09.600 --> 00:01:11.600]  我再進修
[00:01:11.600 --> 00:01:13.600]  我是基督徒
[00:01:13.600 --> 00:01:14.600]  我婆婆是基督徒
[00:01:14.600 --> 00:01:16.000]  所以我信三代
[00:01:16.000 --> 00:01:19.000]  哪個青少年是信二代的?
[00:01:19.000 --> 00:01:20.600]  你父母是基督徒的
[00:01:20.600 --> 00:01:21.600]  可以舉手
[00:01:21.600 --> 00:01:22.600]  好 非常好
[00:01:22.600 --> 00:01:25.600]  好
[00:01:25.600 --> 00:01:27.600]  我發現我為什麼這麼喜歡拜訪
[00:01:27.600 --> 00:01:30.600]  拜訪我發現我自己可以認識自己是誰
[00:01:30.600 --> 00:01:32.600]  我以前出生的時候
[00:01:32.600 --> 00:01:33.600]  慢慢長大
[00:01:33.600 --> 00:01:35.600]  你都不是決定你出生
[00:01:35.600 --> 00:01:37.600]  但我不知道我是誰
[00:01:37.600 --> 00:01:38.600]  拜訪那裡研究
[00:01:38.600 --> 00:01:40.600]  終於都發現很神奇
[00:01:40.600 --> 00:01:42.600]  拜訪那裡的什麼心肺功能
[00:01:42.600 --> 00:01:43.600]  有什麼雙循環系統
[00:01:43.600 --> 00:01:46.600]  我覺得上帝的精心創作真的很厲害
[00:01:46.600 --> 00:01:48.600]  但我研究到他的極限
[00:01:48.600 --> 00:01:50.600]  我發現還有一些東西
[00:01:50.600 --> 00:01:51.600]  還有多一些
[00:01:51.600 --> 00:01:53.600]  為什麼拜訪到盡頭好像沒有
[00:01:53.600 --> 00:01:55.600]  和動物其實沒有什麼分別
[00:01:55.600 --> 00:01:57.600]  我後來再研究的時候
[00:01:57.600 --> 00:01:58.600]  發現人都有尊嚴
[00:01:58.600 --> 00:02:00.600]  但尊嚴這件事很搞笑
[00:02:00.600 --> 00:02:01.600]  在腦裡不停地找
[00:02:01.600 --> 00:02:03.600]  找到尊嚴都找不到
[00:02:03.600 --> 00:02:05.600]  所以有一些價值可能是信仰
