
[00:00:00.000 --> 00:00:04.000]  【看人生的意義】
[00:00:04.000 --> 00:00:12.000]  好的,弟兄姐妹,今天跟大家分享的是摩西看人生的意義,
[00:00:12.000 --> 00:00:16.000]  經文是取自詩篇90篇。
[00:00:16.000 --> 00:00:21.000]  那麼,我們上次看了所羅門王看人生的意義,
[00:00:21.000 --> 00:00:26.000]  今天我們要一起來探討摩西怎麼樣看人生的意義。
[00:00:26.000 --> 00:00:30.000]  摩西也有很多不同的經歷,
[00:00:30.000 --> 00:00:34.000]  也是讓我們知道他是神重用的僕人,
[00:00:34.000 --> 00:00:37.000]  他的一生跟上帝經歷了很多,
[00:00:37.000 --> 00:00:41.000]  到底他怎麼樣看人生的意義呢?
[00:00:41.000 --> 00:00:46.000]  我們看到他有一些的背景,我在這邊也列出來了。
[00:00:46.000 --> 00:00:51.000]  當然我們知道他曾經也是埃及的其中一個王子,
[00:00:51.000 --> 00:00:58.000]  因為當時法老要把越生越多的西伯來人的男嬰都殺掉,
[00:00:58.000 --> 00:01:04.000]  結果他母親就很聰明的就把他放在一個胡草箱裡面,
[00:01:04.000 --> 00:01:07.000]  在尼羅河這樣的放出去,
[00:01:07.000 --> 00:01:14.000]  然後就上帝的安排,就讓法老的女兒找到了他,
[00:01:14.000 --> 00:01:20.000]  然後就很喜愛他,然後摩西就在埃及的皇宮裡面長大的,
[00:01:20.000 --> 00:01:30.000]  所以就非常有學識,也有很多的比武、駕馭、馬車的能力。
[00:01:30.000 --> 00:01:33.000]  他有很多不同的經歷,
[00:01:33.000 --> 00:01:41.000]  其中如果我們說所羅門王建聖殿,摩西負責建第一個會墓,
[00:01:41.000 --> 00:01:45.000]  就是讓上帝與人同住的地方,
[00:01:45.000 --> 00:01:48.000]  上帝居住在人世間的會墓。
[00:01:48.000 --> 00:01:51.000]  所以也是非常了不起的成就,
[00:01:51.000 --> 00:01:57.000]  當他們都真的不知道怎麼樣跟上帝來相處的時候,
[00:01:57.000 --> 00:02:02.000]  一個神聖的上帝怎麼能住在有罪的人當中,
[00:02:02.000 --> 00:02:06.000]  上帝揀選了摩西給他很多的指示,
[00:02:06.000 --> 00:02:10.000]  摩西就按照耶和華所吩咐的就建了會墓。
[00:02:10.000 --> 00:02:15.000]  當然他還更厲害了,他還能夠行神跡,
[00:02:15.000 --> 00:02:18.000]  當然是借著上帝的幫助,
[00:02:18.000 --> 00:02:25.000]  他把這麼多的以色列人要從軍力強大的埃及法老的手中,
[00:02:25.000 --> 00:02:30.000]  把以色列人救出來,脫離埃及這個為奴之地,
[00:02:30.000 --> 00:02:33.000]  他們在那邊當作是奴隸的地方。
[00:02:33.000 --> 00:02:38.000]  當然最出名的就是我們人人皆知的過鴻海的事件,
[00:02:38.000 --> 00:02:45.000]  上帝就與他同在,他就憑著信心看見鴻海被分開,
[00:02:45.000 --> 00:02:47.000]  帶著以色列人走過,
[00:02:47.000 --> 00:02:50.000]  當埃及軍隊想要追逐他們的時候,
[00:02:50.000 --> 00:02:55.000]  鴻海又關了起來,就把埃及的軍隊全部淹沒了。
[00:02:55.000 --> 00:02:58.000]  這個是我們大家都非常熟悉的,
[00:02:58.000 --> 00:03:05.000]  不管你有沒有信仰,可能都有機會聽過摩西分鴻海的神跡。
[00:03:05.000 --> 00:03:07.000]  當然還不止於此,
[00:03:07.000 --> 00:03:14.000]  他也是負責頒發石介給以色列人,
[00:03:14.000 --> 00:03:18.000]  上到耶化的山去領受石介,
[00:03:18.000 --> 00:03:21.000]  然後就把石介給了以色列人。
[00:03:21.000 --> 00:03:23.000]  還有就是我們大家都很熟悉的,
[00:03:23.000 --> 00:03:25.000]  大家都讀過聖經了,
[00:03:25.000 --> 00:03:29.000]  叫摩西五經,前面那五本書,
[00:03:29.000 --> 00:03:32.000]  就是作者摩西寫的,
[00:03:32.000 --> 00:03:38.000]  從奠定了以色列人的道德基礎的律法書,
[00:03:38.000 --> 00:03:43.000]  到奠定了以色列人的一些宗教條例的律法書,
[00:03:43.000 --> 00:03:48.000]  裡面有很多很多上帝啓示給他的智慧都在當中。
[00:03:48.000 --> 00:03:52.000]  所以大家看,摩西真的是一個很了不起的人物。
[00:03:52.000 --> 00:03:56.000]  我們今天找到一篇詩篇是很特別的,
[00:03:56.000 --> 00:04:00.000]  因為在整個150篇的詩篇裡面,
[00:04:00.000 --> 00:04:02.000]  只有一篇是摩西寫的,
[00:04:02.000 --> 00:04:05.000]  這就是四篇九十篇了。
[00:04:05.000 --> 00:04:10.000]  在這篇詩篇裡面,我們會看到他怎麼樣看人生,
[00:04:10.000 --> 00:04:15.000]  很多學者都認為這一定是摩西在他年老的時候,
[00:04:15.000 --> 00:04:18.000]  來回顧整個人生寫的一篇詩篇,
[00:04:18.000 --> 00:04:22.000]  而且很獨特,竟然在150篇的詩篇裡面,
[00:04:22.000 --> 00:04:26.000]  唯一的一篇,非常值得我們去瞭解一下。
[00:04:26.000 --> 00:04:32.000]  那麼我們現在就快快地把這篇詩篇讀一遍。
