
[00:00:00.000 --> 00:00:08.120]   I'm excited about tonight.
[00:00:08.120 --> 00:00:10.600]   I get excited to teach.
[00:00:10.600 --> 00:00:20.140]   I've been preaching for, gosh, probably 35 years, but I get so excited every time because
[00:00:20.140 --> 00:00:25.560]   I think anything could happen tonight.
[00:00:25.560 --> 00:00:28.960]   Like literally anything.
[00:00:28.960 --> 00:00:35.680]   I really believe when I talk to God, when I pray, like He literally hears me.
[00:00:35.680 --> 00:00:41.880]   The God who spoke the world into existence hears me.
[00:00:41.880 --> 00:00:48.440]   And so tonight I was praying specifically saying, "God, can I please experience you?
[00:00:48.440 --> 00:00:51.780]   Can we all experience you?"
[00:00:51.780 --> 00:00:59.560]   And so as we go through His Word tonight, I'm just excited about what He might do.
[00:00:59.560 --> 00:01:06.320]   I've been in Hong Kong for eight months now, and it's been one of the best seasons of our
[00:01:06.320 --> 00:01:07.660]   lives.
[00:01:07.660 --> 00:01:10.720]   We love it here.
[00:01:10.720 --> 00:01:15.520]   I don't know, every season is so happy for me.
[00:01:15.520 --> 00:01:17.680]   I love following God.
[00:01:17.680 --> 00:01:23.480]   I love experiencing Him in new ways.
[00:01:23.480 --> 00:01:29.700]   In fact, my wife who's with me, we've been married for 27 years now.
[00:01:29.700 --> 00:01:36.840]   We have seven children, two grandchildren.
[00:01:36.840 --> 00:01:42.640]   And when we decided to move here from the US, we thought, "Okay, we'll take our four
[00:01:42.640 --> 00:01:47.020]   youngest children and move to Hong Kong."
[00:01:47.020 --> 00:01:55.560]   And then both of my son-in-laws prayed and sought the Lord, and they both said, "We believe
[00:01:55.560 --> 00:01:58.100]   God wants us to come with you."
[00:01:58.100 --> 00:02:01.920]   And so 12 of us moved to Hong Kong.
[00:02:01.920 --> 00:02:03.640]   Yeah.
[00:02:03.640 --> 00:02:14.280]   The 12 of us moved to Hong Kong in February, like in the middle of COVID and the protests,
[00:02:14.280 --> 00:02:17.720]   and everyone in America thought we were crazy.
[00:02:17.720 --> 00:02:22.560]   They go, "Why would you do that to your children?"
[00:02:22.560 --> 00:02:29.760]   And then we get here, and it's totally safe in Hong Kong, and it's crazy in America right
[00:02:29.760 --> 00:02:30.760]   now.
[00:02:30.760 --> 00:02:34.040]   Especially today, they're going to be killing each other.
[00:02:34.040 --> 00:02:40.480]   I mean, it's just a way we've experienced God over the years.
[00:02:40.480 --> 00:02:50.880]   I remember at our 25-year anniversary, at dinner I asked my wife, I said, "No, she asked
[00:02:50.880 --> 00:02:52.520]   me."
