
[00:00:00.000 --> 00:00:08.000]  各位網上的訂閲姊妹早安
[00:00:08.000 --> 00:00:13.000]  很開心能夠再次回來跟大家分享上帝的話
[00:00:13.000 --> 00:00:16.000]  有個故事是這樣說的
[00:00:16.000 --> 00:00:21.000]  話說有一個女生嘗試在交友app找對象
[00:00:21.000 --> 00:00:23.000]  找她的Mr. Right
[00:00:23.000 --> 00:00:26.000]  所以她就在這個搜尋引擎打了
[00:00:26.000 --> 00:00:30.000]  她先打了兩個條件就是下一張照片
[00:00:30.000 --> 00:00:32.000]  就是這樣
[00:00:32.000 --> 00:00:34.000]  然後她就等了一會
[00:00:34.000 --> 00:00:36.000]  這個搜尋引擎就幫她找了一個結果
[00:00:36.000 --> 00:00:38.000]  出來只有兩個字
[00:00:38.000 --> 00:00:42.000]  就是象棋
[00:00:42.000 --> 00:00:44.000]  然後她看到這個結果
[00:00:44.000 --> 00:00:46.000]  她就說沒理由是這樣
[00:00:46.000 --> 00:00:47.000]  好煩啊
[00:00:47.000 --> 00:00:49.000]  她就再換多兩個條件
[00:00:49.000 --> 00:00:52.000]  OK就打了下一個
[00:00:52.000 --> 00:00:54.000]  是這樣
[00:00:54.000 --> 00:00:56.000]  這次的結果是什麼呢
[00:00:56.000 --> 00:00:58.000]  銀行
[00:00:58.000 --> 00:01:00.000]  又是兩個字
[00:01:00.000 --> 00:01:03.000]  這個女生應該是華人
[00:01:03.000 --> 00:01:04.000]  沒搞錯啊
[00:01:04.000 --> 00:01:05.000]  為什麼會這樣
[00:01:05.000 --> 00:01:08.000]  不過這個女生依然沒有放棄
[00:01:08.000 --> 00:01:10.000]  她就再次換了一個條件
[00:01:10.000 --> 00:01:14.000]  這次就打了這兩種
[00:01:14.000 --> 00:01:20.000]  大家能猜到這個答案是什麼嗎
[00:01:20.000 --> 00:01:21.000]  兩個字
[00:01:21.000 --> 00:01:23.000]  超人
[00:01:23.000 --> 00:01:25.000]  好有時代感
[00:01:25.000 --> 00:01:27.000]  這個時代可能是Mirror
[00:01:27.000 --> 00:01:29.000]  或者是Anthony Lo
[00:01:29.000 --> 00:01:33.000]  但這個女生就覺得好煩
[00:01:33.000 --> 00:01:35.000]  她就說再做多一次
[00:01:35.000 --> 00:01:37.000]  她就將所有的條件
[00:01:37.000 --> 00:01:39.000]  可以回到上一張
[00:01:39.000 --> 00:01:41.000]  所有的條件都打了進去
[00:01:41.000 --> 00:01:45.000]  大家猜猜最後的screen出了什麼答案
[00:01:45.000 --> 00:01:50.000]  這次不是兩個字了
[00:01:50.000 --> 00:01:54.000]  她說在銀行裡面捉象棋的超人
[00:01:54.000 --> 00:02:00.000]  確實我們每一個對伴侶
[00:02:00.000 --> 00:02:03.000]  對另一半都有一個特定的要求
[00:02:03.000 --> 00:02:05.000]  或者期望
[00:02:05.000 --> 00:02:07.000]  所以很多人說我們結了婚之後
[00:02:07.000 --> 00:02:09.000]  可能會失望
[00:02:09.000 --> 00:02:10.000]  因為有落差
[00:02:10.000 --> 00:02:12.000]  其實找工作也一樣
[00:02:12.000 --> 00:02:15.000]  找工作每份工作都有它的條件
[00:02:15.000 --> 00:02:17.000]  和它相對的要求
[00:02:17.000 --> 00:02:19.000]  如果你做老闆的
[00:02:19.000 --> 00:02:21.000]  更加會期望你的員工
[00:02:21.000 --> 00:02:24.000]  會達成某些的要求
[00:02:24.000 --> 00:02:25.000]  有些會高一些
[00:02:25.000 --> 00:02:27.000]  有些會低一些
[00:02:27.000 --> 00:02:30.000]  而事實上在一個信仰的群體
[00:02:30.000 --> 00:02:32.000]  其實都一樣
[00:02:32.000 --> 00:02:34.000]  好像我們說要入會要怎樣
[00:02:34.000 --> 00:02:36.000]  我們要上會籍班
[00:02:36.000 --> 00:02:39.000]  然後要入會禮
[00:02:39.000 --> 00:02:41.000]  而入敬拜隊的弟兄姊妹
[00:02:41.000 --> 00:02:44.000]  更加要有敬拜隊的條件
[00:02:44.000 --> 00:02:47.000]  可能是要有一個侍奉的心智
[00:02:47.000 --> 00:02:51.000]  音樂上也要熟悉到某個程度
[00:02:51.000 --> 00:02:55.000]  所以在我們今天所看的經文
[00:02:55.000 --> 00:02:57.000]  生命記23章裏面
[00:02:57.000 --> 00:02:59.000]  上帝對他的敬拜群體
[00:02:59.000 --> 00:03:02.000]  其實同樣立了一個要求
[00:03:02.000 --> 00:03:04.000]  立了一些界限
[00:03:04.000 --> 00:03:07.000]  當中列明了
[00:03:07.000 --> 00:03:09.000]  當這班以色列人去到英許地
[00:03:09.000 --> 00:03:11.000]  迦南地的時候
[00:03:11.000 --> 00:03:14.000]  究竟有什麼人可以參與在其中
[00:03:14.000 --> 00:03:16.000]  而且不單止這樣
[00:03:16.000 --> 00:03:18.000]  如果大家可以打開電話或聖經
[00:03:18.000 --> 00:03:20.000]  椅子下面也有聖經
[00:03:20.000 --> 00:03:25.000]  其實23章涵蓋了很多不同的生活範疇
[00:03:25.000 --> 00:03:28.000]  包括軍事、財政
[00:03:28.000 --> 00:03:33.000]  以及跟他的奴僕、鄰舍、相處之道等等
[00:03:33.000 --> 00:03:38.000]  讓上帝的子民知道什麼是真正的敬虔
[00:03:38.000 --> 00:03:41.000]  今天很想透過三個的向導
[00:03:41.000 --> 00:03:43.000]  跟大家分享
[00:03:43.000 --> 00:03:45.000]  可以嗎
[00:03:45.000 --> 00:03:48.000]  第一個向導就是由內到外
[00:03:48.000 --> 00:03:55.000]  真正的敬虔是由內到外流露出來的
[00:03:55.000 --> 00:04:00.000]  我們一起來讀23章第一節
[00:04:00.000 --> 00:04:05.000]  凡愛臣損傷的或被閹割的
[00:04:05.000 --> 00:04:08.000]  不可入耶和華的會
[00:04:08.000 --> 00:04:11.000]  第一節就是這樣
[00:04:11.000 --> 00:04:13.000]  23章一至八節
[00:04:13.000 --> 00:04:16.000]  其實說了幾類人
[00:04:16.000 --> 00:04:19.000]  幾類人是不可以入上帝的會
[00:04:19.000 --> 00:04:22.000]  而愛臣損傷被閹割的
[00:04:22.000 --> 00:04:25.000]  正正就是第一類
[00:04:25.000 --> 00:04:26.000]  不過我們首先要問
[00:04:26.000 --> 00:04:29.000]  什麼是耶和華的會呢
[00:04:29.000 --> 00:04:32.000]  是不是等同於我們今天所說的入會呢
[00:04:32.000 --> 00:04:34.000]  剛才我們說的入會禮
[00:04:34.000 --> 00:04:36.000]  當然我這樣說是有分別的
[00:04:36.000 --> 00:04:38.000]  我們今天所說的入會
[00:04:38.000 --> 00:04:41.000]  其實是說入我們這個地方教會
