
[00:00:00.000 --> 00:00:02.560]  大家好,開始我們今天的講道
[00:00:02.560 --> 00:00:04.040]  我們今天是…
[00:00:04.040 --> 00:00:12.240]  我想問一下有沒有人平時在YouTube上喜歡看那些查案、奇案之類的?
[00:00:12.240 --> 00:00:13.800]  讓我稍微看看,有沒有?
[00:00:13.800 --> 00:00:14.800]  有啊,後面有一個
[00:00:14.800 --> 00:00:16.520]  那裡也有,Wi-Fi也喜歡看
[00:00:16.520 --> 00:00:18.560]  Uncle Maurice也喜歡
[00:00:18.560 --> 00:00:20.720]  我平時也喜歡看這些
[00:00:20.720 --> 00:00:26.480]  通常是看一些什麼密室殺人、下藥、綁架
[00:00:26.480 --> 00:00:28.360]  然後那個犯人不知道去了哪裡
[00:00:28.360 --> 00:00:33.520]  我通常看的時候就會想,原來人類是一個這麼殘忍
[00:00:33.520 --> 00:00:37.880]  這麼多詭計、這麼奇怪的一個生物
[00:00:37.880 --> 00:00:42.720]  第二,他們的動機通常都是不出乎意料的幾樣
[00:00:42.720 --> 00:00:45.000]  第一,就是錢
[00:00:45.000 --> 00:00:46.960]  第二,就是名
[00:00:46.960 --> 00:00:48.800]  第三,就是性
[00:00:48.800 --> 00:00:50.520]  或者他們是出於報復
[00:00:50.520 --> 00:00:52.320]  其實都是這幾樣
[00:00:52.320 --> 00:00:55.520]  人性是因為這樣而扭曲的
[00:00:55.520 --> 00:00:58.400]  最後他做了一些事情令到別人受損
[00:00:58.400 --> 00:00:59.960]  一宗案件就這樣發生了
[00:00:59.960 --> 00:01:02.520]  也令到一些YouTuber有流量了
[00:01:02.520 --> 00:01:04.840]  他可以賺錢了
[00:01:04.840 --> 00:01:08.400]  那麼,通常犯罪有幾個過程的
[00:01:08.400 --> 00:01:09.960]  有沒有人知道有哪四個步驟?
[00:01:09.960 --> 00:01:14.200]  有沒有人讀過犯罪的一些相關的東西?
[00:01:14.200 --> 00:01:15.680]  有沒有人知道?
[00:01:15.680 --> 00:01:17.200]  我先讓大家看一下
[00:01:17.200 --> 00:01:18.760]  大家一會兒也會再見到的
[00:01:18.760 --> 00:01:20.440]  第一個就叫做Motive
[00:01:20.440 --> 00:01:22.160]  就是你犯案的動機
[00:01:22.160 --> 00:01:25.960]  例如那個人踩傷了你的腳,你就會很生氣
[00:01:25.960 --> 00:01:27.160]  那麼你的Intense是什麼呢?
[00:01:27.160 --> 00:01:30.960]  你的Intense是他踩傷了我的腳,我要報復
[00:01:30.960 --> 00:01:34.520]  我要踩傷了他的兩隻腳
[00:01:34.520 --> 00:01:37.000]  那麼我想到了,我有一個Intense在這裡
[00:01:37.000 --> 00:01:38.200]  我要踩傷了他的兩隻腳
[00:01:38.200 --> 00:01:39.600]  那麼你的預備是怎麼樣呢?
[00:01:39.600 --> 00:01:41.080]  你的Preparation就是
[00:01:41.080 --> 00:01:43.240]  我今天Explorer完結之後
[00:01:43.240 --> 00:01:44.800]  走出這個門口
[00:01:44.800 --> 00:01:46.280]  我就要讓他走出來
[00:01:46.280 --> 00:01:48.200]  那麼我就可以踩傷了他的腳
[00:01:48.200 --> 00:01:49.200]  你的預備就是這樣
[00:01:49.200 --> 00:01:51.160]  最後你的Execution就真的是
[00:01:51.160 --> 00:01:53.000]  十一點到八點,你走出去了
[00:01:53.000 --> 00:01:54.680]  你真的踩了他的腳
[00:01:54.680 --> 00:01:56.160]  他就真的被你踩到
[00:01:56.160 --> 00:01:57.600]  那麼這個就叫做Execution
[00:01:57.600 --> 00:01:59.920]  那麼整個犯案的過程
[00:01:59.920 --> 00:02:01.160]  其實就是這麼簡單
[00:02:01.160 --> 00:02:03.240]  只有這幾樣東西而已
[00:02:03.240 --> 00:02:04.920]  那麼今天有一宗案件
[00:02:04.920 --> 00:02:08.920]  其實那件事是很不單純的
[00:02:08.920 --> 00:02:10.720]  就是今天大家都是一個偵探
[00:02:10.720 --> 00:02:12.480]  你也是一個Detective
[00:02:12.480 --> 00:02:14.600]  這一宗案件是有關兩個兄弟
[00:02:14.600 --> 00:02:16.880]  兩兄弟,不是兩個兄弟,是兩兄弟
[00:02:16.880 --> 00:02:18.520]  那麼他們其實很簡單
[00:02:18.520 --> 00:02:21.800]  只是因為大哥他有些事情
[00:02:21.800 --> 00:02:24.320]  不喜歡他弟弟
[00:02:24.320 --> 00:02:26.000]  但是弟弟明明沒有做錯
[00:02:26.000 --> 00:02:26.720]  但是到了最後
[00:02:26.720 --> 00:02:31.640]  那個哥哥卻是將弟弟打死了
[00:02:31.640 --> 00:02:32.840]  被人抓到還要不承認
[00:02:32.840 --> 00:02:34.760]  哥哥他說被人抓到不承認
[00:02:34.760 --> 00:02:36.840]  被人罰他又不想
[00:02:36.840 --> 00:02:38.720]  那麼到底我們看看哥哥
[00:02:38.720 --> 00:02:41.440]  他怎麼一步一步地成為一個犯罪者
[00:02:41.440 --> 00:02:45.600]  變到他落入罪的深淵當中
[00:02:45.600 --> 00:02:46.680]  其實一句倒尾
[00:02:46.680 --> 00:02:49.520]  就是他的心出了問題
[00:02:49.520 --> 00:02:51.520]  那麼今天大家一起做一個Detective
[00:02:51.520 --> 00:02:52.600]  我們來找找
[00:02:52.600 --> 00:02:55.440]  究竟哥哥他發生了什麼事
[00:02:55.440 --> 00:02:57.000]  那麼大家要去查案
[00:02:57.000 --> 00:02:59.480]  其實都要去到知道一些背景資料
[00:02:59.480 --> 00:03:03.960]  那麼我們一起打開這個查案的folder
[00:03:03.960 --> 00:03:06.480]  那麼一開始其實就是在說
[00:03:06.480 --> 00:03:07.840]  亞當夏娃
[00:03:07.840 --> 00:03:09.360]  上一次是在說亞當夏娃
[00:03:09.360 --> 00:03:12.640]  在伊甸園吃了一個不應該吃的果子
[00:03:12.640 --> 00:03:13.840]  分別是薩諾樹的果子
[00:03:13.840 --> 00:03:15.960]  最後被上帝驅逐了
[00:03:15.960 --> 00:03:17.240]  那麼亞當夏娃出來了
[00:03:17.240 --> 00:03:19.040]  那麼你又要被詛咒了
[00:03:19.040 --> 00:03:21.600]  然後亞當又很辛苦又要工作
[00:03:21.600 --> 00:03:26.520]  然後亞當夏娃又要承受生子的痛苦
[00:03:26.520 --> 00:03:28.320]  那麼他們終於開闢了
[00:03:28.320 --> 00:03:30.240]  他們成功生了兩個兒子
[00:03:30.240 --> 00:03:32.080]  一個兒子叫做戈仁
[00:03:32.080 --> 00:03:33.720]  另一個兒子叫做亞伯
[00:03:33.720 --> 00:03:34.880]  那麼有一天
[00:03:34.880 --> 00:03:37.200]  他就說那人就是亞當
[00:03:37.200 --> 00:03:39.320]  他和他妻子同房
[00:03:39.320 --> 00:03:40.880]  亞當夏娃懷孕
[00:03:40.880 --> 00:03:42.760]  生了戈仁
[00:03:42.760 --> 00:03:45.520]  那麼戈仁就是做種田的
[00:03:45.520 --> 00:03:47.280]  亞伯是牧羊的
[00:03:47.280 --> 00:03:51.280]  那麼你們都想像到一個很正常很普通的家庭
[00:03:51.280 --> 00:03:52.280]  那麼你們就會想
[00:03:52.280 --> 00:03:53.520]  那麼普通的家庭
[00:03:53.520 --> 00:03:55.520]  到底有些什麼事情可以發生呢
[00:03:55.520 --> 00:03:56.480]  你最多說一下
[00:03:56.480 --> 00:03:58.760]  那些羊今天很頑皮
[00:03:58.760 --> 00:04:00.360]  全部跑出了圈子
[00:04:00.360 --> 00:04:01.320]  你種地就說一下
[00:04:01.320 --> 00:04:03.400]  今天那些地不是很肥
[00:04:03.400 --> 00:04:06.880]  今天又有些羊牛過來踩那些地踩爛了
[00:04:06.880 --> 00:04:08.720]  其實來來去去都是差不多
[00:04:08.720 --> 00:04:10.720]  但是原來出事的那個位置
[00:04:10.720 --> 00:04:12.600]  是一個大家都沒有想到的位置
[00:04:12.600 --> 00:04:16.760]  就是他們兩兄弟要去獻一些東西給上帝
[00:04:16.760 --> 00:04:18.600]  有一天
[00:04:18.600 --> 00:04:20.800]  我們一起讀一下中文
[00:04:20.800 --> 00:04:21.880]  我們一起讀一下中文
[00:04:21.880 --> 00:04:22.960]  好,準備,一二三
[00:04:22.960 --> 00:04:24.000]  有一天
[00:04:24.000 --> 00:04:28.600]  那個人拿地裡的出產為貢物獻給耶和華
[00:04:28.600 --> 00:04:34.160]  亞伯也將他羊群中投生的和羊的自由獻上
[00:04:34.160 --> 00:04:37.080]  那麼他們兩兄弟其實都做得很足
[00:04:37.080 --> 00:04:37.600]  什麼意思呢
[00:04:37.600 --> 00:04:40.160]  就是其實當時是沒有人說過
[00:04:40.160 --> 00:04:43.080]  你記得亞當和夏威夷和兩個兒子說
[00:04:43.080 --> 00:04:45.560]  你記得一定要獻一些東西給耶和華
[00:04:45.560 --> 00:04:47.720]  其實當時是沒有任何這些規矩
[00:04:47.720 --> 00:04:50.320]  但是其實他們兩兄弟都很自動自覺
[00:04:50.320 --> 00:04:53.080]  願意獻一些東西給上帝
[00:04:53.080 --> 00:04:56.280]  但是其實你看到兩個都有心
[00:04:56.280 --> 00:04:58.680]  但是他們獻的東西有一點不同
[00:04:58.680 --> 00:05:00.680]  我先不在這裡開估
[00:05:00.680 --> 00:05:01.880]  我們繼續看下去
[00:05:01.880 --> 00:05:04.560]  我們再看一下究竟發生了什麼事
[00:05:04.560 --> 00:05:06.760]  咦,他說了一句話
[00:05:06.760 --> 00:05:08.000]  我們一起讀一下英文
[00:05:08.000 --> 00:05:09.080]  好,準備,一二三
[00:05:09.080 --> 00:05:11.920]  "And the Lord has regret for..."
[00:05:11.920 --> 00:05:13.720]  咦,要我們一起讀
[00:05:13.720 --> 00:05:15.600]  好,準備,一二三
[00:05:15.600 --> 00:05:19.680]  "And the Lord has regret for Abbot and his offering"
[00:05:19.680 --> 00:05:23.440]  "But Cain has his offering, he has no regard"
[00:05:23.440 --> 00:05:24.360]  好了,他說什麼
[00:05:24.360 --> 00:05:27.480]  他說原來他收了一個人的禮物
[00:05:27.480 --> 00:05:29.280]  但是他不收另一個人
[00:05:29.280 --> 00:05:32.920]  好,我現在想給大家一點時間
[00:05:32.920 --> 00:05:33.880]  到底我們來找一下
[00:05:33.880 --> 00:05:37.320]  究竟是不是耶和華他簡陰澤食
