
[00:00:00.000 --> 00:00:03.080]  多謝一班可愛的小朋友
[00:00:03.080 --> 00:00:05.080]  讓師哥帶領我們去敬拜
[00:00:05.080 --> 00:00:08.320]  我想我們在天上見到神的時候
[00:00:08.320 --> 00:00:09.560]  應該跟祂差不多
[00:00:09.560 --> 00:00:11.280]  帶著很單純的心
[00:00:11.280 --> 00:00:12.800]  很開心地去敬拜神
[00:00:12.800 --> 00:00:17.480]  很快教會進入彼得後書的宣講
[00:00:17.480 --> 00:00:23.920]  師父彼得在彼得後書
[00:00:23.920 --> 00:00:25.160]  一章一到十五節
[00:00:25.160 --> 00:00:27.720]  上個星期林穆斯賢跟我們分享了
[00:00:28.840 --> 00:00:30.680]  他提醒我們作為諸葛門徒
[00:00:30.680 --> 00:00:32.880]  我們已經得到神所賜
[00:00:32.880 --> 00:00:34.160]  很寶貴
[00:00:34.160 --> 00:00:36.160]  有非常大的英許
[00:00:36.160 --> 00:00:39.040]  就是我們可以分享祂的本性
[00:00:39.040 --> 00:00:41.600]  人犯罪之後就失落了神的本性
[00:00:41.600 --> 00:00:44.520]  沒辦法能夠行神想我們所行
[00:00:44.520 --> 00:00:45.360]  但是他說
[00:00:45.360 --> 00:00:46.360]  在基督耶穌裡面
[00:00:46.360 --> 00:00:47.280]  今天我們相信耶穌
[00:00:47.280 --> 00:00:49.920]  就能夠跟神再一次分享
[00:00:49.920 --> 00:00:51.040]  祂做我們的時候
[00:00:51.040 --> 00:00:53.480]  放在我們心裡面的本性
[00:00:53.480 --> 00:00:54.920]  就是一切美好的事物
[00:00:54.920 --> 00:00:58.040]  不過我們不能夠停在初信的時刻
[00:00:58.040 --> 00:00:59.680]  我們要繼續不斷地努力
[00:00:59.680 --> 00:01:03.040]  讓使命不斷地成長
[00:01:03.040 --> 00:01:05.240]  以致我們能夠在生活當中
[00:01:05.240 --> 00:01:06.520]  結出屬靈的果子
[00:01:06.520 --> 00:01:09.440]  彼得說這些果子包括信心
[00:01:09.440 --> 00:01:10.040]  德行
[00:01:10.040 --> 00:01:10.760]  知識
[00:01:10.760 --> 00:01:12.480]  節制
[00:01:12.480 --> 00:01:13.440]  忍耐
[00:01:13.440 --> 00:01:14.520]  虔敬
[00:01:14.520 --> 00:01:15.600]  和愛心
[00:01:15.600 --> 00:01:18.600]  他說當我們能夠結出這些果子的時候
[00:01:18.600 --> 00:01:21.240]  就讓我們能夠在神對我們的呼召
[00:01:21.240 --> 00:01:24.640]  和被祂揀選上堅定不移
[00:01:24.640 --> 00:01:27.400]  以致我們可以帶著豐盛的生命
[00:01:28.000 --> 00:01:31.200]  進入神為我們所預備
[00:01:31.200 --> 00:01:32.920]  永恆的角度裡面
[00:01:32.920 --> 00:01:36.280]  我相信這是每一個相信耶穌基督的人
[00:01:36.280 --> 00:01:37.280]  都是如此盼望的
[00:01:37.280 --> 00:01:39.000]  就是我們能夠帶著豐盛的生命
[00:01:39.000 --> 00:01:40.520]  進入永恆的世界當中
[00:01:40.520 --> 00:01:44.160]  跟我們的神去享受那份永恆的角度
[00:01:44.160 --> 00:01:46.160]  但是我們很明白
[00:01:46.160 --> 00:01:50.160]  撒旦從來不容許基督徒平平穩穩地進入神
[00:01:50.160 --> 00:01:53.240]  為我們所預備的永恆之家
[00:01:53.240 --> 00:01:54.880]  因為他不甘心
[00:01:56.720 --> 00:01:58.160]  我們一起讀這段經文好嗎?
[00:01:58.160 --> 00:02:00.280]  是彼得後書第二章一到三節
[00:02:00.280 --> 00:02:00.800]  我們一起讀
[00:02:00.800 --> 00:02:04.120]  「從前在民間有假先知起來
[00:02:04.120 --> 00:02:08.600]  同樣將來在你們中間也會有假教師
[00:02:08.600 --> 00:02:12.320]  偷偷地引進使人滅亡的異端
[00:02:12.320 --> 00:02:15.640]  他們甚至不認買他們的主人
[00:02:15.640 --> 00:02:17.760]  自取迅速滅亡
[00:02:17.760 --> 00:02:21.360]  許多人會隨從他們淫蕩的行為
[00:02:21.360 --> 00:02:25.640]  以致真理之道因他們的緣故被毀謗
[00:02:25.640 --> 00:02:29.320]  他們因貪婪要用孽造的言語
[00:02:29.320 --> 00:02:31.760]  在你們身上取得利益
[00:02:31.760 --> 00:02:35.920]  他們的懲罰自古以來並不遲延
[00:02:35.920 --> 00:02:39.320]  他們的滅亡也必須迅速來到」
[00:02:39.320 --> 00:02:44.960]  我先跟大家看今天講道經文裡面最後的部分
[00:02:44.960 --> 00:02:49.480]  撒旦從來沒有想過坐在這裡
[00:02:49.480 --> 00:02:50.920]  用我們現在經常說的字眼
[00:02:50.920 --> 00:02:51.800]  就是他躺平
[00:02:51.800 --> 00:02:55.000]  讓我們開心地進入神的角度裡面
[00:02:57.440 --> 00:03:00.640]  從舊約聖經的記載和新約教會歷史的發展裡面
[00:03:00.640 --> 00:03:01.600]  我們可以看到
[00:03:01.600 --> 00:03:05.760]  撒旦不斷用各樣的方法去扭曲
[00:03:05.760 --> 00:03:08.400]  去破壞人對神的認識
[00:03:08.400 --> 00:03:09.920]  以及對神的信心
[00:03:09.920 --> 00:03:12.760]  舊約聖經記載
[00:03:12.760 --> 00:03:14.320]  假的先知
[00:03:14.320 --> 00:03:18.480]  向以色列王阿哈和猶太王約沙發講吉言
[00:03:18.480 --> 00:03:20.200]  就是這兩個人要出去打仗
[00:03:20.200 --> 00:03:22.880]  就問先知
[00:03:22.880 --> 00:03:24.880]  神容不容我們打呢?
[00:03:25.240 --> 00:03:27.920]  假的先知就跟猶太王和以色列王說
[00:03:27.920 --> 00:03:28.560]  打吧打吧
[00:03:28.560 --> 00:03:29.240]  沒問題的
[00:03:29.240 --> 00:03:30.960]  神一定讓你得勝的
[00:03:30.960 --> 00:03:35.000]  然後聖經就記載一個真的先知
[00:03:35.000 --> 00:03:41.040]  本來以色列王就不打算找他來的
[00:03:41.040 --> 00:03:42.800]  因為他說這個人很麻煩的
[00:03:42.800 --> 00:03:44.040]  沒什麼好說的
[00:03:44.040 --> 00:03:45.640]  來的時候那些話都不中聽
[00:03:45.640 --> 00:03:48.720]  當這個先知要來見王的時候
[00:03:48.720 --> 00:03:51.240]  來找這個先知的大臣也跟他說
[00:03:51.240 --> 00:03:52.760]  今天不要這麼煩了
[00:03:52.760 --> 00:03:54.520]  講一些皇帝喜歡聽的事情吧
[00:03:55.520 --> 00:03:59.200]  我看到假的先知就將不是神的話
[00:03:59.200 --> 00:04:00.480]  講成是神的話
[00:04:00.480 --> 00:04:02.040]  同樣的
[00:04:02.040 --> 00:04:05.320]  在約瓦敬王和西帝佳王期間
[00:04:05.320 --> 00:04:08.840]  也有假的先知來講虛假的預言
[00:04:08.840 --> 00:04:12.320]  另外在《以西傑》和《撒加利亞書》裡面也記載
[00:04:12.320 --> 00:04:14.480]  假的先知託耶和華的命
[00:04:14.480 --> 00:04:16.960]  假的先知最可怕的地方
[00:04:16.960 --> 00:04:19.240]  就是他不是另外的宗教
