
[00:00:00.000 --> 00:00:11.420]  頂姐妹,今天是我剛剛昨日完結半年的安息年假
[00:00:11.420 --> 00:00:15.220]  重返港壇,昨晚開始已經說了
[00:00:15.220 --> 00:00:19.840]  所以有些頂姐妹說很久沒見你
[00:00:19.840 --> 00:00:23.140]  其實我一個星期都在這裡,因為疫情下不能飛
[00:00:23.140 --> 00:00:26.180]  如果你有回來實體崇拜
[00:00:26.180 --> 00:00:31.800]  我在辦公室和外面有時都會碰到頂姐妹
[00:00:31.800 --> 00:00:36.800]  我今天懷著一個非常感恩和興奮的心情
[00:00:36.800 --> 00:00:41.100]  可以在這裡和頂姐妹分享神的說話
[00:00:41.100 --> 00:00:47.160]  另一方面,我很體會上帝要我們整個教會
[00:00:47.160 --> 00:00:49.380]  我們要一起學習,在疫情下
[00:00:49.380 --> 00:00:55.060]  我們更加去體會和經歷上帝的恩典是夠用的
[00:00:55.060 --> 00:00:59.100]  在這個時候我特別借用這個機會
[00:00:59.100 --> 00:01:05.260]  多謝何牧師和教務團隊、執事團隊、辦公室團隊
[00:01:05.260 --> 00:01:07.260]  各人都是謹守崗位
[00:01:07.260 --> 00:01:09.980]  我還記得在2月的時候
[00:01:09.980 --> 00:01:12.720]  我們還未可以恢復實體聚會的時候
[00:01:12.720 --> 00:01:15.500]  慢慢30%、50%
[00:01:15.500 --> 00:01:19.520]  我們看見陸陸續續頂姐妹開始回來教會的時候
[00:01:19.520 --> 00:01:21.520]  有很多頂姐妹和我說
[00:01:21.520 --> 00:01:26.200]  回來實體崇拜,他們心裡額外覺得親切
[00:01:26.200 --> 00:01:30.240]  一起唱詩、一起聽神的話
[00:01:30.240 --> 00:01:35.340]  比在家裡看直播好
[00:01:35.340 --> 00:01:38.300]  這個事實是會有分別的
[00:01:38.300 --> 00:01:39.800]  不過我鼓勵大家
[00:01:39.800 --> 00:01:41.800]  無論你今天在看直播
[00:01:41.800 --> 00:01:43.800]  或者你現在在現場
[00:01:43.800 --> 00:01:46.800]  你的心都真的要專注為大
[00:01:46.800 --> 00:01:52.520]  我們需要一生都有一個清晰的使命人生
[00:01:52.520 --> 00:01:56.920]  我們要專注在上帝的聖潔、公義、慈愛身上
[00:01:56.920 --> 00:01:58.920]  以致我們不會走差
[00:01:58.920 --> 00:02:00.920]  我們不會迷失方向
[00:02:00.920 --> 00:02:02.920]  這個是極其重要的
[00:02:02.920 --> 00:02:09.360]  今天我會繼續延續今年整年我們在講的生命記
[00:02:09.360 --> 00:02:12.400]  相信大家過去都已經聽了很多堂
[00:02:12.400 --> 00:02:15.920]  同工都很用心去預備這些訊息
[00:02:15.920 --> 00:02:19.120]  我今天先和大家看一個引言
[00:02:19.120 --> 00:02:24.320]  出自我們這個唐代一個很出名的君主
[00:02:24.320 --> 00:02:26.320]  大家知不知道他是誰?
[00:02:26.320 --> 00:02:29.320]  就是唐太宗李世民
[00:02:29.320 --> 00:02:36.520]  當他很喜歡的忠臣魏征過身的時候
[00:02:36.520 --> 00:02:40.520]  他心裡非常念念不忘這一位
[00:02:40.520 --> 00:02:46.720]  他自己對他有所俊諫的一個非常好的大臣
[00:02:46.720 --> 00:02:49.520]  他心裡很傷心、很流淚
[00:02:49.520 --> 00:02:53.520]  他說「夫以童為鏡,可以正衣冠」
[00:02:53.520 --> 00:02:55.720]  「以仁為鏡,可以知得失」
[00:02:55.720 --> 00:02:58.320]  「以使為鏡,可以知慶題」
[00:02:58.320 --> 00:03:02.920]  他知道這一位賢能之才的離世
[00:03:02.920 --> 00:03:05.920]  對他是一個很大的損失
[00:03:05.920 --> 00:03:10.320]  唐太宗是一個很喜歡聽取各種的進言
[00:03:10.320 --> 00:03:12.320]  他心知兼聽則明
[00:03:12.320 --> 00:03:14.720]  偏信則暗的道理
[00:03:14.720 --> 00:03:17.320]  所以他成為一個很出色的明君
[00:03:17.320 --> 00:03:24.320]  亦在我們中國歷史上帶動了唐代的傳承時期
[00:03:24.320 --> 00:03:27.320]  我們看見為何他會這樣說呢?
[00:03:27.320 --> 00:03:29.320]  以童為鏡,相信大家都明白
[00:03:29.320 --> 00:03:32.320]  昔日他們用童來做鏡子
[00:03:32.320 --> 00:03:37.320]  所以我們出來見人之前都會看一看鏡子
[00:03:37.320 --> 00:03:39.920]  以仁為鏡,可以明得失
[00:03:39.920 --> 00:03:43.520]  是因為用人好像一個鏡子就可以發現
[00:03:43.520 --> 00:03:46.720]  其實自己可能都或多或少有對錯
[00:03:46.720 --> 00:03:48.720]  我們要明白這些是非黑白
[00:03:48.720 --> 00:03:51.720]  以使為鏡,可以知慶題
[00:03:51.720 --> 00:03:53.120]  這個十分重要
[00:03:53.120 --> 00:03:54.920]  歷史就好像一面鏡
[00:03:54.920 --> 00:03:58.520]  總結了前人的得失、是非和對錯
[00:03:58.520 --> 00:04:01.720]  可以知道國家民族的興亡的原因
[00:04:01.720 --> 00:04:04.720]  讓國家與民族得以更好的延續
[00:04:04.720 --> 00:04:08.720]  這正正是我們今天看生命記這個主題
[00:04:08.720 --> 00:04:10.520]  一個很重要的
[00:04:10.520 --> 00:04:14.720]  你看見生命記這位作者摩西
[00:04:14.720 --> 00:04:23.720]  他當時對著一班將要入迦南地的新生一代的神子民
[00:04:23.720 --> 00:04:27.720]  他要從新一篇講解神的律例誡命
[00:04:27.720 --> 00:04:29.320]  就是要提醒他們
[00:04:29.320 --> 00:04:32.320]  對於這位年長的摩西
[00:04:32.320 --> 00:04:33.920]  當時已經120歲
[00:04:33.920 --> 00:04:38.920]  40年前他以80歲的高齡帶領以色列民出埃及
[00:04:38.920 --> 00:04:40.920]  可以說能人所不能
[00:04:40.920 --> 00:04:43.920]  但正是神揀選摩西
[00:04:43.920 --> 00:04:47.120]  神的呼召、神的同在、神的加力
[00:04:47.120 --> 00:04:49.120]  以至他能夠完成使命
[00:04:49.120 --> 00:04:51.120]  一個人的成功
[00:04:51.120 --> 00:04:55.720]  其實是很在乎神他自己的同在
[00:04:55.720 --> 00:05:00.120]  不只是單憑你個人的才華
[00:05:00.120 --> 00:05:03.120]  就可以叫一件事一定做得好
[00:05:03.120 --> 00:05:05.120]  是配合很多因素的
[00:05:05.120 --> 00:05:08.120]  我們看見新一代已經長成了
[00:05:08.120 --> 00:05:09.120]  他們需要受教
[00:05:09.120 --> 00:05:12.120]  他們要明白為何上一代人
[00:05:12.120 --> 00:05:15.120]  除了約書亞和迦納
[00:05:15.120 --> 00:05:19.120]  連摩西自己都不能進入迦南應許之地
[00:05:19.120 --> 00:05:21.120]  當人的軟弱
[00:05:21.120 --> 00:05:22.120]  人失敗
[00:05:22.120 --> 00:05:25.120]  人來到不尊重上帝的聖言的時候
[00:05:25.120 --> 00:05:30.120]  我們就會落在一個黑暗和偏能紀錄當中
[00:05:30.120 --> 00:05:32.120]  在聖約的要求下
[00:05:32.120 --> 00:05:36.120]  神對他的子民有一個提醒
[00:05:36.120 --> 00:05:38.120]  要我們去信服和聽從
[00:05:38.120 --> 00:05:42.120]  但這個背後就是出於一個真正體會
[00:05:42.120 --> 00:05:43.120]  神對我們的愛
[00:05:43.120 --> 00:05:45.120]  我們去回應他
[00:05:45.120 --> 00:05:47.120]  很重要的
[00:05:47.120 --> 00:05:49.120]  有很多人不明白基督教
[00:05:49.120 --> 00:05:52.120]  以為基督教就是一個宗教
[00:05:52.120 --> 00:05:54.120]  教人這樣那樣很多的規條
[00:05:54.120 --> 00:05:56.120]  沒有自由了
[00:05:56.120 --> 00:05:58.120]  你剛剛搞錯了
[00:05:58.120 --> 00:06:01.120]  正是這些神的啟示出來的
[00:06:01.120 --> 00:06:03.120]  神的律例典章
