
[00:00:00.000 --> 00:00:02.800]  今日我哋會講
[00:00:02.800 --> 00:00:06.640]  Pasar Johnny 同我哋講咗咩係喜樂
[00:00:06.640 --> 00:00:10.000]  接住落嚟我哋會睇下肥立比書
[00:00:10.000 --> 00:00:12.240]  接住落嚟會話畀我哋知
[00:00:12.240 --> 00:00:14.880]  當我哋喺逆境裏面
[00:00:14.880 --> 00:00:17.920]  我哋點樣可以喜樂
[00:00:17.920 --> 00:00:24.000]  我唔知你係咩時間係會最唔開心嘅呢
[00:00:24.000 --> 00:00:26.240]  係咪考試失敗呀
[00:00:26.240 --> 00:00:29.200]  朋友同你嘅好朋友反面呀
[00:00:29.200 --> 00:00:31.760]  定係父母畀你嘅壓力呢
[00:00:31.760 --> 00:00:34.000]  或者係其他嘅嘢呢
[00:00:34.000 --> 00:00:35.920]  我而家畀一分鐘嘅時間你
[00:00:35.920 --> 00:00:38.000]  同你隔離位嗰個商量下
[00:00:38.000 --> 00:00:41.760]  你之前最唔開心嘅時間係啲咩嘢
[00:00:41.760 --> 00:00:43.280]  同隔離位講咗啦
[00:00:43.280 --> 00:00:46.880]  咁呀不如搵一兩個人分享下先
[00:00:46.880 --> 00:00:49.840]  好嚟 Kabu 你講下
[00:00:49.840 --> 00:00:52.400]  我最唔開心嘅時候就係
[00:00:52.400 --> 00:00:54.560]  朋友之間佢哋嘅吵架
[00:00:54.560 --> 00:00:56.160]  因為可能有一次
[00:00:56.160 --> 00:00:59.840]  可能朋友之間佢哋嘈交並唔係真係
[00:00:59.840 --> 00:01:02.400]  有人得罪對方可能係中間有個誤會
[00:01:02.400 --> 00:01:05.360]  但雙方就誤解咗件事
[00:01:05.360 --> 00:01:06.640]  搞到好憎對方
[00:01:06.640 --> 00:01:10.720]  咁呢個時候要將佢哋調和係好困難嘅一件事
[00:01:10.720 --> 00:01:13.680]  所以好心煩同埋都唔開心嘅會
[00:01:13.680 --> 00:01:16.080]  做和事佬好唔開心喎
[00:01:16.080 --> 00:01:17.680]  我問個女嘅先
[00:01:17.680 --> 00:01:19.120]  呢度有冇呀
[00:01:19.120 --> 00:01:22.560]  支持下我先你講
[00:01:22.560 --> 00:01:24.720]  Pastor Karen 要走
[00:01:24.880 --> 00:01:26.720]  嘩
[00:01:26.720 --> 00:01:28.720]  佢聽唔到呀走咗啦
[00:01:28.720 --> 00:01:30.720]  有冇女嘅
[00:01:30.720 --> 00:01:34.960]  最唔開心Pastor Karen走
[00:01:34.960 --> 00:01:36.960]  但係Pastor Irene 走最開心
[00:01:36.960 --> 00:01:40.960]  哈哈哈哈
[00:01:40.960 --> 00:01:42.960]  唔係唔係唔係 純粹
[00:01:42.960 --> 00:01:45.520]  咁你呢你最唔開心係咩
[00:01:45.520 --> 00:01:48.720]  要準備考試嗰陣好難
[00:01:48.720 --> 00:01:53.360]  好咁原來呢我哋各人呢都有一啲呢
[00:01:53.360 --> 00:01:59.520]  喺心裏面認定咗呢即係好容易令到我哋唔開心嘅事情
[00:01:59.520 --> 00:02:04.880]  咁今日呢保羅呢話畀我哋知呢一樣好重要嘅嘢呀
[00:02:04.880 --> 00:02:07.680]  佢話畀我哋知呢原來保羅
[00:02:07.680 --> 00:02:10.960]  喺呢個菲律賓書嘅寫作嘅期間呢
[00:02:10.960 --> 00:02:13.600]  其實佢係喺一個監獄裏面
[00:02:13.600 --> 00:02:16.080]  但係點樣樣
[00:02:16.080 --> 00:02:18.560]  佢能夠喺監獄裏面
[00:02:18.560 --> 00:02:20.560]  可以寫出一篇
[00:02:20.560 --> 00:02:23.280]  係講喜樂嘅書信呢
[00:02:23.280 --> 00:02:29.040]  今日我哋要講嗰個喜樂唔係真係話要開心開心開心
[00:02:29.040 --> 00:02:30.640]  其實喜樂
[00:02:30.640 --> 00:02:32.640]  係可以係一個點樣呀
[00:02:32.640 --> 00:02:34.960]  係一個情感嘅表達
[00:02:34.960 --> 00:02:38.480]  同時亦都係一個生活嘅態度
[00:02:38.480 --> 00:02:40.480]  同埋思考嘅模式
[00:02:40.480 --> 00:02:42.800]  喺菲律賓書裏面呢
[00:02:42.800 --> 00:02:44.480]  話畀我哋知道
[00:02:44.480 --> 00:02:48.240]  保羅喺監獄裏面佢喺呢封書信裏面
[00:02:48.240 --> 00:02:50.480]  不停咁樣講到喜樂
[00:02:50.480 --> 00:02:52.480]  你可唔可以想像
[00:02:52.480 --> 00:02:55.040]  一個人喺監獄裏面
[00:02:55.040 --> 00:02:57.840]  佢仲係可以喜樂呢
[00:02:57.840 --> 00:03:00.720]  喺監獄裏面可能係一個絕望
[00:03:00.720 --> 00:03:04.640]  係一個好陰暗嘅地方
[00:03:04.640 --> 00:03:06.480]  但係對於保羅
[00:03:06.480 --> 00:03:09.280]  佢嘅思考方式呢
[00:03:09.280 --> 00:03:11.680]  就同我哋好似好不一樣
[00:03:11.680 --> 00:03:13.200]  點解呢
[00:03:13.200 --> 00:03:16.560]  佢話雖然我係喺監獄裏面
[00:03:16.560 --> 00:03:20.000]  但係我嘅心裏面卻係自由嘅
[00:03:20.000 --> 00:03:21.520]  而且快樂
[00:03:21.520 --> 00:03:25.360]  原因係佢睇嗰樣嘢
[00:03:25.360 --> 00:03:27.360]  係好唔一樣
[00:03:27.360 --> 00:03:28.880]  因為快樂
[00:03:28.880 --> 00:03:32.880]  係會令到人哋覺得
[00:03:32.880 --> 00:03:36.000]  佢將個視線轉咗去另一個平台
[00:03:36.000 --> 00:03:38.000]  佢覺得佢喺監獄裏面
[00:03:38.000 --> 00:03:41.200]  只不過係換咗另一個地方去傳福音
[00:03:41.200 --> 00:03:44.560]  佢可以將福音傳過畀嗰啲
[00:03:44.560 --> 00:03:47.360]  看守監獄嘅人
[00:03:47.360 --> 00:03:50.960]  我哋話快樂
[00:03:50.960 --> 00:03:52.960]  點解咁艱難呢
[00:03:52.960 --> 00:03:54.960]  頭先有講到
[00:03:54.960 --> 00:03:57.360]  成績會令我哋焦慮
[00:03:57.360 --> 00:04:00.640]  我哋成日覺得如果我哋成績唔夠好
[00:04:00.640 --> 00:04:04.800]  就好擔心會讓到我哋嘅父母好失望
[00:04:04.800 --> 00:04:07.600]  其實喺好多時候
[00:04:07.600 --> 00:04:11.440]  成績係咪代表我哋嘅人生一切呢
[00:04:11.440 --> 00:04:13.440]  頭先有提到
