
[00:00:00.000 --> 00:00:06.600]  各位早晨,我是KOLA,很高興可以跟大家分享訊息
[00:00:06.600 --> 00:00:12.000]  不知道大家第一次完整看過一次聖經是何時呢?
[00:00:12.000 --> 00:00:17.400]  我是一個新二代,很小的時候就已經有了上教會
[00:00:17.400 --> 00:00:21.400]  但其實當我真的完整看過一次聖經
[00:00:21.400 --> 00:00:28.000]  是在我二十多歲洗禮後才認真看過一次
[00:00:28.000 --> 00:00:32.000]  不知道大家平時靈修的習慣是怎樣?
[00:00:32.000 --> 00:00:37.000]  會不會大家平時都不是經常看聖經?
[00:00:37.000 --> 00:00:44.000]  又或者你已經有固定的時間定時定候看聖經?
[00:00:44.000 --> 00:00:48.000]  又或者有些人平時又不是經常祈禱
[00:00:48.000 --> 00:00:52.000]  但一到他們病了的時候就特別肅靈
[00:00:52.000 --> 00:00:57.000]  就會經常祈禱希望神會醫治他們
[00:00:57.000 --> 00:01:04.000]  在一些研究聖經的學者中,其實並不是全部都是基督徒
[00:01:04.000 --> 00:01:08.000]  有些人雖然放了很多時間在聖經中
[00:01:08.000 --> 00:01:13.000]  但其實他們只是視聖經是一個研究的對象
[00:01:13.000 --> 00:01:16.000]  這樣就失去了聖經的意義
[00:01:16.000 --> 00:01:21.000]  而今天的講題是你今天底線了聖經沒有?
[00:01:21.000 --> 00:01:27.000]  如果要在底線上放一個動詞,大家會填些什麼?
[00:01:27.000 --> 00:01:33.000]  可能很多時候一開始我們就會想到填個「睇」字
[00:01:33.000 --> 00:01:37.000]  看聖經看聖經,經常都會在教會中聽
[00:01:37.000 --> 00:01:42.000]  而今天我會透過生命紀錄四至九節的經文
[00:01:42.000 --> 00:01:48.000]  我們一起去看看聖經是怎樣教導我們去對待我們的聖經
[00:01:48.000 --> 00:01:54.000]  可能我們都比較少看舊約,不知道大家多不多看舊約
[00:01:54.000 --> 00:02:00.000]  對於生命紀錄四至九節的經文,大家熟不熟悉呢?
[00:02:00.000 --> 00:02:07.000]  如果是一個猶太教徒的話,這一段的經文對他們就會非常熟悉
[00:02:07.000 --> 00:02:15.000]  因為如果是講到信經的話,猶太人的信經可能只會有一節
[00:02:15.000 --> 00:02:20.000]  而他們的信經又稱為「試碼」
[00:02:20.000 --> 00:02:24.000]  試碼是用了經文的第一個字「shama」
[00:02:24.000 --> 00:02:30.000]  他們的希伯來文就是這樣讀,可能直譯就是試碼
[00:02:30.000 --> 00:02:37.000]  「聽」這個字是作為以色列民主要接觸聖經的方法
[00:02:37.000 --> 00:02:42.000]  當時他們不是理想地拿起聖經,就把東西放下
