
[00:00:00.000 --> 00:00:02.000]   (Cantonese) Good morning, everyone.
[00:00:02.000 --> 00:00:06.000]   (Cantonese) We will continue to look at the "Tipsa Loriga" preface.
[00:00:06.000 --> 00:00:08.000]   (Cantonese) We have come to the fourth chapter.
[00:00:08.000 --> 00:00:10.000]   (Cantonese) I would like to ask you a question.
[00:00:10.000 --> 00:00:13.000]   (Cantonese) Maybe the reply is a bit scary.
[00:00:13.000 --> 00:00:15.000]   (Cantonese) But it's okay.
[00:00:15.000 --> 00:00:18.000]   (Cantonese) Okay, I will ask you a question.
[00:00:18.000 --> 00:00:23.000]   (Cantonese) I wonder if your parents have ever been on a trip,
[00:00:23.000 --> 00:00:24.000]   (Cantonese) when you were children.
[00:00:24.000 --> 00:00:27.000]   (Cantonese) What would they tell you when they were on a trip?
[00:00:27.000 --> 00:00:29.000]   (Cantonese) When they left you at home.
[00:00:29.000 --> 00:00:31.000]   (Cantonese) What would they tell you?
[00:00:31.000 --> 00:00:33.000]   (Cantonese) Be good.
[00:00:33.000 --> 00:00:34.000]   (Cantonese) Be good.
[00:00:34.000 --> 00:00:37.000]   (Cantonese) When my mother was on a trip,
[00:00:37.000 --> 00:00:39.000]   (Cantonese) or when she went to work,
[00:00:39.000 --> 00:00:41.000]   (Cantonese) she would say, "Be good."
[00:00:41.000 --> 00:00:44.000]   (Cantonese) If you think more closely,
[00:00:44.000 --> 00:00:46.000]   (Cantonese) like when you go to VBS,
[00:00:46.000 --> 00:00:49.000]   (Cantonese) if you take your students to camp,
[00:00:49.000 --> 00:00:51.000]   (Cantonese) you may have to leave the room for a while,
[00:00:51.000 --> 00:00:53.000]   (Cantonese) what would you tell them?
[00:00:53.000 --> 00:00:54.000]   (Cantonese) Be good.
[00:00:54.000 --> 00:00:57.000]   (Cantonese) Actually, the "Tipsa Loriga" preface
[00:00:57.000 --> 00:01:00.000]   is very similar to this.
[00:01:00.000 --> 00:01:05.000]   Jesus had just left them,
[00:01:05.000 --> 00:01:08.000]   leaving behind a group of believers.
[00:01:08.000 --> 00:01:12.000]   But he promised that he would return.
[00:01:12.000 --> 00:01:14.000]   What do you think Jesus would tell them
[00:01:14.000 --> 00:01:16.000]   after he left?
[00:01:16.000 --> 00:01:19.000]   Or what would he tell the "Tipsa Loriga"
[00:01:19.000 --> 00:01:22.000]   brothers and sisters?
[00:01:22.000 --> 00:01:24.000]   What would he tell them?
[00:01:24.000 --> 00:01:27.000]   He would tell them that he cared a lot
[00:01:27.000 --> 00:01:29.000]   about the situation of the church at that time.
[00:01:29.000 --> 00:01:33.000]   What was the situation of the church at that time?
[00:01:33.000 --> 00:01:36.000]   The church was facing a very serious oppression.
[00:01:36.000 --> 00:01:40.000]   Whether it was in the 17th chapter of the Book of Mormon,
[00:01:40.000 --> 00:01:43.000]   the Jews were angry at the Christians
[00:01:43.000 --> 00:01:46.000]   for taking away their people
[00:01:46.000 --> 00:01:48.000]   and not believing in Judaism anymore.
[00:01:48.000 --> 00:01:49.000]   So he persecuted them.
[00:01:49.000 --> 00:01:51.000]   The Romans also felt that these Christians
[00:01:51.000 --> 00:01:53.000]   did not follow the laws of the Roman government,
[00:01:53.000 --> 00:01:55.000]   so he persecuted them.
[00:01:55.000 --> 00:01:57.000]   What was even worse was that
[00:01:57.000 --> 00:02:02.000]   these believers, after following Jesus,
[00:02:02.000 --> 00:02:04.000]   their lives changed.
[00:02:04.000 --> 00:02:05.000]   Because they were new believers,
[00:02:05.000 --> 00:02:08.000]   their habits changed
[00:02:08.000 --> 00:02:12.000]   from what they were in the past.
[00:02:12.000 --> 00:02:15.000]   When they left their old lives,
[00:02:15.000 --> 00:02:18.000]   some people would think,
[00:02:18.000 --> 00:02:20.000]   "What's wrong? Why did you change?"
[00:02:21.000 --> 00:02:23.000]   So he began to persecute them.
[00:02:23.000 --> 00:02:28.000]   So the whole context of the "Tipsa Loriga" church
[00:02:28.000 --> 00:02:31.000]   shows what was happening at that time.
[00:02:31.000 --> 00:02:35.000]   The first three chapters talk about trials,
[00:02:35.000 --> 00:02:38.000]   and you will be persecuted.
[00:02:38.000 --> 00:02:40.000]   The fourth chapter talks about temptations,
[00:02:40.000 --> 00:02:42.000]   and you will be persecuted.
[00:02:42.000 --> 00:02:43.000]   But it doesn't matter.
[00:02:43.000 --> 00:02:45.000]   The fifth chapter talks about Jesus
[00:02:45.000 --> 00:02:47.000]   coming back.
[00:02:47.000 --> 00:02:50.000]   In the whole "Tipsa Loriga" preface,
[00:02:50.000 --> 00:02:52.000]   Jesus will come back is a very important message.
[00:02:52.000 --> 00:02:54.000]   From the first to the fifth chapter,
[00:02:54.000 --> 00:02:56.000]   each chapter reminds us
[00:02:56.000 --> 00:02:59.000]   to look into the hope.
[00:02:59.000 --> 00:03:00.000]   No matter what happens,
