
[00:00:00.000 --> 00:00:02.000]   (Applause)
[00:00:02.000 --> 00:00:03.000]   Awesome!
[00:00:03.000 --> 00:00:07.000]   And so we're starting this road toward Lent,
[00:00:07.000 --> 00:00:11.000]   and Lent is a time that we just want to calm down,
[00:00:11.000 --> 00:00:13.000]   we want to slow down.
[00:00:13.000 --> 00:00:15.000]   As we head towards Easter,
[00:00:15.000 --> 00:00:19.000]   we want to head towards our Creator,
[00:00:19.000 --> 00:00:23.000]   and we want to offer more and more time towards Him.
[00:00:23.000 --> 00:00:27.000]   And so Lent is often the time where we start to think
[00:00:27.000 --> 00:00:30.000]   to give up something.
[00:00:30.000 --> 00:00:34.000]   Some people might give up, I don't know, Instagram,
[00:00:34.000 --> 00:00:37.000]   some people might give up meat,
[00:00:37.000 --> 00:00:41.000]   as they prepare themselves to understand
[00:00:41.000 --> 00:00:43.000]   what Christ also went through.
[00:00:43.000 --> 00:00:47.000]   That He Himself gave up the most precious thing,
[00:00:47.000 --> 00:00:49.000]   and which was His life.
[00:00:49.000 --> 00:00:53.000]   And so we're entering into a series of parables,
[00:00:53.000 --> 00:00:56.000]   and the first parable we're going through today
[00:00:56.000 --> 00:00:59.000]   is the parable of the Good Samaritan.
[00:00:59.000 --> 00:01:02.000]   And so you saw in the video there, great video,
[00:01:02.000 --> 00:01:04.000]   we're doing the one app together,
[00:01:04.000 --> 00:01:07.000]   and it's going to lead us towards Lent.
[00:01:07.000 --> 00:01:09.000]   And so as you saw in the video,
[00:01:09.000 --> 00:01:13.000]   this story started with the Pharisees, right?
[00:01:13.000 --> 00:01:16.000]   The teachers of the law, and they were questioning Jesus, right?
[00:01:16.000 --> 00:01:20.000]   They were threatened by Jesus, His authority,
[00:01:20.000 --> 00:01:24.000]   His miracles, His power.
[00:01:24.000 --> 00:01:27.000]   They wanted to sort of trap Him.
[00:01:27.000 --> 00:01:31.000]   And this one person, maybe he was actually curious,
[00:01:31.000 --> 00:01:33.000]   or maybe he actually wanted to trap Jesus,
[00:01:33.000 --> 00:01:37.000]   but how can I inherit eternal life?
[00:01:37.000 --> 00:01:40.000]   And Jesus says, "What do you think?"
[00:01:40.000 --> 00:01:45.000]   Well, it's great, you know, just dialogue, right?
[00:01:45.000 --> 00:01:46.000]   He said, "Well, what do you think?"
[00:01:46.000 --> 00:01:48.000]   Well, you gotta love the Lord, our God,
[00:01:48.000 --> 00:01:51.000]   with all our heart, mind, soul, strength, everything.
[00:01:51.000 --> 00:01:54.000]   And then we gotta love our neighbor as ourselves.
[00:01:54.000 --> 00:02:00.000]   And Jesus asks, well, He asks, "Who is my neighbor?"
