
[00:00:00.000 --> 00:00:02.800]  在過去這兩三年的時間裡
[00:00:02.800 --> 00:00:05.600]  我相信大家都有很多的經歷
[00:00:05.600 --> 00:00:08.000]  有人可能已經移民
[00:00:08.000 --> 00:00:10.800]  有人在思考是否移民
[00:00:10.800 --> 00:00:15.200]  有人決定留下來面對這個新的局面
[00:00:15.200 --> 00:00:18.800]  也有不少人覺得迷茫困惑
[00:00:18.800 --> 00:00:22.800]  我不曉得大家當下的情況是怎樣的
[00:00:22.800 --> 00:00:24.200]  但我們可以確定的是
[00:00:24.200 --> 00:00:27.800]  我們是生活在一個很危險的環境之中
[00:00:27.800 --> 00:00:31.200]  但我們可以確定的是我們是生活在一個
[00:00:31.200 --> 00:00:34.400]  動盪轉變的時代
[00:00:34.400 --> 00:00:37.400]  不同的地方有戰爭
[00:00:37.400 --> 00:00:38.400]  有災難
[00:00:38.400 --> 00:00:39.400]  有死亡
[00:00:39.400 --> 00:00:41.200]  有痛苦
[00:00:41.200 --> 00:00:44.000]  作為信徒我們該何去何從
[00:00:44.000 --> 00:00:48.800]  神把我們放在這樣的一個時代當中
[00:00:48.800 --> 00:00:53.800]  我們該如何看見明白祂的心意
[00:00:53.800 --> 00:00:58.400]  以至於可以將這一份看見活出來呢
[00:00:58.400 --> 00:01:03.200]  好我們一起有個禱告
[00:01:03.200 --> 00:01:05.000]  親愛的主
[00:01:05.000 --> 00:01:07.600]  謝謝祢
[00:01:07.600 --> 00:01:10.800]  讓我們在這樣的一個時代當中
[00:01:10.800 --> 00:01:15.400]  可以活出祢要我們活出的樣式
[00:01:15.400 --> 00:01:18.200]  求主祢真的是保守我們
[00:01:18.200 --> 00:01:20.000]  透過今天這樣的一個時刻
[00:01:20.000 --> 00:01:22.200]  這樣的一個敬拜的時間
[00:01:22.200 --> 00:01:26.200]  求主讓我們再一次的去遇見祢
[00:01:26.200 --> 00:01:28.200]  去得著祢
[00:01:28.200 --> 00:01:31.200]  求主讓靈在這當中自由的運行
[00:01:31.200 --> 00:01:36.000]  讓我們真的是被祢所深深的碰觸
[00:01:36.000 --> 00:01:38.000]  被祢所深深的得著
[00:01:38.000 --> 00:01:41.000]  讓我們真的是單單的要遇見祢
[00:01:41.000 --> 00:01:42.600]  仰望祢
[00:01:42.600 --> 00:01:45.400]  求祢來保守下面的時間
[00:01:45.400 --> 00:01:46.400]  這樣的禱告
[00:01:46.400 --> 00:01:48.800]  奉我主耶穌基督聖名祈求
[00:01:48.800 --> 00:01:50.800]  Amen
[00:01:50.800 --> 00:01:53.800]  好今天呢其實想跟大家分享的是
[00:01:53.800 --> 00:01:56.000]  在不確定的時代
[00:01:56.000 --> 00:01:58.600]  看見神的心意
[00:01:58.600 --> 00:01:59.400]  我們一起
[00:01:59.400 --> 00:02:02.200]  剛才都有讀過這個經文了
[00:02:02.200 --> 00:02:05.000]  我今天就不再讀經文
[00:02:05.000 --> 00:02:07.400]  或者
[00:02:07.400 --> 00:02:10.200]  太小字了會不大家
[00:02:10.200 --> 00:02:14.200]  我可能過來一點點
[00:02:14.200 --> 00:02:18.000]  或者我給大家讀這個就三節的經文
[00:02:18.000 --> 00:02:19.400]  就是透過這三節
[00:02:19.400 --> 00:02:21.400]  讓我們看見如何在
[00:02:21.400 --> 00:02:23.200]  各樣的環境中
[00:02:23.200 --> 00:02:26.400]  看見上主的作為
[00:02:26.400 --> 00:02:29.200]  要常常喜樂不住的禱告
[00:02:29.200 --> 00:02:30.400]  凡事謝恩
[00:02:30.400 --> 00:02:32.400]  因為這是神在基督耶穌
[00:02:32.400 --> 00:02:34.800]  祢向你們所定的旨意
[00:02:34.800 --> 00:02:36.000]  那其實很多時候
[00:02:36.000 --> 00:02:37.600]  我們常常會問
[00:02:37.600 --> 00:02:39.200]  神祢的心意是什麼
[00:02:39.200 --> 00:02:41.000]  祢的旨意是什麼
[00:02:41.000 --> 00:02:43.200]  我們一般來好像覺得
