
[00:00:00.000 --> 00:00:03.080]  我們開展了若拿書的第二章
[00:00:03.080 --> 00:00:06.080]  到了第一章的最後一節
[00:00:06.080 --> 00:00:07.480]  那裡是這樣說的
[00:00:07.480 --> 00:00:12.000]  他說:耶和華安排了一條大魚
[00:00:12.000 --> 00:00:14.000]  吞了若拿
[00:00:14.000 --> 00:00:18.000]  他在漁福裡三日三夜
[00:00:18.000 --> 00:00:20.600]  我想你想想
[00:00:20.600 --> 00:00:26.000]  當你自己代入了這個狀態裡
[00:00:26.000 --> 00:00:31.000]  如果你在一個大魚的魚肚裡
[00:00:31.000 --> 00:00:33.000]  三日三夜
[00:00:33.000 --> 00:00:36.000]  你自己想想
[00:00:36.000 --> 00:00:38.000]  你覺得會是怎樣的呢?
[00:00:38.000 --> 00:00:42.000]  首先你想想在魚肚裡的狀態是怎樣的
[00:00:42.000 --> 00:00:47.000]  是很光啊?
[00:00:47.000 --> 00:00:49.000]  黑啊?
[00:00:49.000 --> 00:00:52.000]  還是臭啊?
[00:00:52.000 --> 00:00:54.000]  很腥啊?
[00:00:54.000 --> 00:00:56.000]  你想想這個狀態是怎樣的
[00:00:56.000 --> 00:00:58.000]  你跟你旁邊的人說說
[00:00:58.000 --> 00:01:01.000]  你覺得在魚肚裡會是怎樣的
[00:01:01.000 --> 00:01:04.000]  我猜我們在人生裡
[00:01:04.000 --> 00:01:08.000]  都會有一些像若拿這個時間
[00:01:08.000 --> 00:01:11.000]  三日三夜在魚肚裡
[00:01:11.000 --> 00:01:14.000]  是代表著一個黑暗
[00:01:14.000 --> 00:01:17.000]  代表著一個低谷
[00:01:17.000 --> 00:01:21.000]  或者你不知道應該怎樣
[00:01:21.000 --> 00:01:26.000]  才可以走出這個魚肚裡
[00:01:26.000 --> 00:01:32.000]  今天若拿跟我們分享他的故事
[00:01:32.000 --> 00:01:37.000]  首先他告訴我們一件很重要的事
[00:01:37.000 --> 00:01:39.000]  他在這三日三夜裡
[00:01:39.000 --> 00:01:42.000]  當他什麼都做不到的時候
[00:01:42.000 --> 00:01:45.000]  他只可以祈禱
[00:01:45.000 --> 00:01:48.000]  他這個祈禱是這麼說的
[00:01:48.000 --> 00:01:53.000]  他說:若拿在漁福中禱告耶和華
[00:01:53.000 --> 00:01:58.000]  他的上帝說:我遭遇患難求告耶和華
[00:01:58.000 --> 00:02:01.000]  你就應允我
[00:02:01.000 --> 00:02:04.000]  從陰間的深處呼求
[00:02:04.000 --> 00:02:07.000]  你就撫聽我的聲音
[00:02:07.000 --> 00:02:10.000]  記不記得上星期
[00:02:10.000 --> 00:02:12.000]  帕薩克倫跟我們說到
[00:02:12.000 --> 00:02:17.000]  為什麼若拿會去到這個魚肚裡
[00:02:17.000 --> 00:02:20.000]  因為他信服
[00:02:20.000 --> 00:02:23.000]  因為他不聽話
[00:02:23.000 --> 00:02:27.000]  因為他想走自己的路
[00:02:27.000 --> 00:02:33.000]  A就是第一個
[00:02:33.000 --> 00:02:35.000]  第一個是什麼?
[00:02:35.000 --> 00:02:37.000]  我剛才說第一個是什麼?
[00:02:37.000 --> 00:02:38.000]  我自己忘記了
[00:02:38.000 --> 00:02:42.000]  A是信服
[00:02:42.000 --> 00:02:46.000]  B是不聽神的話
[00:02:46.000 --> 00:02:51.000]  C是他自己想走自己的路
[00:02:51.000 --> 00:02:56.000]  你是覺得A的舉手
[00:02:56.000 --> 00:03:05.000]  B的舉手
[00:03:05.000 --> 00:03:08.000]  C的舉手
[00:03:08.000 --> 00:03:12.000]  以上都是的舉手
[00:03:12.000 --> 00:03:17.000]  其實各有各
[00:03:17.000 --> 00:03:22.000]  若拿不聽神話
[00:03:22.000 --> 00:03:25.000]  也是偏行他自己的路
[00:03:25.000 --> 00:03:30.000]  讓他自己陷入了現在這個狀態
[00:03:30.000 --> 00:03:35.000]  就是在漁福裡三日三夜
[00:03:35.000 --> 00:03:37.000]  我問問大家
[00:03:37.000 --> 00:03:43.000]  有時候當你陷入困難的境況裡
[00:03:43.000 --> 00:03:45.000]  第一個要反思的是
[00:03:45.000 --> 00:03:50.000]  自己是否夠由自取?
[00:03:50.000 --> 00:03:51.000]  很簡單
[00:03:51.000 --> 00:03:53.000]  有人點頭了
[00:03:53.000 --> 00:03:54.000]  很簡單的一件事
[00:03:54.000 --> 00:03:57.000]  明天交功課
[00:03:57.000 --> 00:03:59.000]  在一個星期前告訴你
[00:03:59.000 --> 00:04:02.000]  下星期一交功課
[00:04:02.000 --> 00:04:05.000]  每一天都有很多時間可以做
