
[00:00:00.000 --> 00:00:03.160]   (audience applauding)
[00:00:03.160 --> 00:00:05.460]   - It's so good to be back with you guys.
[00:00:05.460 --> 00:00:08.660]   And as you know, I was in Singapore.
[00:00:08.660 --> 00:00:11.460]   And for the beginning, I was with Pastor John
[00:00:11.460 --> 00:00:13.460]   at Movement Day Conference.
[00:00:13.460 --> 00:00:15.160]   Have anybody heard of Movement Day?
[00:00:15.160 --> 00:00:16.000]   Raise your hand.
[00:00:16.000 --> 00:00:16.840]   Yes, several of you.
[00:00:16.840 --> 00:00:20.700]   And we got to see what God was doing
[00:00:20.700 --> 00:00:23.500]   in different cities in Southeast Asia.
[00:00:23.500 --> 00:00:28.500]   So in Jakarta, in India, half the conference was Indian.
[00:00:28.500 --> 00:00:30.500]   They're really into Movement Day.
[00:00:30.500 --> 00:00:33.500]   Jakarta, Singapore, Hong Kong, Pastor John,
[00:00:33.500 --> 00:00:35.500]   Pastor Andrew Gardner was there.
[00:00:35.500 --> 00:00:38.500]   And they were talking about how they were reaching
[00:00:38.500 --> 00:00:39.500]   the next generation.
[00:00:39.500 --> 00:00:43.500]   And it was an awesome time at Movement Day Conference
[00:00:43.500 --> 00:00:44.500]   in Singapore.
[00:00:44.500 --> 00:00:46.500]   And then we also had a conference with Winnie
[00:00:46.500 --> 00:00:49.500]   and the Explorer pastors, the Explorer team there.
[00:00:49.500 --> 00:00:51.500]   And we went to Heart of God Church
[00:00:51.500 --> 00:00:54.500]   and just seeing how they do youth ministry.
[00:00:54.500 --> 00:00:57.500]   This church is full of thousands of young people
[00:00:57.500 --> 00:01:02.500]   and young people from six or seven are taking photos.
[00:01:02.500 --> 00:01:05.500]   People, teens from 14 to 15 are starting
[00:01:05.500 --> 00:01:09.500]   to lead other Connect group leaders.
[00:01:09.500 --> 00:01:12.500]   And it's amazing to see this youth church
[00:01:12.500 --> 00:01:15.500]   and really learn from them and see how we can grow also
[00:01:15.500 --> 00:01:20.500]   as a church to grow our youth and help them to grow.
[00:01:20.500 --> 00:01:22.500]   Well, while I was in Singapore,
[00:01:22.500 --> 00:01:23.500]   who's been to Singapore before?
[00:01:23.500 --> 00:01:24.500]   Who's been to Singapore?
