
[00:00:00.000 --> 00:00:05.000]  大型姊妹,新年快樂
[00:00:05.000 --> 00:00:10.000]  很高興今天可以不用戴口罩跟大家說
[00:00:10.000 --> 00:00:15.000]  在新年,恭祝大家主恩滿日,愛主更多
[00:00:15.000 --> 00:00:21.000]  今年是套年,我想大家在外面看到有一個很特別的祝福
[00:00:21.000 --> 00:00:26.000]  祝福的句子就是「套氣揚眉」
[00:00:26.000 --> 00:00:31.000]  套什麼氣呢?我恭祝大家套基督的香氣
[00:00:31.000 --> 00:00:36.000]  請大家跟隔壁的人說「我們要套氣揚眉」
[00:00:36.000 --> 00:00:48.000]  新的一年,第一卷《門訓主義經文》馬學福音
[00:00:48.000 --> 00:00:55.000]  這是最早寫成的福音書,是主後50至60年寫成的
[00:00:55.000 --> 00:01:01.000]  寫於羅馬,大多數學者都相信不少馬太和盧伽福音
[00:01:01.000 --> 00:01:07.000]  都是引用了馬學福音的記載
[00:01:07.000 --> 00:01:12.000]  馬學福音的作者是耶路撒冷人的約翰·馬可
[00:01:12.000 --> 00:01:19.000]  早期的教會時時在馬學的媽媽家裡聚會
[00:01:19.000 --> 00:01:24.000]  馬學他自己本身不是十二個門徒之一
[00:01:24.000 --> 00:01:32.000]  他的表兄是巴拿巴,馬可曾經跟保羅和巴拿巴同宮
[00:01:32.000 --> 00:01:38.000]  後來隨從了仕途彼得去過巴比倫
[00:01:38.000 --> 00:01:41.000]  他跟仕途彼得的關係很密切
[00:01:41.000 --> 00:01:45.000]  在彼得前書,彼得稱馬可為「我的兒子」
[00:01:45.000 --> 00:01:52.000]  大部分學者都相信馬可是跟彼得口中寫成馬學福音
[00:01:52.000 --> 00:01:58.000]  馬學福音的主題是「耶穌是神的兒子,人的僕人」
[00:01:58.000 --> 00:02:01.000]  這也是今天精導的題目
[00:02:01.000 --> 00:02:07.000]  這個主題很清楚地列出在馬學福音的約節
[00:02:07.000 --> 00:02:11.000]  在十章45節,我們一起讀
[00:02:11.000 --> 00:02:18.000]  「因為人子來,並不是要受人的服侍,乃是要服侍人
[00:02:18.000 --> 00:02:23.000]  並且要寫明「度眾人的屬價」
[00:02:23.000 --> 00:02:29.000]  神的兒子和人的僕人,這兩個身份好像是對立的
[00:02:29.000 --> 00:02:37.000]  既然耶穌神是神的兒子,擁有至高無上的權柄
[00:02:37.000 --> 00:02:42.000]  為什麼會成為人的僕人來服侍人呢?
[00:02:42.000 --> 00:02:49.000]  就讓我們從馬學福音第一章認識這個福音書的主題
[00:02:49.000 --> 00:02:54.000]  在靜悟之前,讓我們一起禱告
[00:02:54.000 --> 00:02:58.000]  敬愛的父神,感謝祢賜下祢的話語
[00:02:58.000 --> 00:03:00.000]  讓我們能夠更多認識祢
[00:03:00.000 --> 00:03:04.000]  在以下的訊息裡,求祢的聖靈與我們同在
[00:03:04.000 --> 00:03:09.000]  幫助說的、聽的,都能夠更多明白祢的心意
[00:03:09.000 --> 00:03:13.000]  使我們的生命能更加使你喜悅
[00:03:13.000 --> 00:03:16.000]  禱告感恩,是復靠祢獨身愛治
[00:03:16.000 --> 00:03:20.000]  耶穌基督保祢的名字,阿門
[00:03:20.000 --> 00:03:24.000]  馬學福音第一章可以分為兩個部分
[00:03:24.000 --> 00:03:28.000]  一至二十八節是講耶穌是神的兒子
[00:03:28.000 --> 00:03:32.000]  祂的身份、孫息、呼召和權柄
[00:03:32.000 --> 00:03:37.000]  二十九到四十五節是關於耶穌是人的僕人
[00:03:37.000 --> 00:03:41.000]  祂的服侍和祂的心腸
[00:03:41.000 --> 00:03:48.000]  一至十三節宣告了耶穌有神兒子的名份
[00:03:48.000 --> 00:03:53.000]  一至八節是神兒子身份的預告
[00:03:53.000 --> 00:04:00.000]  第一節,馬學福音以神的兒子耶穌基督為開始
[00:04:00.000 --> 00:04:03.000]  因為這是基督教信仰的基礎
[00:04:03.000 --> 00:04:07.000]  特別是對第一世紀的猶太人
