
[00:00:00.000 --> 00:00:11.000]  我們這個月2021,我們在說一個系列,你知道這個系列叫什麼名字嗎?
[00:00:11.000 --> 00:00:13.000]  Identity
[00:00:13.000 --> 00:00:19.000]  是的,Identity and Relationship,今天很有參與力,這麼好
[00:00:19.000 --> 00:00:25.000]  然後我們開始的時候,我們就說我們的身份在哪裡?
[00:00:25.000 --> 00:00:28.000]  在神那裡,我們是在祂的形象中製造的
[00:00:28.000 --> 00:00:39.000]  然後我們Pastor Gavin就和我們分享,我們的新的身份在於耶穌,因為我們接受了主耶穌,就有一個新的身份
[00:00:39.000 --> 00:00:54.000]  然後我們就學了,我們是神的兒女,然後上個星期Pastor Irene幫我們說,我們的回應是什麼?我們怎麼可以做一個真實的,我們怎麼可以真實的對自己
[00:00:54.000 --> 00:01:02.000]  然後今天我們就會說我們的回應,我們怎麼可以真實在我們的關係中
[00:01:02.000 --> 00:01:15.000]  我們這個世界有很多東西是真實的對假的,你覺得有什麼是真實的對假的呢?
[00:01:15.000 --> 00:01:19.000]  我有三個例子
[00:01:19.000 --> 00:01:26.000]  人和人之間的真實與假的朋友
[00:01:26.000 --> 00:01:39.000]  這個世界有很多東西是假的,很多假的手袋,很多假的鞋子,在女人街可以找到很多假的東西
[00:01:39.000 --> 00:01:46.000]  現在很多人都有假錢,假金錢
[00:01:46.000 --> 00:01:49.000]  這個面膜是什麼?
[00:01:49.000 --> 00:01:52.000]  是不是forgery?
[00:01:52.000 --> 00:02:07.000]  很多人都是fake的,他放了面膜,有些人對你前面是很好的,但在你背後就說很多壞話
[00:02:07.000 --> 00:02:14.000]  有些人是fake,他說很想和你玩,很想和你打球,然後就不理你
[00:02:14.000 --> 00:02:18.000]  有沒有人是有這樣的朋友?
[00:02:18.000 --> 00:02:22.000]  我有
[00:02:22.000 --> 00:02:29.000]  我有一個朋友就是去年和前年都是欺負我的
[00:02:29.000 --> 00:02:38.000]  然後無端端在七年級的中間的時候,突然間進我的群組,對我很好
[00:02:38.000 --> 00:02:45.000]  今天我們讀一個passage
[00:02:45.000 --> 00:03:14.000]  (文字上的文字不太好,請看影片資訊欄)
[00:03:14.000 --> 00:03:27.000]  (文字上的文字不太好,請看影片資訊欄)
[00:03:27.000 --> 00:03:41.000]  今天我們讀這個passage,會看到Samuel如何變成一個真正的人,和神如何保持他的真正的保證
[00:03:41.000 --> 00:03:51.000]  第一個point,我們看到Samuel overcome the disappointment of the rejection of Saul as king
[00:03:51.000 --> 00:03:55.000]  你們知不知道以色列第一個王是誰?
[00:03:55.000 --> 00:04:01.000]  他的名字叫做Saul,是很高大的
[00:04:01.000 --> 00:04:04.000]  聖經說他是head above everybody else
[00:04:04.000 --> 00:04:07.000]  one head above everybody else
[00:04:07.000 --> 00:04:14.000]  當然沒有姚明那麼高,姚明是七尺三或七尺四
[00:04:14.000 --> 00:04:17.000]  He is head above everybody else
[00:04:17.000 --> 00:04:24.000]  我們看第一個point,是Saul overcome the disappointment of rejection
[00:04:24.000 --> 00:04:30.000]  他做high priest是第一個去annoy Saul
[00:04:30.000 --> 00:04:34.000]  他很傷心,因為Saul去disobey God
[00:04:34.000 --> 00:04:41.000]  他就recognize他自己有一個right time
[00:04:41.000 --> 00:04:43.000]  神就跟他說有一個right time
[00:04:43.000 --> 00:04:50.000]  有一個right time to mourn,有一個right time to get up and anoint the next king
[00:04:50.000 --> 00:04:59.000]  神就跟他說,How long will you grieve over Saul since I have rejected him over Israel?
[00:04:59.000 --> 00:05:02.000]  Fill your horn with oil and go
[00:05:02.000 --> 00:05:10.000]  神就跟他說,Fill your horn with oil,你會去go and anoint the next king
[00:05:10.000 --> 00:05:15.000]  我們做一個real person,跟我們的friend的時候
[00:05:15.000 --> 00:05:19.000]  我們都要recognize我們每個人都有一個right time
[00:05:19.000 --> 00:05:23.000]  有時我們會sad,有時我們會happy
[00:05:23.000 --> 00:05:27.000]  有時我們是要主動去做動作
[00:05:27.000 --> 00:05:37.000]  我們看下一個point,是Samuel is sent to Jesse of Bethlehem, the grandson of Ruth and Boaz
[00:05:37.000 --> 00:05:41.000]  我們看到神保持他的right promise
[00:05:41.000 --> 00:05:48.000]  神的promise就是,1st Abraham會有descendants as numerous as the stars
[00:05:48.000 --> 00:05:55.000]  他的line是繼續去through Ruth,跟著去through Jesse
