
[00:00:00.000 --> 00:00:07.000]  各位弟兄姊妹主乃平安
[00:00:07.000 --> 00:00:11.000]  好 讓我先試一下powerpoint
[00:00:11.000 --> 00:00:15.000]  好 今天我們來到
[00:00:15.000 --> 00:00:18.000]  貼薩羅尼加後書的最後一章
[00:00:18.000 --> 00:00:21.000]  也是整個貼薩羅尼加前後書
[00:00:21.000 --> 00:00:24.000]  門訓系列的最後一堂講道
[00:00:24.000 --> 00:00:29.000]  我們今天看一下保羅對貼薩羅尼加教會的信徒
[00:00:29.000 --> 00:00:32.000]  他們的弟兄姊妹有什麼教導
[00:00:32.000 --> 00:00:37.000]  好 首先我們要看一下第二章是講什麼的
[00:00:37.000 --> 00:00:40.000]  因為今天有少少的經文都和第二章有些關係
[00:00:40.000 --> 00:00:44.000]  如果大家記得兩次之前
[00:00:44.000 --> 00:00:48.000]  就提到二章一到十二節提到有一班不法之人
[00:00:48.000 --> 00:00:51.000]  就在那裡講一些假的教導
[00:00:51.000 --> 00:00:54.000]  就說主已經回來了
[00:00:54.000 --> 00:00:56.000]  主的日子已經來到
[00:00:56.000 --> 00:00:58.000]  甚至這班人還自稱是上帝
[00:00:58.000 --> 00:01:02.000]  這個錯誤的教導就令到保羅很擔心
[00:01:02.000 --> 00:01:06.000]  於是在上一次的貼前的講道就提到
[00:01:06.000 --> 00:01:11.000]  保羅要鼓勵弟兄姊妹在這個環境要站立得穩
[00:01:11.000 --> 00:01:14.000]  保羅期望信徒可以站立得穩
[00:01:14.000 --> 00:01:18.000]  要堅守保羅對他們的教導
[00:01:18.000 --> 00:01:21.000]  而在最後第二章結束的時候
[00:01:21.000 --> 00:01:24.000]  就是一個保羅的祈求
[00:01:24.000 --> 00:01:27.000]  經文我都打了在power point
[00:01:27.000 --> 00:01:28.000]  保羅就說
[00:01:28.000 --> 00:01:32.000]  願我們主耶穌基督自己和那愛我們
[00:01:32.000 --> 00:01:34.000]  開恩將我們
[00:01:34.000 --> 00:01:36.000]  開恩將永遠的安慰
[00:01:36.000 --> 00:01:39.000]  及美好的盼望賜給我們的父上帝
[00:01:39.000 --> 00:01:40.000]  安慰你們的心
[00:01:40.000 --> 00:01:44.000]  並且一切的善行善言上堅固你們
[00:01:44.000 --> 00:01:50.000]  接著就是來到今天的講道經文第三章
[00:01:50.000 --> 00:01:52.000]  保羅在二章尾
[00:01:52.000 --> 00:01:57.000]  為了貼薩諾尼加的弟兄姊妹代求
[00:01:57.000 --> 00:01:59.000]  去到第三章一開始
[00:01:59.000 --> 00:02:04.000]  就是保羅都希望貼薩諾尼加的弟兄姊妹
[00:02:04.000 --> 00:02:07.000]  為他們去祈禱
[00:02:07.000 --> 00:02:09.000]  首先是保羅為他們祈禱
[00:02:09.000 --> 00:02:13.000]  然後保羅就希望你們都為我們去祈禱
[00:02:13.000 --> 00:02:14.000]  經文這樣說
[00:02:14.000 --> 00:02:16.000]  沒了弟兄們
[00:02:16.000 --> 00:02:18.000]  請你們為我們禱告
[00:02:18.000 --> 00:02:20.000]  好讓主的道快快傳開
[00:02:20.000 --> 00:02:21.000]  得著榮耀
[00:02:21.000 --> 00:02:23.000]  正如在你們中間一樣
[00:02:23.000 --> 00:02:27.000]  也讓我們能脫離無理和邪惡人的手
[00:02:27.000 --> 00:02:29.000]  因為不是人人都有信仰
[00:02:29.000 --> 00:02:32.000]  不是人人都相信上帝的
[00:02:32.000 --> 00:02:34.000]  有合理的真理的教導
[00:02:34.000 --> 00:02:37.000]  所以他們成為了無理和邪惡人
[00:02:37.000 --> 00:02:39.000]  但是主是信實的
[00:02:39.000 --> 00:02:40.000]  祂要堅固你們
[00:02:40.000 --> 00:02:43.000]  保護你們脫離那邪惡者
[00:02:43.000 --> 00:02:45.000]  我們靠主對你們有信心
[00:02:45.000 --> 00:02:47.000]  你們現在遵行
[00:02:47.000 --> 00:02:49.000]  以後也必遵行我們所吩咐的
[00:02:49.000 --> 00:02:52.000]  願主引導你們的心去愛上帝
[00:02:52.000 --> 00:02:55.000]  並學基督的忍耐
[00:02:55.000 --> 00:02:59.000]  弟兄姊妹我們見到的
[00:02:59.000 --> 00:03:02.000]  保羅想提摩太
[00:03:02.000 --> 00:03:05.000]  不是提摩太貼薩諾尼加的弟兄姊妹
[00:03:05.000 --> 00:03:07.000]  為他們的祈禱有兩個內容
[00:03:07.000 --> 00:03:12.000]  第一個就是為主的道可以快快傳開
[00:03:12.000 --> 00:03:13.000]  得著榮耀
[00:03:13.000 --> 00:03:14.000]  這是第一節
[00:03:14.000 --> 00:03:16.000]  第二個祈禱的內容就是希望
[00:03:16.000 --> 00:03:18.000]  可以讓我們
[00:03:18.000 --> 00:03:20.000]  即是保羅他們一行人
[00:03:20.000 --> 00:03:24.000]  可以脫離無理和邪惡人的手
[00:03:24.000 --> 00:03:26.000]  但是如果你剛剛聽我讀
[00:03:26.000 --> 00:03:27.000]  或者你看的時候
[00:03:27.000 --> 00:03:29.000]  你會發覺原來一至五節
[00:03:29.000 --> 00:03:33.000]  那個代禱的需要就去到第二節
[00:03:33.000 --> 00:03:35.000]  因為第三節到第五節
[00:03:35.000 --> 00:03:38.000]  保羅的焦點又再一次
[00:03:38.000 --> 00:03:41.000]  就不是放在自己的需要上
[00:03:41.000 --> 00:03:45.000]  而是也放在弟兄姊妹身上
[00:03:45.000 --> 00:03:48.000]  保羅的焦點其實說到尾
[00:03:48.000 --> 00:03:53.000]  仍然掛念著貼薩諾尼加弟兄姊妹的情況
[00:03:53.000 --> 00:03:58.000]  但你看看保羅他怎樣去說
[00:03:58.000 --> 00:04:00.000]  他就說主是信實的
[00:04:00.000 --> 00:04:01.000]  他要兼顧你們
[00:04:01.000 --> 00:04:04.000]  保護你脫離那邪惡者
[00:04:04.000 --> 00:04:07.000]  大家知不知道那邪惡者是誰
[00:04:07.000 --> 00:04:10.000]  一定是魔鬼和撒旦
[00:04:10.000 --> 00:04:12.000]  然後亦都說過
[00:04:12.000 --> 00:04:13.000]  怎樣去保護他們
[00:04:13.000 --> 00:04:16.000]  就是你們現在進行的
[00:04:16.000 --> 00:04:20.000]  我們都相信靠主你們會繼續去進行
[00:04:20.000 --> 00:04:25.000]  如果你見到保羅在第三章用的字眼
[00:04:25.000 --> 00:04:27.000]  那邪惡者
[00:04:27.000 --> 00:04:30.000]  和必要進行我們所吩咐
[00:04:30.000 --> 00:04:35.000]  你就會發現其實這些正正就是第二章
[00:04:35.000 --> 00:04:38.000]  即是上幾次說到用的字眼
[00:04:38.000 --> 00:04:40.000]  怎樣可以站立得穩
[00:04:40.000 --> 00:04:43.000]  就是要進行合乎聖經
[00:04:43.000 --> 00:04:45.000]  即是保羅他們所傳的教導
[00:04:45.000 --> 00:04:46.000]  但這裡有說
[00:04:46.000 --> 00:04:48.000]  要防備誰
[00:04:48.000 --> 00:04:51.000]  那些不法之人是靠誰去作惡
[00:04:51.000 --> 00:04:54.000]  就是那邪惡者
[00:04:54.000 --> 00:04:56.000]  所以如果我們看回
[00:04:56.000 --> 00:05:00.000]  二章第九至十二節
[00:05:00.000 --> 00:05:07.000]  保羅去期望弟兄姊妹可以脫離那惡者
[00:05:07.000 --> 00:05:09.000]  那惡者是甚麼意思呢
[00:05:09.000 --> 00:05:12.000]  很容易我們會去想
[00:05:12.000 --> 00:05:14.000]  會不會是因為那惡者
[00:05:14.000 --> 00:05:19.000]  那些非信徒對信徒有很大的迫害
[00:05:19.000 --> 00:05:20.000]  生命的威脅
[00:05:20.000 --> 00:05:22.000]  是真的那時候有這種事
[00:05:22.000 --> 00:05:27.000]  是不是脫離那惡者就是要脫離生命的威脅呢
[00:05:27.000 --> 00:05:30.000]  如果我們看回第二章
[00:05:30.000 --> 00:05:33.000]  似乎就未必是這個意思
[00:05:33.000 --> 00:05:37.000]  因為在第二章那惡者怎樣威脅信徒
[00:05:37.000 --> 00:05:38.000]  是不是在威脅他的生命呢
[00:05:38.000 --> 00:05:42.000]  我們看回第二章九到十二節
[00:05:42.000 --> 00:05:45.000]  不法之人來是靠著撒旦去運作的
[00:05:45.000 --> 00:05:46.000]  他們做甚麼呢
[00:05:46.000 --> 00:05:47.000]  他們行各樣的異能神蹟
[00:05:47.000 --> 00:05:49.000]  一切虛假的事
[00:05:49.000 --> 00:05:51.000]  他們要行那些不義的詭詐
[00:05:51.000 --> 00:05:53.000]  因為他們不領受愛真理的心
[00:05:53.000 --> 00:05:54.000]  好讓他們得救
[00:05:54.000 --> 00:05:58.000]  故此上帝給他們一個引發錯誤的心
[00:05:58.000 --> 00:06:01.000]  叫他們信從虛方
[00:06:01.000 --> 00:06:04.000]  叫一切不信真理到愛不義的人都被定罪
[00:06:04.000 --> 00:06:08.000]  所以這一班有撒旦勢力的人
[00:06:08.000 --> 00:06:13.000]  他們就不是在迫害
[00:06:13.000 --> 00:06:15.000]  令他們門徒有生命的威脅
[00:06:15.000 --> 00:06:18.000]  而是他們在散播一些假的道理
[00:06:18.000 --> 00:06:20.000]  主意回來了
[00:06:20.000 --> 00:06:23.000]  還要撒旦幫他們加強說服力
[00:06:23.000 --> 00:06:24.000]  怎樣做呢
[00:06:24.000 --> 00:06:27.000]  就是這班人原來可以有行神蹟歧視的本領
[00:06:27.000 --> 00:06:29.000]  這樣就更加值得人信
[00:06:29.000 --> 00:06:35.000]  所以當我們看保羅說
[00:06:35.000 --> 00:06:39.000]  保護你們脫離那惡者
[00:06:39.000 --> 00:06:43.000]  就不是在說信徒會遭受到迫害
[00:06:43.000 --> 00:06:45.000]  而是在說
[00:06:45.000 --> 00:06:50.000]  希望信徒不要被他們的假教導迷惑
[00:06:50.000 --> 00:06:55.000]  因此要對付這種外在迷惑的方法
