
[00:00:00.000 --> 00:00:02.000]  感恩我們又相聚在一起
[00:00:02.000 --> 00:00:04.000]  真的是每一次的相聚
[00:00:04.000 --> 00:00:07.000]  就感謝神如此的愛我們的群體
[00:00:07.000 --> 00:00:09.000]  愛我們每一位
[00:00:09.000 --> 00:00:12.000]  那麼透過《創世記》呢
[00:00:12.000 --> 00:00:16.000]  神不單是告訴我們世界萬物的由來
[00:00:16.000 --> 00:00:19.000]  記得上次特別和大家分享過啊
[00:00:19.000 --> 00:00:21.000]  用《創世記》第一章
[00:00:21.000 --> 00:00:24.000]  由創造來認識造物主
[00:00:24.000 --> 00:00:25.000]  那麼
[00:00:25.000 --> 00:00:31.000]  今天呢我們要進入到第二章裡邊
[00:00:31.000 --> 00:00:33.000]  我們來看這樣一個
[00:00:33.000 --> 00:00:37.000]  神對亞當夏娃的詳細記載
[00:00:37.000 --> 00:00:39.000]  從這樣一個創造裡邊
[00:00:39.000 --> 00:00:42.000]  來看神與人的關係
[00:00:42.000 --> 00:00:45.000]  求主來賜福和帶領我們
[00:00:45.000 --> 00:00:49.000]  那麼正如同上次和大家的正道分享啊
[00:00:49.000 --> 00:00:51.000]  神啊用了一週的時間
[00:00:51.000 --> 00:00:56.000]  其中有創造有安息休息
[00:00:56.000 --> 00:00:58.000]  世界萬物便產生
[00:00:58.000 --> 00:01:02.000]  那麼其中就包括了對人的創造
[00:01:02.000 --> 00:01:05.000]  在《創世記》的第二章裡邊呢
[00:01:05.000 --> 00:01:08.000]  又有關於造人的詳細的描寫
[00:01:08.000 --> 00:01:10.000]  我們就可以看到啊
[00:01:10.000 --> 00:01:13.000]  人和神這樣一種的關係
[00:01:13.000 --> 00:01:17.000]  也明白神對人的一些的對話
[00:01:17.000 --> 00:01:23.000]  也明白神對人的一些的特別的用心
[00:01:23.000 --> 00:01:25.000]  就包括在二章的第七節裡邊
[00:01:25.000 --> 00:01:28.000]  有詳細的描述啊
[00:01:28.000 --> 00:01:30.000]  耶和華神呢
[00:01:30.000 --> 00:01:33.000]  就用地上的塵土來造人啊
[00:01:33.000 --> 00:01:34.000]  等等啊
[00:01:34.000 --> 00:01:35.000]  而且把祂的生氣
[00:01:35.000 --> 00:01:38.000]  吹入到人的生命體裡邊
[00:01:38.000 --> 00:01:40.000]  就成了有靈的活人啊
[00:01:40.000 --> 00:01:42.000]  第一個人是誰啊
[00:01:42.000 --> 00:01:43.000]  亞當啊
[00:01:43.000 --> 00:01:45.000]  名叫亞當
[00:01:45.000 --> 00:01:46.000]  那麼今天呢
[00:01:46.000 --> 00:01:48.000]  也特別想用這段經文
[00:01:48.000 --> 00:01:50.000]  帶領大家呢
[00:01:50.000 --> 00:01:52.000]  分別用五個看見
[00:01:52.000 --> 00:01:55.000]  這段經文裡面的五個看見
[00:01:55.000 --> 00:01:59.000]  分別指向了五個神和人的關係
[00:01:59.000 --> 00:02:00.000]  其中呢
[00:02:00.000 --> 00:02:04.000]  也有五個警醒來提醒我們
[00:02:04.000 --> 00:02:08.000]  那麼我們一起來禱告
[00:02:08.000 --> 00:02:10.000]  天父我們感謝祢
[00:02:10.000 --> 00:02:13.000]  每一次奉祢的名相聚
[00:02:13.000 --> 00:02:15.000]  我們就歡喜快樂
[00:02:15.000 --> 00:02:18.000]  因為我們是屬於祢的
[00:02:18.000 --> 00:02:21.000]  我們每逢經歷主祢各樣的恩典
