
[00:00:00.000 --> 00:00:03.680]  早安,我們今天討論「真正的祝福」
[00:00:03.680 --> 00:00:04.880]  「真正的祝福」
[00:00:04.880 --> 00:00:09.280]  你們希望得到甚麼祝福
[00:00:09.280 --> 00:00:12.080]  一開始時,你們會…
[00:00:12.080 --> 00:00:16.840]  你們會在群組中準備一些祝福
[00:00:16.840 --> 00:00:18.880]  好嗎?我會考驗你們
[00:00:18.880 --> 00:00:21.000]  有甚麼祝福…
[00:00:21.000 --> 00:00:22.600]  馬上有福氣
[00:00:22.600 --> 00:00:25.280]  馬上有福氣,好,非常好
[00:00:25.280 --> 00:00:27.000]  你會跟外婆說甚麼
[00:00:27.000 --> 00:00:28.760]  「新年快樂」,然後呢
[00:00:29.240 --> 00:00:30.120]  「身體健康」
[00:00:30.120 --> 00:00:33.840]  好,你準備一些祝福,然後我考驗你
[00:00:33.840 --> 00:00:34.840]  好,請開始
[00:00:34.840 --> 00:00:36.400]  好,大家準備好了嗎
[00:00:36.400 --> 00:00:38.520]  誰準備好了
[00:00:38.520 --> 00:00:40.920]  我想到馬可福音
[00:00:40.920 --> 00:00:44.440]  馬年可以傳福音,馬可福音
[00:00:44.440 --> 00:00:48.840]  非常好,下一個
[00:00:48.840 --> 00:00:50.560]  馬上有星星
[00:00:50.560 --> 00:00:54.920]  星星?星星即是…
[00:00:54.920 --> 00:00:56.760]  「入學順利」
[00:00:57.520 --> 00:01:00.520]  好… 心想事成
[00:01:00.520 --> 00:01:03.400]  好,長大了
[00:01:03.400 --> 00:01:05.760]  馬上順暢,馬上幸福
[00:01:05.760 --> 00:01:08.000]  非常好,好
[00:01:08.000 --> 00:01:11.040]  我們說跟長輩說祝福語
[00:01:11.040 --> 00:01:13.240]  最好是知道他們的鄉下
[00:01:13.240 --> 00:01:15.880]  有潮州鄉下嗎?知道嗎
[00:01:15.880 --> 00:01:18.480]  有,你會怎樣就怎樣說,要說嗎
[00:01:18.480 --> 00:01:22.440]  不是,說潮州話的「身體健康」
[00:01:22.440 --> 00:01:24.240]  剛才我教了我後面那個
[00:01:24.240 --> 00:01:26.840]  叫做「身體健康」
[00:01:27.480 --> 00:01:30.400]  記住,他說「馬上有錢」
[00:01:30.400 --> 00:01:34.640]  好,我們中國人很想有福
[00:01:34.640 --> 00:01:36.720]  我們都想有祝福,對吧
[00:01:36.720 --> 00:01:39.520]  我們想要甚麼?有身體健康
[00:01:39.520 --> 00:01:41.880]  有錢,對吧
[00:01:41.880 --> 00:01:44.720]  好學位,想有好學位的祝福
[00:01:44.720 --> 00:01:49.480]  有多朋友,有好的父母,好的家庭
[00:01:49.480 --> 00:01:53.400]  但我們中國的文化是很害怕的
[00:01:53.400 --> 00:01:55.800]  我們害怕甚麼…
