
[00:00:00.000 --> 00:00:02.000]  大家好, 平安
[00:00:02.000 --> 00:00:07.000]  多謝軒思小組為我們獻唱一首榮耀歸真神
[00:00:07.000 --> 00:00:09.000]  一首非常喜歡的詩歌
[00:00:09.000 --> 00:00:12.000]  詩歌第三節歌詞其中一句是
[00:00:12.000 --> 00:00:16.000]  將來得見主面, 何等大恩福
[00:00:16.000 --> 00:00:19.000]  剛剛從今天的訊息
[00:00:19.000 --> 00:00:21.000]  預備好見主媽
[00:00:21.000 --> 00:00:23.000]  很配合的
[00:00:23.000 --> 00:00:26.000]  我想這個問題
[00:00:26.000 --> 00:00:28.000]  準備好見主媽
[00:00:28.000 --> 00:00:31.000]  我們很少會問其他人
[00:00:31.000 --> 00:00:33.000]  我記得有一次我在教會的師班
[00:00:33.000 --> 00:00:35.000]  問這個問題的時候
[00:00:35.000 --> 00:00:39.000]  他們的答案是這樣的
[00:00:39.000 --> 00:00:43.000]  大部分人都說
[00:00:43.000 --> 00:00:46.000]  最好遲一點才來
[00:00:46.000 --> 00:00:49.000]  為什麼?因為他們還沒準備好
[00:00:49.000 --> 00:00:52.000]  也想問一下這裡的弟兄姊妹
[00:00:52.000 --> 00:00:56.000]  準備好見耶穌的請舉手
[00:00:56.000 --> 00:01:02.000]  不少, 多過中堂
[00:01:02.000 --> 00:01:06.000]  還沒準備好的請舉手
[00:01:06.000 --> 00:01:08.000]  好像少了一組
[00:01:08.000 --> 00:01:11.000]  還有第三個問題
[00:01:11.000 --> 00:01:14.000]  不知道自己是否準備好也請舉手
[00:01:14.000 --> 00:01:17.000]  也有一點
[00:01:17.000 --> 00:01:21.000]  為什麼這麼多人還沒準備好見主耶穌呢?
[00:01:21.000 --> 00:01:24.000]  或者不知道耶穌什麼時候來
[00:01:24.000 --> 00:01:26.000]  所以還沒準備好
[00:01:26.000 --> 00:01:30.000]  比方說, 如果你的朋友來家裡探望你
[00:01:30.000 --> 00:01:32.000]  你一定想知道他什麼時候來
[00:01:32.000 --> 00:01:34.000]  不然怎麼去準備?
