
[00:00:00.000 --> 00:00:04.000]  Explorer的各位Mentor,各位大兄姐妹,早安
[00:00:04.000 --> 00:00:11.000]  很快就來到最後一個星期我在港福的日子
[00:00:11.000 --> 00:00:18.000]  突然間要跟大家說最後一篇的訊息,覺得不太適應
[00:00:18.000 --> 00:00:26.000]  這篇也是我在Explorer的第55篇,特意花一點時間去逐篇逐篇數
[00:00:26.000 --> 00:00:31.000]  原來第一篇叫做九型人格的十號型
[00:00:31.000 --> 00:00:35.000]  當時來到實習,不知道Karen Lee,Pastor Karen Lee在不在
[00:00:35.000 --> 00:00:39.000]  來到實習,就有一個很大的挑戰,講九型人格
[00:00:39.000 --> 00:00:45.000]  話這麼快,四至六年,我在這裡六年的時間
[00:00:45.000 --> 00:00:50.000]  真正做傳道人做了四年,但我頭兩年是實習的
[00:00:50.000 --> 00:00:53.000]  今天我想了很久,究竟講什麼好呢
[00:00:53.000 --> 00:00:58.000]  心裡的確有很多不捨得,希望待會不會哭
[00:00:58.000 --> 00:01:06.000]  不過很好,童工有預備,沒什麼的,用紙巾再砍多棵樹
[00:01:06.000 --> 00:01:10.000]  最後我選了生命記這段經文
[00:01:10.000 --> 00:01:14.000]  有部分的大專生,我們在Camp有聽過
[00:01:14.000 --> 00:01:17.000]  不過今天有V2
[00:01:17.000 --> 00:01:25.000]  其實他就是正正在摩西和一群以色列人講的臨別陣營
[00:01:25.000 --> 00:01:31.000]  大家知道摩西,當時他帶領了以色列人離開埃及
[00:01:31.000 --> 00:01:34.000]  本來很快就能夠去到加拿大
[00:01:34.000 --> 00:01:40.000]  不過他是因為這群人不斷犯罪,得罪了神
[00:01:40.000 --> 00:01:46.000]  結果神要懲罰他們,要留在這個曠野當中
[00:01:46.000 --> 00:01:51.000]  足足逗留了四十年,在這裡繞圈
[00:01:51.000 --> 00:01:55.000]  四十年的時間,叫舊的一代過去了
[00:01:55.000 --> 00:01:59.000]  新的一代,第二代信徒起來
[00:01:59.000 --> 00:02:03.000]  因此對於這群第二代信徒來說
[00:02:03.000 --> 00:02:06.000]  摩西可以說是看著他們成長
[00:02:06.000 --> 00:02:11.000]  就像今天我看著不少的你們成長一樣
[00:02:11.000 --> 00:02:16.000]  而對於摩西來說,他知道自己的日子將近
[00:02:16.000 --> 00:02:21.000]  他沒辦法繼續帶領這群以色列人進到應去之地
[00:02:21.000 --> 00:02:25.000]  因此在生命記的29,30章
[00:02:25.000 --> 00:02:29.000]  他就對著這群服侍了四十年
[00:02:29.000 --> 00:02:34.000]  四十年的第二代信徒,講了這番遺言
[00:02:34.000 --> 00:02:39.000]  我覺得很適合作為我最後這篇訊息的內容
[00:02:39.000 --> 00:02:43.000]  這篇就不是遺言,不過短暫來說
[00:02:43.000 --> 00:02:47.000]  確實很想大家一起去聽
[00:02:47.000 --> 00:02:52.000]  帶著摩西的心情,一起聽上帝的話
[00:02:52.000 --> 00:02:54.000]  請大家一起讀,我們一起去讀
[00:02:54.000 --> 00:02:59.000]  我們今天大聲一點,一起讀這節經文
[00:02:59.000 --> 00:03:01.000]  大概六節
[00:03:01.000 --> 00:03:04.000]  第十五節,預備起,看,預備起
[00:03:04.000 --> 00:03:10.000]  我今日將生死禍福擺在你面前
[00:03:10.000 --> 00:03:12.000]  我今日所吩咐你的
[00:03:12.000 --> 00:03:15.000]  就是愛耶和華你的神
[00:03:15.000 --> 00:03:17.000]  遵行他的道
[00:03:17.000 --> 00:03:19.000]  謹守他的誡命
[00:03:19.000 --> 00:03:22.000]  律例典章
[00:03:30.000 --> 00:03:33.000]  得為業的地上
[00:03:33.000 --> 00:03:37.000]  及你,倘若你的心偏離
[00:03:37.000 --> 00:03:42.000]  不肯聽從,卻被引誘去敬拜別神
[00:03:42.000 --> 00:03:44.000]  侍奉他們
[00:03:44.000 --> 00:03:46.000]  我今日向你們申明
[00:03:46.000 --> 00:03:48.000]  你們必定滅亡
[00:03:48.000 --> 00:03:53.000]  在你們進去得為業的地上
[00:03:53.000 --> 00:03:56.000]  你的日子必不長久
[00:03:56.000 --> 00:04:00.000]  我今日呼天喚地向你作見證
[00:04:00.000 --> 00:04:02.000]  我已經將生與死
[00:04:02.000 --> 00:04:07.000]  祝福與詛咒擺在你面前
[00:04:07.000 --> 00:04:10.000]  所以你要揀選生命
[00:04:10.000 --> 00:04:14.000]  好使你和你的後裔都得存活
[00:04:14.000 --> 00:04:17.000]  要愛耶和華你的神
[00:04:17.000 --> 00:04:19.000]  聽從他的話
[00:04:19.000 --> 00:04:21.000]  緊緊跟隨他
[00:04:21.000 --> 00:04:23.000]  因為他是你的生命
[00:04:23.000 --> 00:04:26.000]  使你的日子得以長久
