
[00:00:00.000 --> 00:00:06.000]  很高興在大家當中分享今天這個重要的訊息
[00:00:06.000 --> 00:00:10.000]  這個訊息是很重要的
[00:00:10.000 --> 00:00:16.000]  十三章其實是出現兩個獸
[00:00:16.000 --> 00:00:19.000]  這兩個獸的出現
[00:00:19.000 --> 00:00:26.000]  正是影響末世的序幕快要來到
[00:00:26.000 --> 00:00:30.000]  他們出現的時間差不多
[00:00:30.000 --> 00:00:37.000]  所以這個獸的出現和你和我很有關係
[00:00:37.000 --> 00:00:42.000]  不要以為我們上一傳不會見到這個獸
[00:00:42.000 --> 00:00:44.000]  不一定
[00:00:44.000 --> 00:00:47.000]  神學裏面的災前被提災中被提
[00:00:47.000 --> 00:00:52.000]  是沒有一個絕對的定案
[00:00:52.000 --> 00:00:54.000]  為什麼會說獸呢
[00:00:54.000 --> 00:00:57.000]  第一個獸是從海中上來的
[00:00:57.000 --> 00:01:01.000]  第二個獸是從地上上來的
[00:01:01.000 --> 00:01:04.000]  你們季會查考啟兆老
[00:01:04.000 --> 00:01:08.000]  我預了大家讀過聖經才回來
[00:01:08.000 --> 00:01:10.000]  第一個獸為什麼叫獸呢
[00:01:10.000 --> 00:01:13.000]  其實他是人
[00:01:13.000 --> 00:01:15.000]  香港人很多時候罵人
[00:01:15.000 --> 00:01:18.000]  說人是禽獸
[00:01:18.000 --> 00:01:20.000]  你真是禽獸不如
[00:01:20.000 --> 00:01:25.000]  就是說他做的事情一定是傷天害理
[00:01:25.000 --> 00:01:29.000]  一定是完全沒有人格
[00:01:29.000 --> 00:01:32.000]  我們才會這樣說
[00:01:32.000 --> 00:01:40.000]  這個說獸不是普通人去咒罵他去罵他
[00:01:40.000 --> 00:01:48.000]  而是上帝藉著司徒約翰來形容這個獸
[00:01:48.000 --> 00:01:50.000]  這個獸我現在告訴你
[00:01:50.000 --> 00:01:52.000]  真是一個人
[00:01:52.000 --> 00:01:57.000]  但很可惜他沒有了人的樣式
[00:01:57.000 --> 00:01:59.000]  起初神做我們的時候
[00:01:59.000 --> 00:02:01.000]  按照他的形象
[00:02:01.000 --> 00:02:03.000]  按照他的樣式來做我們
[00:02:03.000 --> 00:02:05.000]  神的樣式是什麼
[00:02:05.000 --> 00:02:08.000]  不是說他有眼耳口鼻
[00:02:08.000 --> 00:02:12.000]  而是指到神的一切榮美的屬性
[00:02:12.000 --> 00:02:15.000]  聖潔公義慈愛一切的美善
[00:02:15.000 --> 00:02:19.000]  但發覺人現在都來到這個地步
[00:02:19.000 --> 00:02:21.000]  人不像人
[00:02:21.000 --> 00:02:26.000]  不像上帝起初做我們的版本
[00:02:26.000 --> 00:02:29.000]  失落了上帝的榮耀
[00:02:29.000 --> 00:02:34.000]  所以上帝要來收拾這個世界
[00:02:34.000 --> 00:02:38.000]  人類來到迎合
[00:02:38.000 --> 00:02:43.000]  或者專門要來聽這些荒謬虛荒的言語
[00:02:43.000 --> 00:02:46.000]  要站起大罪人
[00:02:46.000 --> 00:02:50.000]  其實這個魔鬼藉著這隻獸
[00:02:50.000 --> 00:02:54.000]  其實這個叫做迪基督
[00:02:54.000 --> 00:02:56.000]  是要來迷惑人
[00:02:56.000 --> 00:03:01.000]  引導人離棄上帝應該要表達的
[00:03:01.000 --> 00:03:04.000]  起初人應該有的樣式
[00:03:04.000 --> 00:03:08.000]  但很可惜人離棄了上帝
[00:03:08.000 --> 00:03:10.000]  獸是表示他沒有靈性
[00:03:10.000 --> 00:03:12.000]  是凶殘
[00:03:12.000 --> 00:03:14.000]  他又叫做Antichrist
[00:03:14.000 --> 00:03:18.000]  Antichrist即是迪基督
[00:03:18.000 --> 00:03:20.000]  迪基督即是迪黨基督
[00:03:20.000 --> 00:03:23.000]  他真的要迪黨基督
[00:03:23.000 --> 00:03:26.000]  當然Anti也有一個意思
[00:03:26.000 --> 00:03:29.000]  代替的意思
[00:03:29.000 --> 00:03:32.000]  亦可能是一個組織
[00:03:32.000 --> 00:03:35.000]  是一個系統 是一個系列
[00:03:35.000 --> 00:03:38.000]  是一個意識形態
[00:03:38.000 --> 00:03:41.000]  但你知道這個意識形態
[00:03:41.000 --> 00:03:46.000]  其實都是撒旦在背後的運行
[00:03:46.000 --> 00:03:48.000]  一直在人類的歷史裏面
[00:03:48.000 --> 00:03:50.000]  做很多干擾的工作
[00:03:50.000 --> 00:03:54.000]  使人都要來搏弈上帝
[00:03:54.000 --> 00:03:55.000]  離棄上帝
[00:03:55.000 --> 00:03:57.000]  好像我們的前祖亞當一樣
[00:03:57.000 --> 00:04:05.000]  所以歷代以來一直有迪基督的街模
[00:04:05.000 --> 00:04:08.000]  或者這個儀仗都在
[00:04:08.000 --> 00:04:16.000]  所以今天我們看到這個問題在哪裏呢
[00:04:16.000 --> 00:04:19.000]  其實在《約翰一書》裏面都提過
