
[00:00:00.000 --> 00:00:01.720]  各位影子早安
[00:00:01.720 --> 00:00:04.200]  今天要跟大家看的這段經文
[00:00:04.200 --> 00:00:06.200]  記載了耶穌與法利塞人之間
[00:00:06.200 --> 00:00:09.520]  一個有關古人傳統的爭論
[00:00:09.520 --> 00:00:13.520]  是很多爭論中其中的一個爭論
[00:00:13.520 --> 00:00:14.680]  如果大家有印象
[00:00:14.680 --> 00:00:16.600]  其實早在馬科音第二章
[00:00:16.600 --> 00:00:20.320]  耶穌與法利塞人之間已經有很多的爭論
[00:00:20.320 --> 00:00:25.920]  究竟誰有權並來赦罪呢?
[00:00:25.920 --> 00:00:29.960]  上帝的子民可否與罪人一同吃飯
[00:00:29.960 --> 00:00:32.520]  門徒需不需要禁食
[00:00:32.520 --> 00:00:34.520]  有很多爭論在內
[00:00:34.520 --> 00:00:39.120]  還有很多爭論都是由民事法利塞人主動挑起的
[00:00:39.120 --> 00:00:41.840]  他們主動挑戰耶穌
[00:00:41.840 --> 00:00:47.720]  耶穌一直的回應都是相當克制和忍耐
[00:00:47.720 --> 00:00:50.360]  最多只是跟他們說說比喻
[00:00:50.360 --> 00:00:52.680]  譬如健康的人用不著醫生
[00:00:52.680 --> 00:00:54.920]  有病的人才能用得著
[00:00:54.920 --> 00:00:57.920]  沒有人將身部縫在舊衣服上
[00:00:57.920 --> 00:00:59.840]  一角自相紛爭
[00:00:59.840 --> 00:01:02.640]  那個角就不能夠站立
[00:01:02.640 --> 00:01:04.360]  最多是用比喻去回應
[00:01:04.360 --> 00:01:07.720]  耶穌很少很激動
[00:01:07.720 --> 00:01:11.200]  用一些很嚴厲的責備口吻來回應
[00:01:11.200 --> 00:01:14.880]  最激動的一次在三章五節
[00:01:14.880 --> 00:01:17.200]  都是怒目環視他們
[00:01:17.200 --> 00:01:18.680]  即是怒目看著他們
[00:01:18.680 --> 00:01:23.640]  都沒有將心底裏的責備說話說出口
[00:01:23.640 --> 00:01:25.000]  不過來到第七章
[00:01:25.000 --> 00:01:26.480]  耶穌開始不同了
[00:01:26.480 --> 00:01:28.840]  不是那麼克制和忍耐
[00:01:28.840 --> 00:01:32.680]  用了比較直接責備的口吻
[00:01:32.680 --> 00:01:35.480]  來回應這些宗教領袖
[00:01:35.480 --> 00:01:37.520]  在這個爭論之後
[00:01:37.520 --> 00:01:39.440]  馬可在七章二十四節說到
[00:01:39.440 --> 00:01:43.920]  耶穌從那裏起身去了推羅那裏
[00:01:43.920 --> 00:01:45.040]  學者告訴我們
[00:01:45.040 --> 00:01:47.920]  這個行動表示耶穌基督的福音
[00:01:47.920 --> 00:01:49.440]  從這一刻開始
[00:01:49.440 --> 00:01:51.160]  就離開了猶太人
[00:01:51.160 --> 00:01:54.720]  去了外邦人那裏
