
[00:00:00.000 --> 00:00:02.000]  (字幕製作:MG)
[00:00:02.480 --> 00:00:04.000]  (主持人:姐妹早安)
[00:00:04.000 --> 00:00:06.840]  (主持人:感謝主讓我們能夠從傳道書)
[00:00:06.840 --> 00:00:11.600]  (一起學習在人生中重要的智慧)
[00:00:11.600 --> 00:00:17.600]  (其實每一個群體都需要思考傳承的問題)
[00:00:17.600 --> 00:00:21.040]  (家庭、教會、職場等等)
[00:00:21.040 --> 00:00:26.080]  (由當中人生經驗、歷練比較多的成員)
[00:00:26.080 --> 00:00:32.080]  (將他們累積、沉澱、行之有效的心得)
[00:00:32.080 --> 00:00:37.840]  (向那些歷練比較淺的成員分享)
[00:00:37.840 --> 00:00:41.760]  (我看在座的弟兄姊妹)
[00:00:41.760 --> 00:00:48.000]  (大部分都應該有資格將人生的智慧心得)
[00:00:48.000 --> 00:00:51.000]  (傳承給年輕一代)
[00:00:51.000 --> 00:00:53.840]  (年輕總是相對的)
[00:00:53.840 --> 00:00:58.320]  (請你為你認識的年輕下一代)
[00:00:58.320 --> 00:01:01.840]  (提供三個人生錦囊)
[00:01:01.840 --> 00:01:05.280]  (提示他們如何過滿足的人生)
[00:01:05.280 --> 00:01:12.240]  (我不知道你會在這三個錦囊中寫下什麼)
[00:01:12.240 --> 00:01:13.840]  (今天時間所限)
[00:01:13.840 --> 00:01:15.120]  (我可以給你30秒思考)
[00:01:15.120 --> 00:01:17.040]  (但應該沒有時間讓你表達)
[00:01:17.040 --> 00:01:19.600]  (雖然我知道家墳傳道學清區同工)
[00:01:19.600 --> 00:01:21.280]  (可能都很有興趣知道)
[00:01:21.280 --> 00:01:22.280]  (向大家拿一下資料)
[00:01:22.280 --> 00:01:23.880]  (看看有沒有人生錦囊)
[00:01:23.880 --> 00:01:26.280]  (可以給年輕的新一代)
[00:01:26.280 --> 00:01:29.400]  (今天跟大家一同思考的)
[00:01:29.400 --> 00:01:32.280]  (傳道書十一章七至十二節)
[00:01:32.280 --> 00:01:34.280]  (相信可以理解為)
[00:01:34.280 --> 00:01:36.280]  (寫這本書的自者)
[00:01:36.280 --> 00:01:38.280]  (他自稱是傳道者)
[00:01:38.280 --> 00:01:40.760]  (我們聽到今天已經不陌生)
[00:01:40.760 --> 00:01:44.440]  (這位傳道者將他深刻思考)
[00:01:44.440 --> 00:01:47.080]  (而想到的人生錦囊)
[00:01:47.080 --> 00:01:50.120]  (在這部分分享出來)
[00:01:50.120 --> 00:01:53.880]  (首先是給所有人)
[00:01:53.880 --> 00:01:57.480]  (然後再特別針對給年輕人)
[00:01:57.480 --> 00:02:01.000]  (不過年輕人實在是相對)
[00:02:01.000 --> 00:02:03.000]  (70歲給80歲的年輕人)
[00:02:03.000 --> 00:02:05.000]  (80歲給90歲的年輕人)
[00:02:05.000 --> 00:02:07.000]  (今天的我給幾天後的我)
[00:02:07.000 --> 00:02:08.760]  (肯定都是年輕人)
[00:02:08.760 --> 00:02:10.200]  (所以我們每一個人)
[00:02:10.200 --> 00:02:13.000]  (都還可以趁著今天的我)
[00:02:13.000 --> 00:02:16.680]  (依然給2023年的我年幼的時候)
[00:02:16.680 --> 00:02:20.200]  (好好應用傳道者給我們的人生錦囊)
[00:02:20.200 --> 00:02:23.800]  (這不一定只是給年輕人的錦囊)
[00:02:23.800 --> 00:02:25.800]  (亦適用於我們每一個人)
[00:02:25.800 --> 00:02:28.200]  (然後我們以身作則)
[00:02:28.200 --> 00:02:30.200]  (傳承給我們所認識的)
[00:02:30.200 --> 00:02:32.200]  (下一代的年輕人)
[00:02:32.200 --> 00:02:36.520]  (傳道書十一章七至十二章七節)
[00:02:36.520 --> 00:02:39.880]  (是傳卷書裏面的尾二段落)
[00:02:39.880 --> 00:02:41.880]  (不過它也可以說是)
[00:02:41.880 --> 00:02:44.200]  (傳卷書的總結)
[00:02:44.200 --> 00:02:47.400]  (我們從前面的十章經文可以看到)
[00:02:47.400 --> 00:02:50.760]  (這位傳道者大快心力)
[00:02:50.760 --> 00:02:55.240]  (探究一個自為重大的人生問題)
[00:02:55.240 --> 00:02:58.680]  (這個人生問題是一章三節來表達)
[00:02:58.680 --> 00:02:59.880]  (人一切的牢獄)
[00:02:59.880 --> 00:03:02.280]  (就是他在日光之下的牢獄)
[00:03:02.280 --> 00:03:03.720]  (有什麼益處呢)
[00:03:03.720 --> 00:03:06.280]  (換言之傳道者在問)
[00:03:06.280 --> 00:03:08.680]  (人生究竟有什麼意義)
[00:03:08.680 --> 00:03:10.680]  (我們在傳道書可以看到)
[00:03:10.680 --> 00:03:13.880]  (他嘗試用盡各樣的方法)
[00:03:13.880 --> 00:03:15.880]  (來尋求去探究)
[00:03:15.880 --> 00:03:20.280]  (但很可惜他在日光之下所觀察到)
[00:03:20.280 --> 00:03:24.280]  (甚至自己親自體驗到的人間現實)
[00:03:24.280 --> 00:03:27.160]  (最後他無法不慨嘆)
[00:03:27.160 --> 00:03:30.840]  (虛空的虛空全部都是虛空)
[00:03:30.840 --> 00:03:34.040]  (他一直強調一切都是虛空)
[00:03:34.040 --> 00:03:38.360]  (因為他在日光之下的人間現實)
[00:03:38.360 --> 00:03:41.080]  (他發現到是轉迅即逝)
[00:03:41.080 --> 00:03:44.680]  (轉迅即逝用虛空來表達)
[00:03:44.680 --> 00:03:47.160]  (可以有以下幾個層面的意思)
[00:03:47.160 --> 00:03:49.160]  (不單轉迅即逝)
[00:03:49.160 --> 00:03:53.160]  (更加矛盾和荒謬的事情)
[00:03:53.160 --> 00:03:55.560]  (際遇屢見不鮮)
[00:03:55.560 --> 00:03:58.760]  (世人無法了解又無法測透)
[00:03:58.760 --> 00:04:01.160]  (雖然知道掌管在上帝當中)
[00:04:01.160 --> 00:04:03.160]  (但只是上帝之帝上帝明)
[00:04:03.160 --> 00:04:05.160]  (我們永遠都無法知道)
[00:04:05.160 --> 00:04:07.960]  (並且人的種種努力)
[00:04:07.960 --> 00:04:11.800]  (最後都會因為死亡而變得徒然)
[00:04:11.800 --> 00:04:16.920]  (結果傳道者他唯有達至一個結論)
[00:04:16.920 --> 00:04:20.120]  (就是人要所謂活好他的人生)
[00:04:20.120 --> 00:04:23.560]  (似乎只可以藉著享受吃喝)
[00:04:23.560 --> 00:04:25.560]  (在勞碌中喜樂)
[00:04:25.560 --> 00:04:28.120]  (享受從中所得的回報)
[00:04:28.120 --> 00:04:30.360]  (這是去到第九章)
[00:04:30.360 --> 00:04:33.560]  (傳道者依然維持的結論)
[00:04:33.560 --> 00:04:36.120]  (既然人生是虛空)
[00:04:36.120 --> 00:04:37.640]  (轉迅即逝)
[00:04:37.640 --> 00:04:40.200]  (死亡令一切都同然)
[00:04:40.200 --> 00:04:43.160]  (不如算了 辛苦賺來自在食)
[00:04:43.160 --> 00:04:45.160]  (我吃完開心心就算了)
[00:04:45.160 --> 00:04:47.160]  (你還要我賺什麼人生意義)
[00:04:47.160 --> 00:04:51.160]  (在這裡尋索根本沒有意義)
[00:04:51.160 --> 00:04:53.160]  (來到第十一章)
[00:04:53.160 --> 00:04:55.960]  (我們今天講到的這個段落)
[00:04:55.960 --> 00:04:59.720]  (我們或許以為傳道者要講的總結)
[00:04:59.720 --> 00:05:02.920]  (會不會和先前差不多)
[00:05:02.920 --> 00:05:06.520]  (都是沒有 你快快樂樂 嘿嘿嘿 這樣就算了)
[00:05:06.520 --> 00:05:08.520]  (但我們卻發現)
[00:05:08.520 --> 00:05:11.880]  (傳道者給我們有三個錦囊)
