
[00:00:00.000 --> 00:00:03.560]  新一年我們開展新一季的門訓系列
[00:00:03.560 --> 00:00:06.840]  我們今天很高興會看啟示錄
[00:00:06.840 --> 00:00:10.000]  我們今天率先由本堂的黃敬梅傳道
[00:00:10.000 --> 00:00:11.760]  在我們當中分享正道
[00:00:11.760 --> 00:00:13.040]  她今天的講題是
[00:00:13.040 --> 00:00:14.520]  站穩聽好
[00:00:14.520 --> 00:00:17.080]  經文出自於啟示錄一章一至八節
[00:00:17.080 --> 00:00:18.400]  我們有請Jenny傳道
[00:00:18.400 --> 00:00:21.080]  美鼎姐妹大家好
[00:00:21.080 --> 00:00:23.000]  新年快樂
[00:00:23.000 --> 00:00:25.680]  還是剛剛初頭時
[00:00:25.680 --> 00:00:27.280]  今年年頭的階段
[00:00:27.280 --> 00:00:29.280]  盼望主督祝福我們新年
[00:00:29.280 --> 00:00:34.080]  阿都我們尤其是與主連結的關係
[00:00:34.080 --> 00:00:36.560]  與弟兄姊妹連結的關係
[00:00:36.560 --> 00:00:38.800]  並且真是回應主
[00:00:38.800 --> 00:00:40.520]  叫我們祝福別人
[00:00:40.520 --> 00:00:42.880]  讓人都同得福音好處
[00:00:42.880 --> 00:00:47.480]  我們在這三方面都更有進步和成長
[00:00:47.480 --> 00:00:50.080]  剛才Condi傳道說很開心
[00:00:50.080 --> 00:00:53.200]  我們一起去看啟示錄
[00:00:53.200 --> 00:00:56.160]  但我猜有份負責講啟示錄
[00:00:56.160 --> 00:00:59.080]  講到負責傳道同工
[00:00:59.080 --> 00:01:01.280]  大家都覺得不是太開心
[00:01:01.280 --> 00:01:04.720]  因為其實很不容易
[00:01:04.720 --> 00:01:07.160]  都是要下苦功
[00:01:07.160 --> 00:01:09.400]  來搞明白
[00:01:09.400 --> 00:01:10.760]  搞通透
[00:01:10.760 --> 00:01:15.000]  自己負責講解那段經文
[00:01:15.000 --> 00:01:17.640]  不過開第一波
[00:01:17.640 --> 00:01:20.920]  又可以透過講一下背景
[00:01:20.920 --> 00:01:22.600]  介紹一下書的結構
[00:01:22.600 --> 00:01:28.040]  又可以說時間又過了一半
[00:01:28.040 --> 00:01:31.160]  實在我們都有需要去學習
[00:01:31.160 --> 00:01:33.600]  林牧師很特別
[00:01:33.600 --> 00:01:35.720]  他選擇了我們今年一同
[00:01:35.720 --> 00:01:38.520]  在我們的門訓崇拜當中
[00:01:38.520 --> 00:01:41.160]  我們去看啟示錄
[00:01:41.160 --> 00:01:44.240]  他說都是他一個心願
[00:01:44.240 --> 00:01:46.400]  很盼望對於這卷
[00:01:46.400 --> 00:01:49.400]  一般來說都在教會很少
[00:01:49.400 --> 00:01:54.000]  作為港道的書卷
[00:01:54.000 --> 00:02:00.480]  我們能夠去克服大家的避忌
[00:02:00.480 --> 00:02:02.560]  我們一起來學習
[00:02:02.560 --> 00:02:07.480]  我深信主會祝福我們的努力
[00:02:07.480 --> 00:02:11.200]  不過我都覺得需要在此先指聲明
[00:02:11.200 --> 00:02:14.240]  因為啟示錄這卷書
[00:02:14.240 --> 00:02:20.400]  我猜尤其是在經文很細節的解讀
[00:02:20.400 --> 00:02:23.440]  可以說是聖經其中一卷
[00:02:23.440 --> 00:02:28.560]  很難有共識的一卷書
[00:02:28.560 --> 00:02:31.760]  我猜唯一最大獲得的共識
[00:02:31.760 --> 00:02:34.760]  就是在這卷書中我們清楚知道
