
[00:00:00.000 --> 00:00:05.000]  主持人:各位姐妹 早安
[00:00:05.000 --> 00:00:10.000]  今天我們繼續研讀《馬克福音》時
[00:00:10.000 --> 00:00:15.000]  讓我們看到在《馬克福音》第十章裏面
[00:00:15.000 --> 00:00:19.000]  包含著有兩個真人真事
[00:00:19.000 --> 00:00:22.000]  這兩個真人真事帶出兩個難題
[00:00:22.000 --> 00:00:24.000]  是來問耶穌的
[00:00:24.000 --> 00:00:27.000]  一個是人優妻合不合法
[00:00:27.000 --> 00:00:31.000]  另外一個問題是來自一個少年官
[00:00:31.000 --> 00:00:33.000]  他來問耶穌
[00:00:33.000 --> 00:00:36.000]  我們可以做什麼來承受永生呢?
[00:00:36.000 --> 00:00:39.000]  第一條問題是來自法利賽人
[00:00:39.000 --> 00:00:45.000]  兩組人物其實都對舊約聖經很熟悉
[00:00:45.000 --> 00:00:48.000]  我們今天要來看耶穌的回答
[00:00:48.000 --> 00:00:51.000]  其實和我們有什麼關係呢?
[00:00:51.000 --> 00:00:55.000]  這兩類人士很熟習舊約聖經的人
[00:00:55.000 --> 00:01:00.000]  但竟然沒有得到耶穌最後的稱讚
[00:01:00.000 --> 00:01:02.000]  我們要了解一下
[00:01:02.000 --> 00:01:06.000]  究竟他們背後是反映著一種什麼信念呢?
[00:01:06.000 --> 00:01:08.000]  我先在這裏賣個關子
[00:01:08.000 --> 00:01:10.000]  再一次和大家做一個祈禱
[00:01:10.000 --> 00:01:12.000]  求主在這一刻
[00:01:12.000 --> 00:01:14.000]  祢親自保守說的聽的
[00:01:14.000 --> 00:01:16.000]  我們同感一靈
[00:01:16.000 --> 00:01:18.000]  同有一個受教的心
[00:01:18.000 --> 00:01:21.000]  同在主的面前我們謙卑
[00:01:21.000 --> 00:01:23.000]  祢都去降伏
[00:01:23.000 --> 00:01:26.000]  全心全意去聆聽祢的聖言
[00:01:26.000 --> 00:01:29.000]  求真理的聖靈開啟我們眾人的心
[00:01:29.000 --> 00:01:32.000]  願我們都被祢自己的話語光照
[00:01:32.000 --> 00:01:34.000]  以致我們能夠好好地
[00:01:34.000 --> 00:01:36.000]  來反思今天我們的人生
[00:01:36.000 --> 00:01:40.000]  有沒有真的貼近主祢的心腸肺腑
[00:01:40.000 --> 00:01:44.000]  做一個名符其實跟隨主的腳踏中的門徒
[00:01:44.000 --> 00:01:46.000]  願祢親自在當中施恩
[00:01:46.000 --> 00:01:47.000]  憐憫幫助我們
[00:01:47.000 --> 00:01:48.000]  同心祈禱
[00:01:48.000 --> 00:01:49.000]  奉主名求
[00:01:49.000 --> 00:01:51.000]  阿們
[00:01:51.000 --> 00:01:55.000]  我們一起來讀一讀今天的經文
[00:01:55.000 --> 00:01:57.000]  在馬夫音第十章
[00:01:57.000 --> 00:02:00.000]  我們先看頭幾節
[00:02:00.000 --> 00:02:01.000]  我們一起來讀
[00:02:01.000 --> 00:02:05.000]  人究竟休妻是否合法呢
[00:02:05.000 --> 00:02:06.000]  我們一起來讀
[00:02:06.000 --> 00:02:08.000]  耶穌從那裡起身
[00:02:08.000 --> 00:02:10.000]  來到猶太的境內
[00:02:10.000 --> 00:02:12.000]  若但河的東邊
[00:02:12.000 --> 00:02:15.000]  眾人又聚集到他那裡
[00:02:15.000 --> 00:02:17.000]  他又照常教導他們
[00:02:17.000 --> 00:02:20.000]  有法利賽人來問他說
[00:02:20.000 --> 00:02:22.000]  男人休妻合不合法
[00:02:22.000 --> 00:02:24.000]  意思是要試探他
[00:02:24.000 --> 00:02:26.000]  耶穌回答他們說
[00:02:26.000 --> 00:02:29.000]  摩西吩咐你們的是什麼
[00:02:29.000 --> 00:02:33.000]  他們說摩西准許寫了休書
[00:02:33.000 --> 00:02:35.000]  就可以休妻
[00:02:35.000 --> 00:02:37.000]  一看這個段落
[00:02:37.000 --> 00:02:39.000]  你已經覺得很奇怪
[00:02:39.000 --> 00:02:42.000]  明明這班法利賽人
[00:02:42.000 --> 00:02:43.000]  要問耶穌
[00:02:43.000 --> 00:02:45.000]  問這個問題的背後
[00:02:45.000 --> 00:02:48.000]  但他們自己已經有了答案
[00:02:48.000 --> 00:02:51.000]  耶穌知道他們的來意
[00:02:51.000 --> 00:02:53.000]  耶穌知道萬人的心
[00:02:53.000 --> 00:02:55.000]  他們問的問題背後
[00:02:55.000 --> 00:02:57.000]  是要試探主的
[00:02:57.000 --> 00:03:01.000]  他們既然明知為何仍要問耶穌
[00:03:01.000 --> 00:03:04.000]  這個試探是什麼目的呢
[00:03:04.000 --> 00:03:06.000]  試探就是佈一個局
[00:03:06.000 --> 00:03:09.000]  要耶穌跌落一個陷阱裡
[00:03:09.000 --> 00:03:10.000]  我們所謂說
[00:03:10.000 --> 00:03:12.000]  你要困住一個人
[00:03:12.000 --> 00:03:17.000]  你要讓他墮入陷阱裡
[00:03:17.000 --> 00:03:20.000]  耶穌其實在這裡很有智慧
[00:03:20.000 --> 00:03:24.000]  我們怎樣來推敲這段經文呢
[00:03:24.000 --> 00:03:28.000]  其實聖經給了我們一些線索
[00:03:28.000 --> 00:03:31.000]  如果我們讀第一節的時候
[00:03:31.000 --> 00:03:33.000]  耶穌從那裡起身
[00:03:33.000 --> 00:03:35.000]  祂就來到猶太境內
[00:03:35.000 --> 00:03:37.000]  約旦河的東邊
[00:03:37.000 --> 00:03:38.000]  然後有很多人知道
[00:03:38.000 --> 00:03:40.000]  耶穌一來就馬上聚集
[00:03:40.000 --> 00:03:42.000]  很想聽耶穌講道
[00:03:42.000 --> 00:03:44.000]  耶穌已經是滿有名聲的
[00:03:44.000 --> 00:03:46.000]  是一個名人
[00:03:46.000 --> 00:03:50.000]  耶穌當時在北面
[00:03:50.000 --> 00:03:54.000]  就是在這個肥理基的地方
[00:03:54.000 --> 00:03:56.000]  我們說在推羅西頓
[00:03:56.000 --> 00:03:58.000]  祂曾經在愛邦人的境域
[00:03:58.000 --> 00:04:01.000]  都有一個非常成功的宣教旅程
[00:04:01.000 --> 00:04:03.000]  在幾個餅
[00:04:03.000 --> 00:04:04.000]  七條魚裡面
[00:04:04.000 --> 00:04:06.000]  都是施行了一個大神蹟
[00:04:06.000 --> 00:04:08.000]  叫了很多人來得飽足
