
[00:00:00.000 --> 00:00:02.000]  今個weekend係easter weekend
[00:00:02.000 --> 00:00:04.000]  我哋今個weekend好豐富
[00:00:04.000 --> 00:00:06.000]  有good friday service
[00:00:06.000 --> 00:00:08.000]  個good friday service
[00:00:08.000 --> 00:00:10.000]  is one of the best good friday services
[00:00:10.000 --> 00:00:12.000]  I have ever had
[00:00:12.000 --> 00:00:14.000]  Pastor Carmen帶我哋有一個
[00:00:14.000 --> 00:00:16.000]  分組嘅時間
[00:00:16.000 --> 00:00:18.000]  It was really good sharing of why we are lost
[00:00:18.000 --> 00:00:20.000]  跟住我哋用我哋啲
[00:00:20.000 --> 00:00:22.000]  lost嗰啲嘢
[00:00:22.000 --> 00:00:24.000]  我哋就釘咗係
[00:00:24.000 --> 00:00:26.000]  next slide我哋睇到嘅
[00:00:26.000 --> 00:00:28.000]  釘咗喺個cross嗰度
[00:00:28.000 --> 00:00:30.000]  The things we felt lost about onto the cross
[00:00:30.000 --> 00:00:34.000]  跟住我哋喺個
[00:00:34.000 --> 00:00:36.000]  14樓好似個upper room咁樣
[00:00:36.000 --> 00:00:38.000]  我哋就
[00:00:38.000 --> 00:00:40.000]  有聖餐
[00:00:40.000 --> 00:00:42.000]  Breaking of bread 我哋pass咗個cup
[00:00:42.000 --> 00:00:44.000]  And then we dipped the bread in the cup
[00:00:44.000 --> 00:00:46.000]  And it was really
[00:00:46.000 --> 00:00:48.000]  a great time of remembering Jesus'
[00:00:48.000 --> 00:00:50.000]  death 跟住呢
[00:00:50.000 --> 00:00:52.000]  琴日我哋又有一個lost and found
[00:00:52.000 --> 00:00:54.000]  嘅day camp 好精彩
[00:00:54.000 --> 00:00:56.000]  係咪
[00:00:56.000 --> 00:00:58.000]  我同Owen做嗰個
[00:00:58.000 --> 00:01:00.000]  escape room嗰個嘢
[00:01:00.000 --> 00:01:02.000]  我都好lost咗
[00:01:02.000 --> 00:01:04.000]  我哋
[00:01:04.000 --> 00:01:06.000]  畀啲掌聲
[00:01:06.000 --> 00:01:08.000]  琴日個team搞得好好
[00:01:08.000 --> 00:01:10.000]  Vianne係幫手
[00:01:10.000 --> 00:01:12.000]  搞個escape room
[00:01:12.000 --> 00:01:14.000]  Wow it was very good
[00:01:14.000 --> 00:01:16.000]  Auntie Winnie都好有challenge
[00:01:16.000 --> 00:01:18.000]  Auntie Winnie Chloe
[00:01:18.000 --> 00:01:20.000]  都好有challenge
[00:01:20.000 --> 00:01:22.000]  跟住我哋follow up就係一個
[00:01:22.000 --> 00:01:24.000]  City Hunt嗰個
[00:01:24.000 --> 00:01:26.000]  都好精彩
[00:01:26.000 --> 00:01:28.000]  好投入我哋呢組
[00:01:28.000 --> 00:01:30.000]  Auntie Fiona都要走嚟走去
