
[00:00:00.000 --> 00:00:05.000]   - Hey, everyone.
[00:00:05.000 --> 00:00:06.760]   It feels really strange having the whole middle.
[00:00:06.760 --> 00:00:08.600]   And this is a new prop because of our series,
[00:00:08.600 --> 00:00:10.440]   don't give the enemy a seat at your table.
[00:00:10.440 --> 00:00:13.280]   So I am sitting here at a table without another chair
[00:00:13.280 --> 00:00:16.080]   so the enemy can't sit here.
[00:00:16.080 --> 00:00:17.720]   Good to see you all.
[00:00:17.720 --> 00:00:18.920]   What a weekend, eh?
[00:00:18.920 --> 00:00:21.600]   It's going to be a big one, isn't it, John?
[00:00:21.600 --> 00:00:23.280]   There's the Wimbledon final.
[00:00:23.280 --> 00:00:24.320]   There's the NBA finals.
[00:00:28.080 --> 00:00:31.320]   And every sentence that John starts with this week,
[00:00:31.320 --> 00:00:34.320]   every phrase he starts with, it's coming home.
[00:00:34.320 --> 00:00:35.440]   It's coming home.
[00:00:35.440 --> 00:00:37.640]   And it's going to be-- see, maybe this
[00:00:37.640 --> 00:00:39.160]   is where John and I are different.
[00:00:39.160 --> 00:00:40.280]   John is an optimist.
[00:00:40.280 --> 00:00:43.760]   So everything-- it's always going to be coming home.
[00:00:43.760 --> 00:00:47.040]   But maybe it's the football club that I support.
[00:00:47.040 --> 00:00:49.400]   It's a club called Arsenal.
[00:00:49.400 --> 00:00:52.120]   And it's-- wow.
[00:00:52.120 --> 00:00:52.720]   Wow.
[00:00:57.240 --> 00:00:59.520]   So it's a learned behavior that we have,
[00:00:59.520 --> 00:01:01.880]   is that never expect too much.
[00:01:01.880 --> 00:01:04.680]   Because we've experienced so much heartache.
[00:01:04.680 --> 00:01:08.680]   So I can tell you it's probably coming home.
[00:01:08.680 --> 00:01:10.280]   Maybe.
[00:01:10.280 --> 00:01:13.560]   It's going to go to a home.
[00:01:13.560 --> 00:01:15.680]   But maybe that's just the way I'm wired.
[00:01:15.680 --> 00:01:18.200]   Because that-- at least with Arsenal.
[00:01:18.200 --> 00:01:20.400]   We have this saying that-- people
[00:01:20.400 --> 00:01:22.720]   have this saying against us, is that we're-- the team
[00:01:22.720 --> 00:01:24.720]   are a bunch of fair weather men.
[00:01:24.720 --> 00:01:26.560]   Fair weather men means they only do well
[00:01:26.560 --> 00:01:28.360]   when everything is going really well.
[00:01:28.360 --> 00:01:31.320]   But when it's raining, or when it's stormy,
[00:01:31.320 --> 00:01:34.400]   or as they would say in England, on a cold, dark November
[00:01:34.400 --> 00:01:37.320]   night in Stoke-on-Trent, Arsenal always
[00:01:37.320 --> 00:01:40.280]   loses, because we're just not very good when
[00:01:40.280 --> 00:01:41.800]   the going gets tough.
[00:01:41.800 --> 00:01:45.280]   And maybe that's an interesting one that we all can figure out.
[00:01:45.280 --> 00:01:47.760]   Maybe I'll ask you a question to start with.
[00:01:47.760 --> 00:01:50.600]   What are you like when the going gets tough?
[00:01:50.600 --> 00:01:53.280]   What are you like when things get a little bit hard?
[00:01:53.280 --> 00:01:54.720]   When it gets a bit colder?
[00:01:54.720 --> 00:01:56.120]   When it gets a bit rainier?
[00:01:56.120 --> 00:01:57.760]   When the storms are coming?
[00:01:57.760 --> 00:01:59.680]   What are you like?
[00:01:59.680 --> 00:02:03.080]   In some ways, I guess, when the going gets tough
[00:02:03.080 --> 00:02:06.480]   is where our true self gets exposed, right?
[00:02:06.480 --> 00:02:07.760]   It gets revealed.
[00:02:07.760 --> 00:02:10.840]   Because that's when we finally show who we truly are.
[00:02:10.840 --> 00:02:14.000]   When everything's going well, when the weather is shining
[00:02:14.000 --> 00:02:17.720]   on a perfect May afternoon, Arsenal play very well.
[00:02:17.720 --> 00:02:19.960]   But when it's cold and dark in November
[00:02:19.960 --> 00:02:23.000]   in this dark, horrible place called Stoke-on-Trent,
[00:02:23.000 --> 00:02:24.240]   they struggle.
[00:02:24.240 --> 00:02:27.160]   When the going gets tough, they struggle.
[00:02:27.160 --> 00:02:28.760]   And you see, it's interesting for us,
[00:02:28.760 --> 00:02:30.600]   because as we're going to look through this series,
[00:02:30.600 --> 00:02:32.640]   don't give the enemy a seat at your table.
[00:02:32.640 --> 00:02:35.440]   It's focusing on Psalm 23.
[00:02:35.440 --> 00:02:37.920]   And you all probably know Psalm 23.
[00:02:37.920 --> 00:02:41.080]   It's probably the most famous passage of scripture, right?
[00:02:41.080 --> 00:02:42.760]   But I wanted to ask you another question.
[00:02:42.760 --> 00:02:47.480]   If I was to boil down what Psalm 23 is really about,
[00:02:47.480 --> 00:02:49.160]   what would you say it's about?
