
[00:00:00.000 --> 00:00:02.000]  (字幕:張靚穎)
[00:00:02.000 --> 00:00:04.000]  (主持人:張靚穎)
[00:00:04.000 --> 00:00:07.000]  各位兄弟姐妹,主內平安
[00:00:07.000 --> 00:00:12.000]  如果你昨天有聽Irene傳到她的講道
[00:00:12.000 --> 00:00:14.000]  你會發現我們兩個的講題很相似
[00:00:14.000 --> 00:00:17.000]  她是重新開始,我是重新塑造
[00:00:17.000 --> 00:00:22.000]  其實我和她都在講道之前有合作過
[00:00:22.000 --> 00:00:25.000]  因為今天講的經文是一至四十六節
[00:00:25.000 --> 00:00:27.000]  即是講四十六節經文
[00:00:27.000 --> 00:00:29.000]  所以我們兩個的側重點會不同
[00:00:29.000 --> 00:00:31.000]  正如她昨天所說
[00:00:31.000 --> 00:00:33.000]  我會多講一點道論和應用
[00:00:33.000 --> 00:00:35.000]  我今天會多講一點關於《釋經》
[00:00:35.000 --> 00:00:41.000]  所以如果你想聽完整個《生命記》第一章的話
[00:00:41.000 --> 00:00:43.000]  分別聽我們兩個講道是可以的
[00:00:43.000 --> 00:00:45.000]  但如果真的想再豐富一點的話
[00:00:45.000 --> 00:00:47.000]  可以聽完今天的講道之後
[00:00:47.000 --> 00:00:49.000]  再聽昨天的講道
[00:00:49.000 --> 00:00:58.000]  有人形容2020年是空白的一年
[00:00:58.000 --> 00:01:01.000]  無論是很多媒體或是我們的朋友
[00:01:01.000 --> 00:01:04.000]  一些媒體發佈的訊息都會說
[00:01:04.000 --> 00:01:08.000]  其實2020年真的是空白的一年,白過了
[00:01:08.000 --> 00:01:10.000]  大概是因為疫情的緣故
[00:01:10.000 --> 00:01:14.000]  我們工作在家,我們的工作效率低了很多
[00:01:14.000 --> 00:01:16.000]  我們以往很想做的事情做不到
[00:01:16.000 --> 00:01:18.000]  特別是去旅行
[00:01:18.000 --> 00:01:21.000]  搞到好像時間過得很快
[00:01:21.000 --> 00:01:25.000]  雖然很難捱,但過了就好像沒有過一樣
[00:01:25.000 --> 00:01:27.000]  好像人沒有什麼進步
[00:01:27.000 --> 00:01:31.000]  或者在2020年再綜合一些經驗回來的時候
[00:01:31.000 --> 00:01:34.000]  都覺得沒有什麼可以學到
[00:01:34.000 --> 00:01:37.000]  所以大家都說這是空白的一年
[00:01:37.000 --> 00:01:40.000]  又或者是一個消失的一年
[00:01:40.000 --> 00:01:44.000]  今天很想藉著《生命記》的第一章
[00:01:44.000 --> 00:01:49.000]  去和大家整合一下上一年的經驗
[00:01:49.000 --> 00:01:53.000]  怎樣可以幫助我們和神一起
[00:01:53.000 --> 00:01:57.000]  走入未知的2021年
[00:01:57.000 --> 00:02:00.000]  我們可以想像2021年發生的事情
[00:02:00.000 --> 00:02:03.000]  或許都是全新的,我們沒有經歷過的
[00:02:03.000 --> 00:02:06.000]  但是我們可不可以和神一起走呢?
[00:02:06.000 --> 00:02:11.000]  就要看我們怎樣去整合我們上一年的經驗
[00:02:11.000 --> 00:02:14.000]  而今天的經文《生命記》第一章
[00:02:14.000 --> 00:02:20.000]  就是講回摩西在他臨離開世界之前
[00:02:20.000 --> 00:02:23.000]  再一次站在約旦河旁邊
[00:02:23.000 --> 00:02:25.000]  要進入英雄之地
[00:02:25.000 --> 00:02:28.000]  它在第一至四章就總結了
