
[00:00:00.000 --> 00:00:04.000]  (自上次會議舉行至今,有請教會議員及其他會員參與)
[00:00:04.720 --> 00:00:06.000]  弟兄姊妹早安
[00:00:06.000 --> 00:00:12.000]  今天是2021年第二個星期日
[00:00:12.000 --> 00:00:17.000]  能夠一起在起神的面前敬拜主
[00:00:17.000 --> 00:00:21.000]  也是上帝給予我們一個很大的恩典
[00:00:21.000 --> 00:00:25.000]  今年教會的講壇
[00:00:25.000 --> 00:00:30.000]  林牧師幫我們編排了看生命記
[00:00:33.000 --> 00:00:38.000]  所以我們會在裡面每次來看
[00:00:38.000 --> 00:00:42.000]  上星期Irene和Jason傳道
[00:00:42.000 --> 00:00:48.000]  分別都講了生命記的道論和第一章的內容
[00:00:48.000 --> 00:00:52.000]  今個週末有Jenny傳道和我
[00:00:52.000 --> 00:00:57.000]  帶著會眾一起看第二和第三章
[00:00:57.000 --> 00:00:59.000]  透過摩西的益術
[00:00:59.000 --> 00:01:03.000]  看看摩西給以色列民和我們
[00:01:03.000 --> 00:01:07.000]  有什麼寶貴的教導和提醒
[00:01:07.000 --> 00:01:11.000]  今年教會仍然用回那個連題
[00:01:11.000 --> 00:01:15.000]  基督我家之主和誇大與神同行
[00:01:15.000 --> 00:01:23.000]  都是一個很切合摩西的教導
[00:01:23.000 --> 00:01:25.000]  古語有云
[00:01:25.000 --> 00:01:29.000]  人之將死其言也善
[00:01:29.000 --> 00:01:33.000]  生命記是神人摩西臨終的遺言
[00:01:33.000 --> 00:01:38.000]  面對曠野的新一代
[00:01:38.000 --> 00:01:43.000]  他將上帝和以色列民的納約
[00:01:43.000 --> 00:01:47.000]  和他所頒布的十誡和各種的律例
[00:01:47.000 --> 00:01:49.000]  是很清楚的講明
[00:01:49.000 --> 00:01:52.000]  是純純的勸誡
[00:01:52.000 --> 00:01:56.000]  希望以色列民能夠明白
[00:01:56.000 --> 00:01:59.000]  原來關乎生死禍福的選擇
[00:01:59.000 --> 00:02:01.000]  是在我們手裡
[00:02:01.000 --> 00:02:08.000]  生命記是摩西走到一生侍奉的終點
[00:02:08.000 --> 00:02:13.000]  在摩西生命最後的過程裡
[00:02:13.000 --> 00:02:16.000]  他對以色列民最後的教導
[00:02:16.000 --> 00:02:20.000]  他將在那四十年裡
[00:02:20.000 --> 00:02:24.000]  跟隨上帝服侍上帝的經歷
[00:02:24.000 --> 00:02:26.000]  和一些反省
[00:02:26.000 --> 00:02:30.000]  來與以色列民講解
[00:02:30.000 --> 00:02:32.000]  透過他的經驗
[00:02:32.000 --> 00:02:35.000]  他提醒屬神的人
[00:02:35.000 --> 00:02:39.000]  要堅守獨一真神的信仰
[00:02:39.000 --> 00:02:43.000]  因為他們身處的環境非常複雜
[00:02:43.000 --> 00:02:46.000]  但他們是耶和華上帝的選民
[00:02:46.000 --> 00:02:51.000]  所以他整個生命記的講解
[00:02:51.000 --> 00:02:55.000]  都是希望幫助屬神的子民
[00:02:55.000 --> 00:02:58.000]  能夠真誠地愛上帝
[00:02:58.000 --> 00:03:02.000]  敬畏上帝和順服上帝
[00:03:02.000 --> 00:03:06.000]  也都按照上帝所指示的
[00:03:06.000 --> 00:03:12.000]  來學習緊守遵行神所有的一切吩咐
[00:03:12.000 --> 00:03:18.000]  目的是希望神的子民成為萬民的祝福
[00:03:18.000 --> 00:03:22.000]  我在預備講章的過程裡
[00:03:22.000 --> 00:03:27.000]  心裡浮起了一套比較舊的電影
[00:03:27.000 --> 00:03:29.000]  不知道你有沒有看過
[00:03:29.000 --> 00:03:35.000]  就是由周潤發 鞏利主演 張藝謀導演執導的
[00:03:35.000 --> 00:03:39.000]  《滿城盡戴黃金甲》
[00:03:39.000 --> 00:03:45.000]  這套電影裡的女人服飾比較暴露
[00:03:45.000 --> 00:03:50.000]  但這是一套很大型的電影製作
[00:03:50.000 --> 00:03:54.000]  不單止演員的演技很精湛
[00:03:54.000 --> 00:03:57.000]  場面氣氛很磅礡
[00:03:57.000 --> 00:04:00.000]  但其中最重要的是
[00:04:00.000 --> 00:04:04.000]  因為裡面有一個很重要的元素
[00:04:04.000 --> 00:04:09.000]  跟我們今天看的經文有點相似
[00:04:09.000 --> 00:04:13.000]  故事是講到周潤發所飾演的皇帝
[00:04:13.000 --> 00:04:17.000]  被他的兒子和老婆來謀反
[00:04:17.000 --> 00:04:23.000]  所以他有一句對白很精準
[00:04:23.000 --> 00:04:25.000]  他說到什麼
[00:04:25.000 --> 00:04:29.000]  天地萬物 朕賜給你 先是你的
[00:04:29.000 --> 00:04:33.000]  朕不給 你不能搶
[00:04:33.000 --> 00:04:37.000]  他只是地上的一個皇帝
[00:04:37.000 --> 00:04:44.000]  他竟然知道自己有多大的權柄
[00:04:44.000 --> 00:04:48.000]  今天《生命記》裡所說的第二第三章
[00:04:48.000 --> 00:04:52.000]  說到上帝這位天地的主
[00:04:52.000 --> 00:04:59.000]  祂對土地 國家和世人都有絕對的主權
[00:04:59.000 --> 00:05:03.000]  我們怎樣才能活得有智慧呢
[00:05:03.000 --> 00:05:07.000]  就是我們不逾越上帝給我們的戒善
[00:05:07.000 --> 00:05:12.000]  我們敬神並且遵祂而行
[00:05:12.000 --> 00:05:16.000]  所以在開始進入今天的經文之前
[00:05:16.000 --> 00:05:19.000]  我們同心來低頭祈禱
[00:05:19.000 --> 00:05:24.000]  創天造地的三一真神
[00:05:24.000 --> 00:05:27.000]  愛我們的天父
[00:05:27.000 --> 00:05:30.000]  我們知道祢昨時直到如今
[00:05:30.000 --> 00:05:33.000]  從來沒有竊過祢手的工
[00:05:33.000 --> 00:05:36.000]  祢眼目遍測地面
[00:05:36.000 --> 00:05:39.000]  祢有最仔細的計劃
[00:05:39.000 --> 00:05:44.000]  也每天有新的恩典
[00:05:44.000 --> 00:05:46.000]  祢愛屬祢的人
[00:05:46.000 --> 00:05:51.000]  祢也將祢的心意留在聖經裡
[00:05:51.000 --> 00:05:54.000]  讓我們學著遵行
[00:05:54.000 --> 00:05:57.000]  所以我們祈求上帝
[00:05:57.000 --> 00:06:01.000]  祢潔淨我們心裡各樣的思慮煩憂
[00:06:01.000 --> 00:06:04.000]  讓我們能夠從祢的話語裡
[00:06:04.000 --> 00:06:07.000]  得著方向 得著指引
[00:06:07.000 --> 00:06:09.000]  並且得著幫助
[00:06:09.000 --> 00:06:11.000]  多謝祢聽我們的祈禱
[00:06:11.000 --> 00:06:14.000]  奉耶穌的名求 阿們
[00:06:14.000 --> 00:06:18.000]  新命記第二第三章
[00:06:18.000 --> 00:06:21.000]  摩西在這裡回憶
[00:06:21.000 --> 00:06:26.000]  隨著以色列民在荷爾瑪戰敗後
[00:06:26.000 --> 00:06:31.000]  他們開始朝著向迦南地進發
[00:06:31.000 --> 00:06:34.000]  一些發生的事件
[00:06:34.000 --> 00:06:39.000]  他將以色列民一起經過的事蹟
[00:06:39.000 --> 00:06:42.000]  逐一描述出來
[00:06:42.000 --> 00:06:46.000]  叫以色列民記住這些重要的功課
[00:06:46.000 --> 00:06:48.000]  在這個段落裡
[00:06:48.000 --> 00:06:54.000]  以色列人繞過以東 摩亞和阿們的地方
[00:06:54.000 --> 00:06:58.000]  並且征服了兩個王
[00:06:58.000 --> 00:07:02.000]  就是阿摩利王西弘和巴山王鄂
[00:07:02.000 --> 00:07:06.000]  然後準備進入英許之地
[00:07:06.000 --> 00:07:12.000]  我將這個段落的經文分成三個段落
[00:07:12.000 --> 00:07:15.000]  二章一到二十三節
[00:07:15.000 --> 00:07:18.000]  我們稱為上帝的主權
[00:07:18.000 --> 00:07:23.000]  有上帝自己的美意和分配計劃
[00:07:23.000 --> 00:07:26.000]  二章二十四到三章十一
[00:07:26.000 --> 00:07:28.000]  就是上帝賜地業
[00:07:28.000 --> 00:07:30.000]  三章十二到二十九
[00:07:30.000 --> 00:07:33.000]  就是分地和叮嚀
[00:07:33.000 --> 00:07:40.000]  我們下去看看究竟是怎樣的狀況
[00:07:40.000 --> 00:07:44.000]  在聖經裡說到
[00:07:44.000 --> 00:07:51.000]  耶和華在聖經裡二章一到二十三節
[00:07:51.000 --> 00:07:57.000]  內容其實和文數二十章到二十一章的內容
[00:07:57.000 --> 00:08:00.000]  都是一樣的 近似的
[00:08:00.000 --> 00:08:04.000]  所以我們可以參照來看
[00:08:04.000 --> 00:08:12.000]  上帝在這裡 當以色列人要經過摩押 以東和阿滿的時候
[00:08:12.000 --> 00:08:16.000]  祂是叫他們不可以和他們爭戰
[00:08:16.000 --> 00:08:20.000]  神禁止他們因著拿地
[00:08:20.000 --> 00:08:24.000]  來和以東 摩押和阿滿爭戰
[00:08:24.000 --> 00:08:30.000]  為什麼 因為原來以色列人和他們有著血緣的關係
[00:08:30.000 --> 00:08:38.000]  以東是以色列的先祖 以撒的長子 以素的子孫
[00:08:38.000 --> 00:08:41.000]  以素 記得他是怎樣嗎
[00:08:41.000 --> 00:08:46.000]  用一碗紅豆湯換掉了長子的名分
[00:08:46.000 --> 00:08:51.000]  而摩押人和阿滿人就是羅德的子孫
[00:08:51.000 --> 00:08:52.000]  羅德是誰呢
[00:08:52.000 --> 00:08:55.000]  羅德是亞伯拉罕的侄子
[00:08:55.000 --> 00:09:01.000]  他走去索多瑪俄摩拉 去罪惡之城居住
[00:09:01.000 --> 00:09:06.000]  結果天火焚城 他們要逃走
[00:09:06.000 --> 00:09:10.000]  太太因為回頭望 變成了鹽柱
