
[00:00:00.000 --> 00:00:03.000]  各位弟兄姐妹 好久不見
[00:00:03.000 --> 00:00:04.000]  非常感恩
[00:00:04.000 --> 00:00:06.000]  今天先透過雅各書
[00:00:06.000 --> 00:00:09.000]  來和大家來探討一個主題
[00:00:09.000 --> 00:00:13.000]  叫做 試煉與試探
[00:00:13.000 --> 00:00:16.000]  這樣的一個題目其實是出自於
[00:00:16.000 --> 00:00:19.000]  在剛才我們所主席帶領我們
[00:00:19.000 --> 00:00:22.000]  宣讀的這樣一個經文當中
[00:00:22.000 --> 00:00:25.000]  比如說在第二節當中
[00:00:25.000 --> 00:00:27.000]  講到的試煉
[00:00:27.000 --> 00:00:29.000]  比如說還在第十二節裡面
[00:00:29.000 --> 00:00:32.000]  講到的試探
[00:00:32.000 --> 00:00:34.000]  其實它在原文裡面
[00:00:34.000 --> 00:00:37.000]  它都是一個字來的
[00:00:37.000 --> 00:00:40.000]  那麼結合它聖經的上下文
[00:00:40.000 --> 00:00:42.000]  我們可以看到
[00:00:42.000 --> 00:00:45.000]  它翻譯成為試煉和試探
[00:00:45.000 --> 00:00:48.000]  是非常有它的一個意思
[00:00:48.000 --> 00:00:51.000]  它指的叫做苦難的機遇
[00:00:51.000 --> 00:00:54.000]  它之所以叫做試煉
[00:00:54.000 --> 00:00:56.000]  它是期盼我們考驗
[00:00:56.000 --> 00:00:59.000]  並來成就我們的生命
[00:00:59.000 --> 00:01:03.000]  試探就是半導並引誘我們
[00:01:03.000 --> 00:01:06.000]  陷入到罪惡當中
[00:01:06.000 --> 00:01:08.000]  相信我們各位弟兄姐妹
[00:01:08.000 --> 00:01:10.000]  在我們的人生旅程裡面
[00:01:10.000 --> 00:01:13.000]  都會遇到不同的挑戰
[00:01:13.000 --> 00:01:16.000]  這些挑戰當我們可以分清楚
[00:01:16.000 --> 00:01:19.000]  它會成為我們的試煉
[00:01:19.000 --> 00:01:21.000]  甚至試探的時候
[00:01:21.000 --> 00:01:23.000]  以至於讓我們可以更好地
[00:01:23.000 --> 00:01:26.000]  來行走我們的人生道路
[00:01:26.000 --> 00:01:28.000]  在這樣一段的經文裡面
[00:01:28.000 --> 00:01:30.000]  它的分段很有趣
[00:01:30.000 --> 00:01:33.000]  它形成了一個對戰的形式
[00:01:33.000 --> 00:01:36.000]  二至八節考驗與忍耐
[00:01:36.000 --> 00:01:39.000]  與十二至十五節一樣
[00:01:39.000 --> 00:01:43.000]  中間它是考驗的境遇
[00:01:43.000 --> 00:01:46.000]  講到了富足與貧窮
[00:01:46.000 --> 00:01:47.000]  九至十一節
[00:01:47.000 --> 00:01:49.000]  讓我們來看到其中的內容
[00:01:49.000 --> 00:01:51.000]  讓我們在進入今天的訊息之前
[00:01:51.000 --> 00:01:54.000]  我們一起來禱告
[00:01:54.000 --> 00:01:57.000]  天父上帝愛我們的主
[00:01:57.000 --> 00:02:00.000]  祢的恩典真是夠我們用
[00:02:00.000 --> 00:02:01.000]  祢讓我們在這樣一條
[00:02:01.000 --> 00:02:03.000]  純正的道路上成為一家人
[00:02:03.000 --> 00:02:06.000]  我們真的是何其的蒙福
[00:02:06.000 --> 00:02:08.000]  感謝主祢召聚我們今天的相聚
[00:02:08.000 --> 00:02:11.000]  讓我們有同樣的這樣一個福分
[00:02:11.000 --> 00:02:13.000]  能夠來敬拜祢
[00:02:13.000 --> 00:02:15.000]  更讓我們可以聆聽祢的話語
[00:02:15.000 --> 00:02:17.000]  主啊求祢賜福於我們
