
[00:00:00.000 --> 00:00:07.000]   >> Good evening, everyone.
[00:00:07.000 --> 00:00:09.000]   It's good to see you all.
[00:00:09.000 --> 00:00:11.000]   What a powerful story.
[00:00:11.000 --> 00:00:18.000]   What a powerful story as we watch how Jesus was filled with compassion for the people that he met.
[00:00:18.000 --> 00:00:23.000]   It's an honor to be able to share just on this passage a little bit with you guys today.
[00:00:23.000 --> 00:00:26.000]   So anyway, great to see you all.
[00:00:26.000 --> 00:00:30.000]   The title is "Believing and Seeing."
[00:00:30.000 --> 00:00:34.000]   I am going to screen share and actually control the slides from here.
[00:00:34.000 --> 00:00:36.000]   So let's see if this works.
[00:00:36.000 --> 00:00:37.000]   Brilliant.
[00:00:37.000 --> 00:00:40.000]   So the title of today's sermon is "Believing is Seeing."
[00:00:40.000 --> 00:00:44.000]   And, of course, focusing on that passage, and I'm going to be landing there.
[00:00:44.000 --> 00:00:50.000]   But I wanted to encourage you, if you do have a paper Bible, I would encourage you to put it in front of you,
[00:00:50.000 --> 00:00:52.000]   because we are going to fly around a little bit.
[00:00:52.000 --> 00:00:58.000]   Because actually when this sermon topic and title was given to me, the passage was actually longer.
[00:00:58.000 --> 00:01:00.000]   And I wondered why was it so long.
[00:01:00.000 --> 00:01:02.000]   It actually went from Mark 6 to Mark 9.
[00:01:02.000 --> 00:01:04.000]   So I decided to focus on Mark 9.
[00:01:04.000 --> 00:01:11.000]   But then realizing afterwards that actually the context behind all of this, what happens beforehand,
[00:01:11.000 --> 00:01:16.000]   actually really helps emphasize what happens here in Mark 9, and it's almost a climax.
[00:01:16.000 --> 00:01:18.000]   So I'm going to fly through a little bit.
[00:01:18.000 --> 00:01:22.000]   I did a bit of a word play on, again, it's not creative.
[00:01:22.000 --> 00:01:24.000]   Other people have done it as well.
[00:01:24.000 --> 00:01:27.000]   There's a saying which is "Seeing is believing."
[00:01:27.000 --> 00:01:31.000]   I'm sure there may have been people that you know who said they will believe in Christianity,
[00:01:31.000 --> 00:01:34.000]   they will believe in Jesus if they see him.
[00:01:34.000 --> 00:01:35.000]   I have to see it to believe it.
[00:01:35.000 --> 00:01:36.000]   Have you heard of that?
[00:01:36.000 --> 00:01:38.000]   I have to see it to believe it.
[00:01:38.000 --> 00:01:42.000]   But you see, the truth is that isn't how things work.
[00:01:42.000 --> 00:01:44.000]   You don't see something and then believe it.
[00:01:44.000 --> 00:01:50.000]   We don't necessarily see the virus, at least with our naked eye, but we know that it's existing
[00:01:50.000 --> 00:01:52.000]   and it's seemingly alive and well.
