
[00:00:00.000 --> 00:00:06.240]   - Good evening, everyone.
[00:00:06.240 --> 00:00:11.800]   My name is Michelle, and I'm really excited tonight because it's the first time that I'm
[00:00:11.800 --> 00:00:17.080]   preaching after we've been back and are able to meet together.
[00:00:17.080 --> 00:00:18.920]   So I'm just very excited.
[00:00:18.920 --> 00:00:23.200]   And today we're on the topic of a prayer-centered church.
[00:00:23.200 --> 00:00:27.600]   Yeah, just at the back, could I have a bit of light here?
[00:00:27.600 --> 00:00:31.760]   I really can't see my script.
[00:00:31.760 --> 00:00:38.560]   So the very first scripture that we're reading is actually already read by Bonnie today.
[00:00:38.560 --> 00:00:45.920]   And basically what we see is that the church, the early church devoted themselves to the
[00:00:45.920 --> 00:00:48.400]   teachings of the apostles.
[00:00:48.400 --> 00:00:54.680]   And yes, I know it's not as fast as God making light here, but it's okay.
[00:00:54.680 --> 00:00:56.080]   Don't worry.
[00:00:56.080 --> 00:00:57.560]   Whatever we'll make do.
[00:00:57.560 --> 00:01:04.680]   So what we see is that the early Christians, they devoted themselves to the apostles' teaching.
[00:01:04.680 --> 00:01:06.240]   They were in fellowship.
[00:01:06.240 --> 00:01:10.280]   They were breaking bread and they were praying together.
[00:01:10.280 --> 00:01:13.920]   And so when they did that, oh wait, I can actually go without my mask.
[00:01:13.920 --> 00:01:18.420]   Don't worry, I've done my rad test.
[00:01:18.420 --> 00:01:25.440]   So what happened is that after they've gathered and have prayed, the Lord has added their
[00:01:25.440 --> 00:01:28.880]   numbers daily, those who are being saved.
[00:01:28.880 --> 00:01:35.600]   And so today we really want to look at what it means to be a prayer-centered church.
[00:01:35.600 --> 00:01:38.560]   Do you think our church is a prayer-centered church?
[00:01:38.560 --> 00:01:39.560]   Yeah, okay.
[00:01:39.560 --> 00:01:43.200]   You're like, "I don't know if we are."
[00:01:43.200 --> 00:01:48.320]   But yes, and we want to look further today about what that looks like.
[00:01:48.320 --> 00:01:52.360]   And sometimes we feel like we can just pray individually at home.
[00:01:52.360 --> 00:01:56.960]   We don't necessarily have to pray together in one place at one time.
[00:01:56.960 --> 00:02:02.480]   But today we're going to look at what really happens when we do do that, to come together,
[00:02:02.480 --> 00:02:08.940]   pray at the same time, in the same place, and how the Lord will move in this place.
[00:02:08.940 --> 00:02:16.360]   So first off, I want to share a Bible passage from the book of, we've already read that,
[00:02:16.360 --> 00:02:19.760]   the book of Acts in chapter 12.
[00:02:19.760 --> 00:02:27.480]   So at that time in this chapter, King Harold had just beheaded James, the brother of John.
[00:02:27.480 --> 00:02:34.240]   Now because the Jews had delighted it so much that he decided, King Harold, that he's going
[00:02:34.240 --> 00:02:38.480]   to capture Apostle Peter and put him in prison.
[00:02:38.480 --> 00:02:43.920]   And so as he did that, the people knew that the next day he would be trialed.
[00:02:43.920 --> 00:02:49.040]   So the early church, the Christians came together and they said, "We have to pray for Peter."
[00:02:49.040 --> 00:02:51.360]   And so they prayed together.
[00:02:51.360 --> 00:02:59.360]   And Peter, when he was actually bound by chains to two soldiers, all of a sudden he saw an
[00:02:59.360 --> 00:03:01.640]   angel of the Lord appeared.
[00:03:01.640 --> 00:03:05.280]   And the Lord instructed him, "Come, let's go."
[00:03:05.280 --> 00:03:10.700]   And even as he was leaving the prison, he thought he was in a vision.
[00:03:10.700 --> 00:03:13.040]   Even he himself didn't believe it.
[00:03:13.040 --> 00:03:18.680]   Until he got out of the prison, that's when he realized, "Oh, this is real.
[00:03:18.680 --> 00:03:21.160]   I am out of the prison."
[00:03:21.160 --> 00:03:28.560]   And so he ran straight to the house of Mary where all the Christians had gathered.
[00:03:28.560 --> 00:03:29.560]   And you know what he did?
[00:03:29.560 --> 00:03:31.520]   He knocked on the door, right?
[00:03:31.520 --> 00:03:34.120]   And then a servant girl answered.
[00:03:34.120 --> 00:03:35.960]   And this is what happened.
[00:03:35.960 --> 00:03:41.760]   And we can see it in verse 14 here.
[00:03:41.760 --> 00:03:48.840]   When she, Ronda, which is the servant girl, recognized Peter's voice, she was so overjoyed
[00:03:48.840 --> 00:03:52.560]   that she ran back without opening the door.
[00:03:52.560 --> 00:03:53.560]   Okay?
[00:03:53.560 --> 00:03:55.760]   So you answer the door, but you don't open it.
[00:03:55.760 --> 00:04:01.280]   And then she ran back and she exclaimed to everyone, "Peter's at the door."
[00:04:01.280 --> 00:04:05.360]   And then everybody says, "You're out of your mind."
[00:04:05.360 --> 00:04:06.680]   That can't be true.
[00:04:06.680 --> 00:04:10.020]   But she insists, "No, he's really there."
[00:04:10.020 --> 00:04:12.120]   So he says, "It might be an angel.
[00:04:12.120 --> 00:04:14.240]   It might be his angel."
[00:04:14.240 --> 00:04:20.000]   But when Peter kept on knocking and they finally opened the door and saw him, they were astonished.
[00:04:20.000 --> 00:04:21.000]   "It is Peter.
[00:04:21.000 --> 00:04:23.200]   He is standing right there."
[00:04:23.200 --> 00:04:30.040]   So this brings us to our first point, that a prayer-centered church brings unity and
[00:04:30.040 --> 00:04:31.040]   faith.
[00:04:31.040 --> 00:04:37.720]   Now, we saw this in Acts chapter 12, that people saw a need.
[00:04:37.720 --> 00:04:43.920]   There was an urgent need because Peter might be trialed the next day and he could be beheaded
[00:04:43.920 --> 00:04:45.440]   just like James.
[00:04:45.440 --> 00:04:50.720]   So if he doesn't come out today or tomorrow, he's probably going to be dead.
[00:04:50.720 --> 00:04:56.280]   And so the church gathered together, not for their own individual needs or desire at that
[00:04:56.280 --> 00:05:03.920]   time, but they came together for the need of a brother, for someone within the congregation,
[00:05:03.920 --> 00:05:07.440]   someone that they loved, and for the kingdom of God.
[00:05:07.440 --> 00:05:12.320]   So when we pray together, it's actually going to bring us unity to God's heart and what
[00:05:12.320 --> 00:05:14.440]   he wants us to do.
[00:05:14.440 --> 00:05:18.920]   And as they prayed together, they were exercising their faith.
[00:05:18.920 --> 00:05:22.960]   Now I could see from the scripture, they weren't quite sure what God would do.
[00:05:22.960 --> 00:05:25.000]   Maybe they had a little bit of faith.
[00:05:25.000 --> 00:05:27.260]   Okay, maybe God will do something.
[00:05:27.260 --> 00:05:32.740]   Maybe when the sword comes down, it won't chop his head off or something.
[00:05:32.740 --> 00:05:37.040]   But somehow they were not expecting him to be standing at the door.
[00:05:37.040 --> 00:05:44.080]   But you see when we pray together, our faith will grow because it no longer is an individual
[00:05:44.080 --> 00:05:47.840]   experience, but it's a corporate experience.
[00:05:47.840 --> 00:05:52.800]   Can you imagine if today we were all praying together, I don't know, for someone to show
[00:05:52.800 --> 00:05:58.320]   up at the door and that person actually showed up, got out of prison and is standing right
[00:05:58.320 --> 00:05:59.320]   there.
[00:05:59.320 --> 00:06:03.400]   Can you imagine our level of faith would grow?
[00:06:03.400 --> 00:06:09.040]   I mean, even just hearing it, let's say someone didn't come and they've missed it.
[00:06:09.040 --> 00:06:15.480]   And even when we have told them, their faith might not be the same as when we had experienced
[00:06:15.480 --> 00:06:17.320]   it together.
[00:06:17.320 --> 00:06:24.680]   And so as a prayer-centered church, we need to come together to pray, not necessarily
[00:06:24.680 --> 00:06:31.440]   for ourselves, we can, but more so for the heart of God, to align ourselves there.
[00:06:31.440 --> 00:06:36.720]   And when we experience him, it will bring us to a new level of faith.
[00:06:36.720 --> 00:06:40.260]   Now last Friday night, we had a refresh night.
[00:06:40.260 --> 00:06:44.240]   Now for those of you who have never been to one or don't know what it is, well, it's a
[00:06:44.240 --> 00:06:49.120]   night where we come together, we worship God and we pray together.
[00:06:49.120 --> 00:06:55.320]   And I still remember when we were singing in that time, I just felt like I started to
