
[00:00:00.000 --> 00:00:03.000]  感謝神的恩典讓我們在主日的時候
[00:00:03.000 --> 00:00:07.000]  而且今天還是大年初五
[00:00:07.000 --> 00:00:10.000]  一起相聚在神的殿中
[00:00:10.000 --> 00:00:14.000]  為的是一起要同心來榮耀我們的上帝
[00:00:14.000 --> 00:00:18.000]  在中國人傳統過春節之前
[00:00:18.000 --> 00:00:21.000]  都會要打掃房屋 清潔
[00:00:21.000 --> 00:00:24.000]  以致有一個很整潔清潔的狀態
[00:00:24.000 --> 00:00:26.000]  迎接新的一年
[00:00:26.000 --> 00:00:30.000]  而且在整個的家中還要講求的是
[00:00:30.000 --> 00:00:33.000]  整家人的團聚
[00:00:33.000 --> 00:00:37.000]  所以今天按照約書亞紀的講道系列
[00:00:37.000 --> 00:00:40.000]  正好來到了22章
[00:00:40.000 --> 00:00:42.000]  也要帶出兩個主題
[00:00:42.000 --> 00:00:45.000]  我們講的不單是清潔
[00:00:45.000 --> 00:00:49.000]  而是更加在神裡面的聖潔
[00:00:49.000 --> 00:00:51.000]  我們講的不單是團聚
[00:00:51.000 --> 00:00:56.000]  而且更加講的是在主裡面的合一
[00:00:56.000 --> 00:01:00.000]  那麼也求神將約書亞紀22章
[00:01:00.000 --> 00:01:02.000]  這段經文的話語
[00:01:02.000 --> 00:01:05.000]  來教導我們 來提醒我們
[00:01:05.000 --> 00:01:07.000]  貢獻我們的生命
[00:01:07.000 --> 00:01:10.000]  貢獻我們屬神的群體
[00:01:10.000 --> 00:01:13.000]  我邀請我們弟兄姊妹也一起來禱告
[00:01:13.000 --> 00:01:15.000]  親愛的天父上帝
[00:01:15.000 --> 00:01:17.000]  祢是愛我們的主
[00:01:17.000 --> 00:01:19.000]  謝謝祢讓我們因著神
[00:01:19.000 --> 00:01:22.000]  就成為主內的弟兄姊妹
[00:01:22.000 --> 00:01:24.000]  我們是一家人
[00:01:24.000 --> 00:01:27.000]  也謝謝主叫我們從這個世界當中
[00:01:27.000 --> 00:01:28.000]  分別出來
[00:01:28.000 --> 00:01:31.000]  讓我們成為分別為聖的群體
[00:01:31.000 --> 00:01:34.000]  主啊 當我們在年初五再次相聚
[00:01:34.000 --> 00:01:35.000]  還是主日一起來
[00:01:35.000 --> 00:01:37.000]  榮耀神的日子的時候
[00:01:37.000 --> 00:01:39.000]  求主你的話語
[00:01:39.000 --> 00:01:42.000]  就臨到我們的生命當中
[00:01:42.000 --> 00:01:45.000]  叫我們的心田當中得蒙滋養
[00:01:45.000 --> 00:01:48.000]  以至於我們的生命不再一樣
[00:01:48.000 --> 00:01:50.000]  活出耶穌基督的樣式
[00:01:50.000 --> 00:01:53.000]  主啊 願我的口中的話語
[00:01:53.000 --> 00:01:56.000]  眾弟兄姊妹的心懷意念
[00:01:56.000 --> 00:01:59.000]  都得蒙天父上帝你的願啊
[00:01:59.000 --> 00:02:01.000]  同心禱告 奉主名求
[00:02:01.000 --> 00:02:03.000]  Amen
[00:02:03.000 --> 00:02:06.000]  好 講到22章這裡呢
[00:02:06.000 --> 00:02:08.000]  就講到了他們遇到的一次
[00:02:08.000 --> 00:02:10.000]  小小的風波啊 波折
[00:02:10.000 --> 00:02:13.000]  那麼如果我們回顧一下
[00:02:13.000 --> 00:02:16.000]  在第21章的時候呢
