
[00:00:00.000 --> 00:00:02.800]  鼎姐妹,大家好
[00:00:02.800 --> 00:00:08.000]  在這個疫情仍然在世界很多其他地方是很嚴峻的時候
[00:00:08.000 --> 00:00:10.800]  雖然香港暫時疫情稍為緩和
[00:00:10.800 --> 00:00:12.800]  我們都不能掉以輕心
[00:00:12.800 --> 00:00:18.200]  我們需要在這個年間,這個時代
[00:00:18.200 --> 00:00:22.000]  讓我們再一次在神的話裏面
[00:00:22.000 --> 00:00:24.400]  來被提醒和受激勵
[00:00:24.400 --> 00:00:30.200]  今天我們來到研讀《使徒行傳》去到最後的兩章
[00:00:30.200 --> 00:00:33.200]  如果我們記得整個《使徒行傳》
[00:00:33.200 --> 00:00:39.400]  在過去這二十六章裏面
[00:00:39.400 --> 00:00:44.000]  其實我們已經看過保羅的生平非常精彩
[00:00:44.000 --> 00:00:46.400]  當然不是全部都講保羅
[00:00:46.400 --> 00:00:48.400]  但我們可以很肯定
[00:00:48.400 --> 00:00:52.400]  保羅的宣教經歷
[00:00:52.400 --> 00:00:57.800]  和他在初期教會所奠下的一個美好的根基
[00:00:57.800 --> 00:01:02.000]  是叫歷世歷代的我們跟隨主的人
[00:01:02.000 --> 00:01:04.000]  都可以成為我們的榜樣
[00:01:04.000 --> 00:01:07.000]  我們今天要看的這段經文
[00:01:07.000 --> 00:01:13.400]  其實是包含著他在《使徒行傳》裏面
[00:01:13.400 --> 00:01:15.400]  可以說是最後一段的旅程
[00:01:15.400 --> 00:01:20.000]  但其實《使徒行傳》不是去到二十八章尾就完的
[00:01:20.000 --> 00:01:23.000]  那裏只是講保羅去到羅馬
[00:01:23.000 --> 00:01:26.000]  在那裏他再被軟禁多兩年
[00:01:26.000 --> 00:01:28.000]  其實之後還有事情發生
[00:01:28.000 --> 00:01:31.000]  不過聖經就停下來沒有記載
[00:01:31.000 --> 00:01:36.000]  我們需要看這段經文了解一下背景
[00:01:36.000 --> 00:01:39.000]  因為這段經文真的很特別
[00:01:39.000 --> 00:01:42.000]  首先我們要了解認識到
[00:01:42.000 --> 00:01:47.000]  在前文《使徒行傳》第21章到23章裏面
[00:01:47.000 --> 00:01:52.000]  其實是在講保羅因為他知道
[00:01:52.000 --> 00:01:58.000]  在耶路撒冷那裏有患難和困所等著他
[00:01:58.000 --> 00:02:02.000]  但他仍然堅定地相信這是神的旨意
[00:02:02.000 --> 00:02:05.000]  他全心去信服上帝
[00:02:05.000 --> 00:02:12.000]  以致他明知道那裏有苦力還向山上去
[00:02:12.000 --> 00:02:20.000]  他無懼地因為他知道上帝的大靈要面對這個苦難
[00:02:20.000 --> 00:02:24.000]  他去到耶路撒冷確是會被人來困所
[00:02:24.000 --> 00:02:29.000]  然後他們要送他去蓋薩尼亞
[00:02:29.000 --> 00:02:33.000]  在蓋薩尼亞之後我們在《使徒行傳》24章裏
[00:02:33.000 --> 00:02:38.000]  我們看到保羅對總督這個肥利斯申訴
[00:02:38.000 --> 00:02:42.000]  後來肥利斯的接任人就是另一個總督
[00:02:42.000 --> 00:02:44.000]  這個就是肥斯都
[00:02:44.000 --> 00:02:46.000]  與及他向阿基帕王申訴
[00:02:46.000 --> 00:02:52.000]  一直由24章延續到25、26章就全部說了
[00:02:52.000 --> 00:02:58.000]  他基本上在蓋薩尼亞被囚禁兩年的時間
[00:02:58.000 --> 00:03:01.000]  見了阿基帕王之後又怎樣呢
[00:03:01.000 --> 00:03:09.000]  既然你要申訴控告你的猶太人
[00:03:09.000 --> 00:03:14.000]  既然我們羅馬的法律在這個地方
