
[00:00:00.000 --> 00:00:01.000]  前
[00:00:01.000 --> 00:00:05.200]  我用多片年
[00:00:05.200 --> 00:00:08.200]  在痛苦前
[00:00:08.200 --> 00:00:11.900]  你清楚我需要
[00:00:11.900 --> 00:00:19.600]  求知我傷心的眼睛
[00:00:19.600 --> 00:00:21.000]  風暴裡
[00:00:21.000 --> 00:00:23.300]  仍舊天真
[00:00:23.300 --> 00:00:28.700]  全憲我相保的心靈
[00:00:29.200 --> 00:00:37.000]  由你全權來帶領
[00:00:37.000 --> 00:00:40.200]  願有公主
[00:00:40.200 --> 00:00:42.900]  美麗貴姓
[00:00:42.900 --> 00:00:47.000]  願你的國國幸
[00:00:47.000 --> 00:00:51.600]  家園的市民在地上
[00:00:51.600 --> 00:00:55.200]  願浩瀚在天上
[00:00:55.600 --> 00:01:00.200]  可護當天最需要的聖母
[00:01:00.200 --> 00:01:04.000]  同你賜福我
[00:01:04.000 --> 00:01:08.700]  天皇的宗
[00:01:08.700 --> 00:01:11.200]  願同我
[00:01:11.200 --> 00:01:15.200]  以每日的贈
[00:01:15.200 --> 00:01:30.200]  【演唱】
[00:01:30.200 --> 00:01:32.000]  天父
[00:01:32.000 --> 00:01:36.600]  你明是多麼美
[00:01:36.600 --> 00:01:40.600]  榮耀天全地
[00:01:40.600 --> 00:01:43.000]  才到過靈神
[00:01:43.400 --> 00:01:47.000]  儘管你的美
[00:01:47.000 --> 00:01:49.000]  天聖
[00:01:49.000 --> 00:01:53.400]  我尋物主坐前
[00:01:53.400 --> 00:01:57.200]  我用多片年
[00:01:57.200 --> 00:01:59.600]  在痛苦前
[00:01:59.600 --> 00:02:04.000]  你已清楚我需要
[00:02:04.000 --> 00:02:10.000]  求知我傷心的眼睛
[00:02:10.000 --> 00:02:11.400]  風暴裡
[00:02:11.800 --> 00:02:13.800]  仍舊天真
[00:02:13.800 --> 00:02:18.400]  全憲我相保的心靈
[00:02:18.400 --> 00:02:25.800]  由你全權來帶領
[00:02:25.800 --> 00:02:28.400]  願有公主
[00:02:28.400 --> 00:02:31.000]  美麗貴姓
[00:02:31.000 --> 00:02:35.000]  願你的國國幸
[00:02:35.000 --> 00:02:39.400]  家園的市民在地上
[00:02:39.800 --> 00:02:42.400]  願浩瀚在天上
[00:02:42.400 --> 00:02:47.400]  我們當天所需要的聖母
[00:02:47.400 --> 00:02:51.400]  同你賜福我
[00:02:51.400 --> 00:02:55.400]  免我們的債
[00:02:55.400 --> 00:02:57.400]  願同我
[00:02:57.400 --> 00:03:01.400]  免去人的債
[00:03:01.400 --> 00:03:05.400]  今日
[00:03:05.400 --> 00:03:09.400]  我求不主的國
[00:03:10.000 --> 00:03:13.000]  求不主的義
[00:03:13.000 --> 00:03:15.400]  皇的旨意
[00:03:15.400 --> 00:03:20.000]  如若光天被眾亂
[00:03:20.000 --> 00:03:23.000]  願有公主
[00:03:23.000 --> 00:03:26.000]  美麗貴姓
[00:03:26.000 --> 00:03:30.000]  願你的國國幸
[00:03:30.000 --> 00:03:34.000]  家園的市民在地上
[00:03:34.000 --> 00:03:37.000]  願浩瀚在天上
[00:03:37.400 --> 00:03:42.000]  我們當天所需要的聖母
[00:03:42.000 --> 00:03:46.000]  同你賜給我
[00:03:46.000 --> 00:03:50.000]  免我們的債
[00:03:50.000 --> 00:03:52.000]  願同我
[00:03:52.000 --> 00:03:56.000]  免去人的債
[00:03:56.000 --> 00:04:10.600]  (音樂)
[00:04:10.600 --> 00:04:14.600]  不要我們與天師擔
[00:04:14.600 --> 00:04:18.600]  有我們脫離空曠
[00:04:18.600 --> 00:04:21.600]  人國道 決兵永要
[00:04:22.000 --> 00:04:28.600]  全屬你 直到永遠
[00:04:28.600 --> 00:04:31.600]  願有公主
[00:04:31.600 --> 00:04:33.600]  美麗貴姓
[00:04:33.600 --> 00:04:37.600]  願你的國國幸
[00:04:37.600 --> 00:04:41.600]  家園的市民在地上
[00:04:41.600 --> 00:04:45.600]  願浩瀚在天上
[00:04:45.600 --> 00:04:49.600]  我們當天所需要的聖母
[00:04:50.000 --> 00:04:53.600]  同你賜給我
[00:04:53.600 --> 00:04:57.600]  免我們的債
[00:04:57.600 --> 00:04:59.600]  願同我
[00:04:59.600 --> 00:05:04.600]  免去人的債
[00:05:04.600 --> 00:05:10.600]  我們在天上的苦
[00:05:10.600 --> 00:05:14.600]  願人都注定
[00:05:15.000 --> 00:05:19.600]  免我們的債
[00:05:19.600 --> 00:05:34.600]  (音樂)
[00:05:39.600 --> 00:05:57.200]  (音樂)
[00:05:57.200 --> 00:06:04.200]  天父 你明是多麼美
[00:06:04.600 --> 00:06:08.200]  榮耀遍全地
[00:06:08.200 --> 00:06:11.200]  在土谷良辰
[00:06:11.200 --> 00:06:15.200]  靜觀你的美
[00:06:15.200 --> 00:06:22.200]  天正 我沉默諸坐前
[00:06:22.200 --> 00:06:26.200]  毋用多片言
