
[00:00:00.000 --> 00:00:04.520]  很高興今天來到了我們約拿書的最後一講
[00:00:04.520 --> 00:00:08.840]  我們前面三個星期都講了前面的一二三章
[00:00:08.840 --> 00:00:10.640]  這是第四章了
[00:00:10.640 --> 00:00:14.100]  那麼很感恩能夠在一起聽聖的話語
[00:00:14.100 --> 00:00:16.240]  那麼我們重溫一點點
[00:00:16.240 --> 00:00:17.960]  那麼我們很清楚知道了
[00:00:17.960 --> 00:00:20.720]  現在就是
[00:00:20.720 --> 00:00:23.640]  約拿是上帝的先知
[00:00:23.640 --> 00:00:26.840]  受到上帝的啟示
[00:00:26.840 --> 00:00:30.080]  要去尼尼威傳福音
[00:00:30.080 --> 00:00:31.600]  但是他不願意
[00:00:31.600 --> 00:00:33.400]  他就要跑到大老遠
[00:00:33.400 --> 00:00:35.520]  當時候的天涯海角
[00:00:35.520 --> 00:00:37.160]  他師這個地方
[00:00:37.160 --> 00:00:38.480]  就是西班牙
[00:00:38.480 --> 00:00:41.480]  所以是走相反的路
[00:00:41.480 --> 00:00:44.320]  但是逃避不了耶和華
[00:00:44.320 --> 00:00:46.600]  耶和華有他的使命
[00:00:46.600 --> 00:00:48.800]  他的旨意在當中
[00:00:48.800 --> 00:00:52.160]  他就讓他掉進了大海
[00:00:52.160 --> 00:00:53.880]  但是我們要反思的是
[00:00:53.880 --> 00:00:56.040]  你生命中有沒有他師呢?
[00:00:56.040 --> 00:00:57.920]  就是上帝要你做的
[00:00:57.920 --> 00:01:02.400]  你偏偏就不去理會上帝給你的指示
[00:01:02.400 --> 00:01:05.320]  你要逃避到可能你的忙碌裡面
[00:01:05.320 --> 00:01:06.800]  你的家庭裡面
[00:01:06.800 --> 00:01:08.280]  你的娛樂裡面
[00:01:08.280 --> 00:01:09.880]  還是你的自我中心裡面
[00:01:09.880 --> 00:01:12.640]  反正就是不要去到神那裡
[00:01:12.640 --> 00:01:15.360]  這是一種生命中的偶像
[00:01:15.360 --> 00:01:16.680]  那麼第二章
[00:01:16.680 --> 00:01:18.520]  我們看到
[00:01:18.520 --> 00:01:21.800]  約拿被丟進海裡面之後
[00:01:21.800 --> 00:01:23.240]  有大魚來接住他
[00:01:23.240 --> 00:01:24.840]  上帝保守他的性命
[00:01:24.840 --> 00:01:26.280]  沒有讓他淹死
[00:01:26.280 --> 00:01:27.800]  在人生的谷底
[00:01:27.800 --> 00:01:28.920]  我們就發現
[00:01:28.920 --> 00:01:30.720]  原來轉折是有可能的
[00:01:30.720 --> 00:01:31.800]  只要一個人
[00:01:31.800 --> 00:01:33.560]  他心裡還是想著上帝
[00:01:33.560 --> 00:01:34.840]  他願意悔改
[00:01:34.840 --> 00:01:36.760]  向上帝認罪
[00:01:36.760 --> 00:01:39.680]  然後上帝的拯救就臨到
[00:01:39.680 --> 00:01:42.400]  我們看到第二章是講這件事情
[00:01:42.400 --> 00:01:44.000]  然後在上個星期天
[00:01:44.000 --> 00:01:45.680]  我們看到第三章
[00:01:45.680 --> 00:01:46.680]  第三章
[00:01:46.680 --> 00:01:49.680]  我們看到簡直是不可能
[00:01:49.680 --> 00:01:52.040]  很多的不可能
[00:01:52.040 --> 00:01:53.560]  有不可能的對象
[00:01:53.560 --> 00:01:54.800]  不可能的人選
[00:01:54.800 --> 00:01:56.120]  沒有不可能的結果
[00:01:56.120 --> 00:02:00.480]  尼尼威是一個不可能對象
[00:02:00.480 --> 00:02:04.560]  因為他是殘忍無比的敵人
[00:02:04.560 --> 00:02:06.560]  他還是以色列的敵人
[00:02:06.560 --> 00:02:07.640]  是殘忍無比的
[00:02:07.640 --> 00:02:09.560]  會把人抓了
[00:02:09.560 --> 00:02:11.080]  還會把人剝皮
[00:02:11.080 --> 00:02:14.800]  還會把人掛在木樁上的一個敵人
[00:02:14.800 --> 00:02:16.960]  如果你今天去大英博物館
[00:02:16.960 --> 00:02:19.280]  你還會看到這些的雕刻
[00:02:19.280 --> 00:02:20.360]  那麼不可能人選
[00:02:20.360 --> 00:02:22.840]  就是一個不聽話的先知
[00:02:22.840 --> 00:02:24.840]  上帝要他作願
[00:02:24.840 --> 00:02:28.400]  先知本來就是應該100%服從上帝的
[00:02:28.400 --> 00:02:31.680]  但是反而他就是往相反的方向跑
[00:02:31.680 --> 00:02:33.680]  而且要跑到那麼大老遠
[00:02:33.680 --> 00:02:35.160]  不可能的結果是
[00:02:35.160 --> 00:02:37.120]  尼尼威不僅是悔改
[00:02:37.120 --> 00:02:38.800]  還是全程悔改
[00:02:38.800 --> 00:02:40.400]  全程都悔改
[00:02:40.400 --> 00:02:41.680]  所以我們看到的
[00:02:41.680 --> 00:02:43.520]  那麼今天我們要去到第四章
[00:02:43.520 --> 00:02:44.720]  就是最後一章了
[00:02:44.720 --> 00:02:46.080]  約拿書的第四章
