
[00:00:00.000 --> 00:00:02.000]  頂姐妹平安啊
[00:00:02.000 --> 00:00:09.000]  我們繼續從啟示錄中領受上帝的提醒
[00:00:09.000 --> 00:00:12.000]  我們今天到第八章
[00:00:12.000 --> 00:00:15.000]  值得再回顧一下
[00:00:15.000 --> 00:00:23.000]  我們知道從第六章開始到第十六章都是一個整個的段落
[00:00:23.000 --> 00:00:26.000]  因為都是關於啟示錄
[00:00:26.000 --> 00:00:28.000]  我們在第五章看到
[00:00:28.000 --> 00:00:33.000]  當約翰看到坐寶座上的上主
[00:00:33.000 --> 00:00:38.000]  手上有一幅用七個印嫌封的書卷
[00:00:38.000 --> 00:00:45.000]  他知道這應該是關於上帝在終末的世代
[00:00:45.000 --> 00:00:49.000]  他必要成就的最後計劃
[00:00:49.000 --> 00:00:51.000]  包括他的審判
[00:00:51.000 --> 00:00:54.000]  也包括他的拯救
[00:00:54.000 --> 00:00:59.000]  結果約翰帶著一個很大的感恩
[00:00:59.000 --> 00:01:05.000]  因為那位為了愛我們拯救我們而被殺的耶穌
[00:01:05.000 --> 00:01:08.000]  彷彿高揚一種獻情
[00:01:08.000 --> 00:01:10.000]  被殺的高揚耶穌
[00:01:10.000 --> 00:01:13.000]  能夠有權柄去打開書卷
[00:01:13.000 --> 00:01:17.000]  我們在先前從第六章看到
[00:01:17.000 --> 00:01:20.000]  書卷用了七印嫌封
[00:01:20.000 --> 00:01:23.000]  當七個印逐個逐個打開
[00:01:23.000 --> 00:01:25.000]  啊,不對,我說錯了
[00:01:25.000 --> 00:01:28.000]  在第六章打開到第六個印
[00:01:28.000 --> 00:01:31.000]  不是七個印打開
[00:01:31.000 --> 00:01:35.000]  不過打開到第六印的時候
[00:01:35.000 --> 00:01:38.000]  我們上一次李文耀博士
[00:01:38.000 --> 00:01:40.000]  就和我們分享第七章
[00:01:40.000 --> 00:01:44.000]  因為第七章是中間的一個插段
[00:01:44.000 --> 00:01:46.000]  大家說他記憶猶新
[00:01:46.000 --> 00:01:48.000]  就發現原來啟示錄
[00:01:48.000 --> 00:01:50.000]  由六章至十六章
[00:01:50.000 --> 00:01:52.000]  講關於終末的計劃
[00:01:52.000 --> 00:01:55.000]  聖經或上帝被約翰見到
[00:01:55.000 --> 00:01:59.000]  是用七印、七號、七碗
[00:01:59.000 --> 00:02:02.000]  這七個連串的意象
[00:02:02.000 --> 00:02:05.000]  來表述、來表達
[00:02:05.000 --> 00:02:10.000]  而往往在表達當中
