
[00:00:00.000 --> 00:00:02.000]  主持人:各位姐妹平安!
[00:00:02.000 --> 00:00:07.240]  我們回到初期教會的生命改變的講道系列。
[00:00:07.240 --> 00:00:13.320]  今天我們要講在教會歷史裡面曾經發生的一件重要的事情。
[00:00:13.320 --> 00:00:16.700]  我們就把它叫耶路撒冷會議。
[00:00:16.700 --> 00:00:22.200]  它可能不是一個正式的會議,但是一般學者都會這麼叫。
[00:00:22.200 --> 00:00:25.800]  我們先看一下初期教會的發展。
[00:00:25.800 --> 00:00:28.800]  我們從《石頭新傳》一直看的時候就看到,
[00:00:28.800 --> 00:00:34.300]  門徒因為主耶穌基督的復活,生命經歷很大的改變。
[00:00:34.300 --> 00:00:37.300]  聖靈就降臨在門徒身上,
[00:00:37.300 --> 00:00:42.800]  他們就得著智慧,有勇氣去傳福音,面對很多的阻力。
[00:00:42.800 --> 00:00:48.300]  人家要打他們,人家要殺他們,人家要把他們關在監牢。
[00:00:48.300 --> 00:00:56.300]  他們以前是貪生怕死的,短短的時間裡面竟然變了,而且一起變。
[00:00:56.300 --> 00:01:00.300]  他們一直說同樣的事情:
[00:01:00.300 --> 00:01:10.800]  「悔改吧,悔改吧,耶穌復活了,耶穌是神的兒子,祂來了。」
[00:01:10.800 --> 00:01:19.300]  然後他們到處就行神計,救濟窮人,彼此相愛,還處理一些問題。
[00:01:19.300 --> 00:01:25.800]  後來我們看見耶路撒冷就遭受逼迫,門徒就四處逃亡。
[00:01:25.800 --> 00:01:29.800]  但是這四處逃亡,他們還是忍不住。
[00:01:29.800 --> 00:01:35.800]  他是因為傳耶穌被逼迫,需要逃亡。
[00:01:35.800 --> 00:01:40.300]  但是他逃亡的過程,你以為他會不再傳耶穌,
[00:01:40.300 --> 00:01:43.800]  但是他逃到哪裡,他就傳到哪裡。
[00:01:43.800 --> 00:01:47.800]  為什麼?
[00:01:47.800 --> 00:01:54.300]  因為他生命真的經歷了又真又活的神,他不能不講。
[00:01:54.300 --> 00:02:00.300]  然後我們就看到,門徒包括斐利、掃羅、彼得,
[00:02:00.300 --> 00:02:06.300]  他們經歷翻轉思維的主的大能。
[00:02:06.300 --> 00:02:14.300]  然後我們就看到,逼迫基督徒的掃羅,後來叫做保羅,
[00:02:14.300 --> 00:02:17.800]  逼迫基督徒,他本來是追殺基督徒的,
[00:02:17.800 --> 00:02:23.800]  生命竟然有180度的轉變,他竟然後來被人家追殺。
[00:02:23.800 --> 00:02:27.300]  就是為了傳耶穌,他成了基督徒。
[00:02:27.300 --> 00:02:35.300]  然後我們就看到,來到這15章就是第一次的宣教旅程。
[00:02:35.300 --> 00:02:41.300]  宣教旅程的結束就是耶路撒冷的會議,就是今天我們要講的到。
[00:02:41.300 --> 00:02:45.800]  如果你應該看不清楚這個地圖,
[00:02:45.800 --> 00:02:52.800]  不過保羅的第一次宣教就在我們的十六行傳第13章14章。
[00:02:52.800 --> 00:02:57.800]  其實到十五章的一到五節是耶路撒冷會議。
[00:02:57.800 --> 00:03:05.800]  這裡是敘利亞,下面就是以色列,這裡是土耳其,
[00:03:05.800 --> 00:03:09.800]  這邊就是歐洲,希臘。
[00:03:09.800 --> 00:03:16.800]  這裡他從耶路撒冷的教會他們去到敘利亞的,建立了安提拉教會。
[00:03:16.800 --> 00:03:19.800]  基督徒第一次教基督徒就在這裡。
[00:03:19.800 --> 00:03:25.800]  然後保羅跟巴納巴被拆,他們就出去,
[00:03:25.800 --> 00:03:31.800]  去到塞浦路斯,Cyprus這個島來傳福音,
[00:03:31.800 --> 00:03:35.800]  去到帕弗這兩個,以前都是他們的神會,
[00:03:35.800 --> 00:03:38.800]  然後就又上去,旁非利亞這邊,別加這邊,
[00:03:38.800 --> 00:03:43.800]  在土耳其下方這邊來傳福音,一直上,
[00:03:43.800 --> 00:03:47.800]  上到那邊的安提拉,以哥列等等,特別。
[00:03:47.800 --> 00:03:51.800]  然後又轉回去,去到旁非利亞那邊,亞大利,
[00:03:51.800 --> 00:03:58.800]  就坐船不再去塞浦路斯,回到西留基,安提拉那邊。
[00:03:58.800 --> 00:04:05.800]  當我們看發生什麼事情的時候,就看到他們是從安提拉出發,
[00:04:05.800 --> 00:04:10.800]  聖靈是拆派巴納巴和掃羅,記得嗎?
[00:04:10.800 --> 00:04:16.800]  侍奉主的人是專心禱告,他們就感受聖靈的帶領。
[00:04:16.800 --> 00:04:19.800]  在塞浦路斯,我們記得上一次講到,
[00:04:19.800 --> 00:04:25.800]  有神長姓祖,神長叫世丘保羅姓祖了。
[00:04:25.800 --> 00:04:29.800]  後來他們之後就去到了毗西底的安提拉,
[00:04:29.800 --> 00:04:34.800]  剛才在地圖有看到另外一個安提拉,在土耳其裡面的。
[00:04:34.800 --> 00:04:41.800]  保羅在會堂那邊就傳講耶穌,有很多猶太人都信了,
[00:04:41.800 --> 00:04:46.800]  但是有另外一些猶太人來,他們就攻擊保羅。
[00:04:46.800 --> 00:04:53.800]  然後保羅就被趕出城,因為他們受到威脅,就被趕出城。
[00:04:53.800 --> 00:04:59.800]  你會發現保羅受到的逼迫是越來越嚴重的,開始的時候是被趕出城。
[00:04:59.800 --> 00:05:04.800]  去到以哥列,猶太人和希臘人都信主,
[00:05:04.800 --> 00:05:09.800]  但是保羅遭逼迫,他們要用石頭打他,要打死他,
[00:05:09.800 --> 00:05:12.800]  他就逃走,逃到路斯德。
[00:05:12.800 --> 00:05:16.800]  逃到路斯德,逃到哪裡就傳到哪裡。
[00:05:16.800 --> 00:05:20.800]  在那裡他行了一個神跡,醫治一個穴腿的。
[00:05:20.800 --> 00:05:25.800]  醫治一個穴腿的,那裡全城的人就把他們當神來拜。
[00:05:25.800 --> 00:05:30.800]  把他們當神來拜,保羅和巴拿巴就立刻撕裂衣服說:
[00:05:30.800 --> 00:05:32.800]  我們是普通人。
[00:05:32.800 --> 00:05:37.800]  有些人行了神跡就沾沾自喜,別人來崇拜他。
[00:05:37.800 --> 00:05:39.800]  但是保羅是怎樣呢?
[00:05:39.800 --> 00:05:43.800]  他們就撕裂衣服說:我們是普通人,你們要拜,
[00:05:43.800 --> 00:05:47.800]  你們真的是需要去拜那位真正的神,不要來拜我們。
[00:05:47.800 --> 00:05:51.800]  在那裡醫治穴腿,很多人拜他,
[00:05:51.800 --> 00:05:57.800]  但是還是有敵對他的猶太人散播謠言來攻擊他,
[00:05:57.800 --> 00:06:01.800]  使到保羅差點被石頭打死,大家都以為他死了。
[00:06:01.800 --> 00:06:07.800]  總之他站起來,就離開,然後他們就回安提亞,
[00:06:07.800 --> 00:06:12.800]  回安提亞的整個路程就回程剛才我們地圖看到了。
[00:06:12.800 --> 00:06:16.800]  但是一路回,一路見證主耶穌,
[00:06:16.800 --> 00:06:19.800]  然後就來到今天我們要看的這段經文,
[00:06:19.800 --> 00:06:21.800]  也是教會歷史裡面的一件重要的事情,
[00:06:21.800 --> 00:06:27.800]  我們做基督徒必須知道的,叫做耶路撒冷會議。
[00:06:27.800 --> 00:06:32.800]  教會當時遇到一個什麼問題呢?
[00:06:32.800 --> 00:06:36.800]  就是剛才主席幫我們讀的這一節,
[00:06:36.800 --> 00:06:39.800]  有幾個人從猶太下來教訓弟兄們說:
[00:06:39.800 --> 00:06:44.800]  你們若不按摩西的規條受割離,不能得救。
[00:06:44.800 --> 00:06:47.800]  這就是當時我們遇到的問題。
[00:06:47.800 --> 00:06:52.800]  因為猶太人他們一直以來就守著這個記號,
[00:06:52.800 --> 00:06:55.800]  我們作為猶太人,上帝給亞巴拉汗,
[00:06:55.800 --> 00:06:58.800]  我們的祖先定下的一個約定,
[00:06:58.800 --> 00:07:03.800]  我們要守割離才算是屬於神的人。
[00:07:03.800 --> 00:07:07.800]  那麼現在耶穌來了,這些人信了主,
[00:07:07.800 --> 00:07:11.800]  有一些人還是堅持一定要守割離,
[00:07:11.800 --> 00:07:15.800]  就是說你們不守割離不能得救,
[00:07:15.800 --> 00:07:18.800]  這個就是當時遇到的問題。
[00:07:18.800 --> 00:07:20.800]  今天我們當然知道不是這樣,
