
[00:00:00.000 --> 00:00:03.200]  感恩和我們的弟兄姐妹再次的相聚
[00:00:03.200 --> 00:00:06.400]  藉著主的恩典也讓我們不斷的在看
[00:00:06.400 --> 00:00:09.400]  約書亞紀 按照次序今天會
[00:00:09.400 --> 00:00:10.900]  來到了第七章啊
[00:00:10.900 --> 00:00:13.900]  要分享他們在戰役當中
[00:00:13.900 --> 00:00:16.000]  遇到的一次的失敗
[00:00:16.000 --> 00:00:19.320]  那麼失敗呢在我們的人生旅程當中呢
[00:00:19.320 --> 00:00:21.280]  都時有會發生
[00:00:21.280 --> 00:00:24.500]  那麼盼望主藉著以色列民
[00:00:24.500 --> 00:00:28.500]  當年在人生旅程當中失敗的征戰
[00:00:28.920 --> 00:00:32.700]  今天透過這段的經文也向我們說話
[00:00:32.700 --> 00:00:35.000]  讓我們看向神
[00:00:35.000 --> 00:00:37.800]  看向生命的起起跌跌
[00:00:37.800 --> 00:00:40.320]  看向可能有的失敗
[00:00:40.320 --> 00:00:42.900]  也讓我們靠神可以扭轉
[00:00:42.900 --> 00:00:44.760]  生命中的失敗
[00:00:44.760 --> 00:00:48.020]  那麼在進入主題前我要邀請我們的弟兄姐妹
[00:00:48.020 --> 00:00:49.760]  一起來禱告
[00:00:49.760 --> 00:00:51.900]  我們一起低頭閉目
[00:00:51.900 --> 00:00:53.900]  安靜在我們的主的面前
[00:00:53.900 --> 00:00:55.720]  我們要同心禱告
[00:00:55.720 --> 00:00:58.820]  親愛的父神愛我們的主
[00:00:59.140 --> 00:01:02.160]  是你的恩典讓我們可以相聚
[00:01:02.160 --> 00:01:04.720]  讓我們可以在主祢裡面宣告
[00:01:04.720 --> 00:01:06.400]  我們已經得勝了
[00:01:06.400 --> 00:01:09.920]  主啊人生的路是一條成勝的道路
[00:01:09.920 --> 00:01:12.100]  裡面有各樣的起起跌跌
[00:01:12.100 --> 00:01:13.960]  也有各樣的不容易
[00:01:13.960 --> 00:01:16.160]  主啊藉由今天的經文
[00:01:16.160 --> 00:01:17.900]  祢就向我們說話
[00:01:17.900 --> 00:01:21.200]  讓我們看清人生當中
[00:01:21.200 --> 00:01:23.560]  可能會有的各樣的試探
[00:01:23.560 --> 00:01:24.660]  引誘
[00:01:24.660 --> 00:01:28.100]  甚至是陷入到罪惡當中的境況
[00:01:28.100 --> 00:01:29.980]  也讓我們看向主
[00:01:29.980 --> 00:01:31.780]  看向主祢的應許
[00:01:31.780 --> 00:01:33.360]  看向主祢的慈愛
