
[00:00:00.000 --> 00:00:03.000]  人的心
[00:00:03.000 --> 00:00:09.000]  我們在天上的苦
[00:00:09.000 --> 00:00:13.000]  願人都注定
[00:00:13.000 --> 00:00:18.000]  並為誰
[00:00:18.000 --> 00:00:21.000]  詞曲:李宗盛
[00:00:21.000 --> 00:00:24.000]  演唱:李宗盛
[00:00:24.000 --> 00:00:40.000]  愛情的旅程
[00:00:40.000 --> 00:00:43.000]  詞曲:李宗盛
[00:00:44.000 --> 00:00:50.000]  天賦 你明是多麼美
[00:00:50.000 --> 00:00:54.000]  榮耀遍全地
[00:00:54.000 --> 00:01:01.000]  在禱告良辰 靜觀你的美
[00:01:01.000 --> 00:01:08.000]  天賦 你明是多麼美
[00:01:08.000 --> 00:01:13.000]  榮耀遍全地
[00:01:13.000 --> 00:01:20.000]  在禱告良辰 靜觀你的美
[00:01:20.000 --> 00:01:27.000]  天賦 我沉默諸作戰
[00:01:27.000 --> 00:01:34.000]  毋用多片言 在禱告前
[00:01:34.000 --> 00:01:39.000]  求知我信心的眼睛
[00:01:39.000 --> 00:01:43.000]  風暴裡仍舊天證
[00:01:43.000 --> 00:01:48.000]  傳遍我信服的心靈
[00:01:48.000 --> 00:01:56.000]  由你全權來帶領
[00:01:56.000 --> 00:02:02.000]  天賦 你明是多麼美
[00:02:02.000 --> 00:02:06.000]  願你聽我歌
[00:02:06.000 --> 00:02:11.000]  也願你是幸在天上
[00:02:11.000 --> 00:02:14.000]  願好幸在天上
[00:02:14.000 --> 00:02:19.000]  可當天所需要的星光
[00:02:19.000 --> 00:02:24.000]  能令此不可負
[00:02:24.000 --> 00:02:28.000]  天賦的心
[00:02:28.000 --> 00:02:35.000]  願和我們變為人明智
[00:02:35.000 --> 00:02:56.000]  天賦 你明是多麼美
[00:02:56.000 --> 00:03:00.000]  榮耀遍全地
[00:03:00.000 --> 00:03:06.000]  在禱告良辰 靜觀你的美
[00:03:06.000 --> 00:03:13.000]  天賦 我沉默諸作戰
[00:03:13.000 --> 00:03:19.000]  毋用多片言 在禱告前
[00:03:19.000 --> 00:03:25.000]  你已清楚我需要
[00:03:25.000 --> 00:03:29.000]  求知我信心的眼睛
[00:03:29.000 --> 00:03:33.000]  風暴裡仍舊天證
[00:03:33.000 --> 00:03:37.000]  傳遍我信服的心靈
[00:03:37.000 --> 00:03:45.000]  由你全權來帶領
[00:03:45.000 --> 00:03:50.000]  願你抱住 願你被圍星
[00:03:50.000 --> 00:03:54.000]  願你的國國能
[00:03:54.000 --> 00:03:58.000]  也願你恃意行在地上
[00:03:58.000 --> 00:04:02.000]  願好幸在天上
[00:04:02.000 --> 00:04:07.000]  我們當天所需要的聖物
[00:04:07.000 --> 00:04:11.000]  求你賜給我們
[00:04:11.000 --> 00:04:15.000]  免我們的債
[00:04:15.000 --> 00:04:21.000]  如同我們免去人的債
[00:04:23.000 --> 00:04:29.000]  今日 我求民主的國
[00:04:29.000 --> 00:04:33.000]  求民主的義
[00:04:33.000 --> 00:04:35.000]  皇的旨意
[00:04:35.000 --> 00:04:40.000]  如若光天地將顯
[00:04:40.000 --> 00:04:45.000]  願你抱住 願你被圍星
[00:04:45.000 --> 00:04:49.000]  願你的國國能
[00:04:49.000 --> 00:04:53.000]  也願你恃意行在地上
[00:04:53.000 --> 00:04:56.000]  願好幸在天上
[00:04:56.000 --> 00:05:01.000]  我們當天所需要的聖物
[00:05:01.000 --> 00:05:05.000]  求你賜給我們
[00:05:05.000 --> 00:05:09.000]  免我們的債
[00:05:09.000 --> 00:05:12.000]  如同我們免去人的債
[00:05:12.000 --> 00:05:14.000]  神是靈
[00:05:14.000 --> 00:05:16.000]  所以敬拜他的
[00:05:16.000 --> 00:05:20.000]  必須用心靈和誠實敬拜他
[00:05:20.000 --> 00:05:22.000]  包容各樣的智慧
[00:05:22.000 --> 00:05:24.000]  把基督的道理
[00:05:24.000 --> 00:05:27.000]  豐豐富富的存在心裡
[00:05:27.000 --> 00:05:30.000]  用詩章 頌詞 靈歌
[00:05:30.000 --> 00:05:33.000]  彼此教導 互相勸誡
[00:05:33.000 --> 00:05:37.000]  心被恩感 歌頌神
[00:05:37.000 --> 00:05:43.000]  我是泥
[00:05:43.000 --> 00:05:46.000]  我是土
[00:05:46.000 --> 00:05:48.000]  神是圖像
[00:05:48.000 --> 00:05:53.000]  透過敬拜和學習神的話語
[00:05:53.000 --> 00:05:55.000]  神會塗造我們
[00:05:55.000 --> 00:05:57.000]  成為他的器皿
[00:05:57.000 --> 00:05:58.000]  所以有幾件事
[00:05:58.000 --> 00:06:00.000]  我想要提醒大家
[00:06:00.000 --> 00:06:03.000]  大堂內是不可以吃東西的
[00:06:03.000 --> 00:06:05.000]  記得預先吃東西
[00:06:05.000 --> 00:06:08.000]  經常進進出出
[00:06:08.000 --> 00:06:10.000]  會影響其他人
