
[00:00:00.000 --> 00:00:03.240]  我們繼續我們的系列是講智慧的
[00:00:03.240 --> 00:00:05.600]  誰覺得他們現在有更多智慧呢?
[00:00:05.600 --> 00:00:09.080]  我們開始了這個系列
[00:00:09.080 --> 00:00:13.200]  還很謙虛
[00:00:13.200 --> 00:00:16.320]  沒有增加智慧
[00:00:16.320 --> 00:00:20.760]  我們繼續學習多一點神話
[00:00:20.760 --> 00:00:23.760]  多一點神話就可以了
[00:00:23.760 --> 00:00:25.760]  第一個問題是
[00:00:25.760 --> 00:00:28.800]  我們怎樣才可以有長命?
[00:00:28.800 --> 00:00:31.840]  舉手誰想要長命?
[00:00:31.840 --> 00:00:34.440]  Nathan不想長命
[00:00:34.440 --> 00:00:37.440]  你想長到多少歲?
[00:00:37.440 --> 00:00:40.440]  60歲
[00:00:40.440 --> 00:00:42.440]  OK 60歲
[00:00:42.440 --> 00:00:48.440]  你多了一半
[00:00:48.440 --> 00:00:50.040]  誰想很長命?
[00:00:50.040 --> 00:00:52.040]  舉手70歲
[00:00:52.040 --> 00:00:54.440]  80歲呢?
[00:00:54.440 --> 00:00:56.440]  誰想長到80歲?
[00:00:56.440 --> 00:00:58.440]  70歲有80歲
[00:00:58.440 --> 00:01:00.440]  90歲呢?
[00:01:00.440 --> 00:01:01.440]  90歲
[00:01:01.440 --> 00:01:03.440]  誰想長到90歲?
[00:01:03.440 --> 00:01:05.440]  Uncle Paul
[00:01:05.440 --> 00:01:06.440]  100歲
[00:01:06.440 --> 00:01:07.440]  Uncle Stanley
[00:01:07.440 --> 00:01:09.440]  Lucas
[00:01:09.440 --> 00:01:12.440]  110歲呢?
[00:01:12.440 --> 00:01:13.440]  110歲
[00:01:13.440 --> 00:01:15.440]  120歲
[00:01:15.440 --> 00:01:17.440]  Uncle Paul 又舉手
[00:01:17.440 --> 00:01:22.440]  你的小朋友想怎樣?
[00:01:22.440 --> 00:01:26.440]  Gabriel 你想長到多少歲?
[00:01:26.440 --> 00:01:27.440]  90歲?
[00:01:27.440 --> 00:01:30.440]  OK 長到你想要的年紀
[00:01:30.440 --> 00:01:32.440]  OK
[00:01:32.440 --> 00:01:34.440]  長命的關鍵是什麼?
[00:01:34.440 --> 00:01:37.440]  怎樣才可以有長命呢?
[00:01:37.440 --> 00:01:38.440]  說出來
[00:01:38.440 --> 00:01:41.440]  是不是每天打遊戲機就可以有長命?
[00:01:41.440 --> 00:01:42.440]  是不是?
[00:01:42.440 --> 00:01:43.440]  做什麼?
[00:01:43.440 --> 00:01:46.440]  OK 榮耀父母
[00:01:46.440 --> 00:01:48.440]  這很聖經的
[00:01:48.440 --> 00:01:50.440]  榮耀父母,你就會有長命
