
[00:00:00.000 --> 00:00:01.800]  各位弟兄姐妹大家好
[00:00:01.800 --> 00:00:05.240]  很感恩啊 在逐日的時候又和
[00:00:05.240 --> 00:00:07.900]  大家一起相聚在一起啊
[00:00:07.900 --> 00:00:10.300]  我們進入到了
[00:00:10.300 --> 00:00:13.120]  聖靈果子的講道系列
[00:00:13.120 --> 00:00:16.580]  那麼聖靈的果子呢 有九種特質
[00:00:16.580 --> 00:00:19.140]  今天呢 將會是第一講
[00:00:19.140 --> 00:00:22.100]  講的主題呢 是 人愛
[00:00:22.100 --> 00:00:25.580]  講到人愛或者是愛呢
[00:00:25.580 --> 00:00:28.820]  來到教會一段時間的弟兄姐妹
[00:00:28.820 --> 00:00:32.300]  一定不會陌生 因為在神裡面
[00:00:32.300 --> 00:00:34.040]  我們尋求了
[00:00:34.040 --> 00:00:37.640]  我們慢慢的清晰了 明白
[00:00:37.640 --> 00:00:40.940]  什麼叫做愛 或者說是人愛
[00:00:40.940 --> 00:00:44.140]  在哥林多前書13章啊
[00:00:44.140 --> 00:00:47.600]  就有大家很熟悉 很喜歡的經文
[00:00:47.600 --> 00:00:50.600]  這段經文呢 叫做 愛的真諦
[00:00:50.600 --> 00:00:52.900]  或者叫做 愛篇啊
[00:00:52.900 --> 00:00:56.180]  在這裡邊呢 就已經
[00:00:56.180 --> 00:00:57.520]  很細緻
[00:00:58.000 --> 00:01:01.360]  很有條理的 規劃了 那究竟
[00:01:01.360 --> 00:01:03.520]  怎麼樣 是愛呢
[00:01:03.520 --> 00:01:07.280]  我要請各位弟兄姐妹們 一起來看一下
[00:01:07.280 --> 00:01:10.460]  這樣的一個格式的排版呢
[00:01:10.460 --> 00:01:12.640]  是我很喜歡的
[00:01:12.640 --> 00:01:15.980]  因為透過這樣一種的羅列呢
[00:01:15.980 --> 00:01:17.700]  我們就會發現
[00:01:17.700 --> 00:01:21.760]  愛理解的應該是怎麼樣的一個範疇
[00:01:21.760 --> 00:01:25.700]  而不是一些 哪樣的一些的理解
[00:01:26.080 --> 00:01:29.080]  在任何的一些景況當中 我們又
[00:01:29.080 --> 00:01:32.080]  應當如何做 就在愛篇當中
[00:01:32.080 --> 00:01:33.520]  給我們有一個
[00:01:33.520 --> 00:01:36.940]  很深刻的體現了 邀請弟兄姐妹們
[00:01:36.940 --> 00:01:39.540]  一起來讀一次愛篇 好嗎
[00:01:39.540 --> 00:01:42.600]  預備 開始 愛是
[00:01:42.600 --> 00:01:45.820]  恆久忍耐 又有恩慈
[00:01:45.820 --> 00:01:48.820]  愛是不嫉妒
[00:01:48.820 --> 00:01:52.180]  愛是不自誇 不沾款
[00:01:52.180 --> 00:01:55.280]  不做害羞的事 不求
[00:01:55.280 --> 00:01:58.300]  自己的益處 不輕易
[00:01:58.300 --> 00:02:01.300]  發怒 不計算人的惡
[00:02:01.300 --> 00:02:04.560]  不喜歡不義 只喜歡
[00:02:04.560 --> 00:02:07.540]  真理 凡是包容
[00:02:07.540 --> 00:02:10.860]  凡是相信 凡是盼望
[00:02:10.860 --> 00:02:13.920]  凡是忍耐 愛是
[00:02:13.920 --> 00:02:16.920]  永不止息 對 這一篇呢
[00:02:16.920 --> 00:02:18.860]  是大家都很熟悉的經文
[00:02:18.860 --> 00:02:22.460]  那我們在聖靈果子系列呢
[00:02:22.460 --> 00:02:25.240]  也會講到這樣一個 愛
[00:02:25.240 --> 00:02:28.260]  或者在果子裡面呢 它講到的是
[00:02:28.260 --> 00:02:31.300]  仁愛呀 我們到這個內容之前
[00:02:31.300 --> 00:02:33.380]  我們一起先禱告
[00:02:33.380 --> 00:02:36.760]  親愛的天父上帝
[00:02:36.760 --> 00:02:39.480]  你就是愛
[00:02:39.480 --> 00:02:42.200]  感謝你先愛了我們
[00:02:42.200 --> 00:02:45.900]  也讓我們 因著你的一個樣式
[00:02:45.900 --> 00:02:49.340]  可以去學會愛 並且經歷
[00:02:49.340 --> 00:02:50.840]  這份殊天的大愛
[00:02:50.840 --> 00:02:54.080]  主啊 帶領我們在今天的主日崇拜
[00:02:54.080 --> 00:02:57.080]  當中 一起去思想
[00:02:57.080 --> 00:02:58.740]  聖靈果子當中的仁愛
[00:02:58.740 --> 00:03:02.440]  幫助我們更加的活向你
[00:03:02.440 --> 00:03:05.540]  感謝我們的父神 同心禱告
[00:03:05.540 --> 00:03:08.080]  奉主明求 Amen
[00:03:08.080 --> 00:03:11.360]  好 那麼在這個愛的真諦裡面呢
[00:03:11.360 --> 00:03:12.700]  我們就看到了啊
[00:03:12.700 --> 00:03:16.300]  有的是提醒 愛應該是怎麼樣的
[00:03:16.300 --> 00:03:19.300]  有的是不應該怎麼樣的
[00:03:19.300 --> 00:03:22.660]  從這樣一種的分類呢 我們可以看到
[00:03:22.660 --> 00:03:24.900]  有的是人沒有想到的
[00:03:24.900 --> 00:03:27.720]  所以要提醒 應該怎麼樣
[00:03:27.720 --> 00:03:30.780]  有的呢 是人做錯了的
[00:03:30.780 --> 00:03:33.360]  我誤以為 那個是愛
[00:03:33.360 --> 00:03:35.680]  但是那個叫自私
[00:03:35.680 --> 00:03:39.400]  那個叫批判別人 那個不是愛
[00:03:39.400 --> 00:03:42.480]  所以呢 在神的提醒呢
[00:03:42.480 --> 00:03:45.800]  都是每一次將我們人的視角
[00:03:45.800 --> 00:03:49.020]  拉到神的旨意當中
[00:03:49.020 --> 00:03:50.760]  讓我們看神的標準
[00:03:51.380 --> 00:03:54.380]  當我們看到神的標準的時候呢
[00:03:54.380 --> 00:03:57.260]  我們就會更清楚的明白 為什麼
[00:03:57.260 --> 00:04:00.280]  神會透過保羅
[00:04:00.280 --> 00:04:03.500]  在這樣一個書信經課裡面呢
[00:04:03.500 --> 00:04:06.400]  特別要寫到 聖靈的果子啊
[00:04:06.400 --> 00:04:09.780]  因為有聖靈的引導
[00:04:09.780 --> 00:04:11.460]  這個是神的旨意
[00:04:11.460 --> 00:04:14.760]  也有人屬肉體的惡行
[00:04:14.760 --> 00:04:17.760]  可以說屬肉體啊
[00:04:17.760 --> 00:04:20.780]  也可以說 屬情慾的惡行
[00:04:20.780 --> 00:04:23.800]  在羅馬書第五章
[00:04:23.800 --> 00:04:25.260]  這裡就可以看到啦
[00:04:25.260 --> 00:04:28.860]  隨從肉體的人 體貼肉體的事
[00:04:28.860 --> 00:04:31.900]  隨從聖靈的人 體貼聖靈的事
[00:04:31.900 --> 00:04:34.900]  體貼肉體的 他們的結局是怎麼樣呢
[00:04:34.900 --> 00:04:37.480]  就是死
[00:04:37.480 --> 00:04:40.860]  體貼聖靈的呢 乃是
[00:04:40.860 --> 00:04:42.240]  生命和平安
[00:04:42.240 --> 00:04:44.920]  這兩者之間的拉扯呢
[00:04:44.920 --> 00:04:48.620]  變得在今天的加拉太書裡面
[00:04:48.620 --> 00:04:51.980]  特別要寫到 聖靈的果子啊
[00:04:51.980 --> 00:04:55.000]  為什麼有這樣一種特別的教導呢
[00:04:55.000 --> 00:04:58.240]  我們看加拉太書 第一方面
[00:04:58.240 --> 00:05:01.660]  為到所有跟從神的人
[00:05:01.660 --> 00:05:04.960]  可以活出真正的自由來
[00:05:04.960 --> 00:05:08.460]  就如同五章十三節加拉太書啊
[00:05:08.460 --> 00:05:09.900]  就這樣說到
[00:05:09.900 --> 00:05:13.320]  你們蒙照是要得自由
[00:05:13.320 --> 00:05:16.660]  只是不可將你們的自由
[00:05:16.660 --> 00:05:19.600]  作犯縱情欲的機會
[00:05:19.600 --> 00:05:22.840]  有的人誤解了自由了
[00:05:22.840 --> 00:05:26.060]  以為自己怎麼理解為好的 就去做了
[00:05:26.060 --> 00:05:29.840]  就陷入了那罪的網羅當中
[00:05:29.840 --> 00:05:32.780]  就是死 就是滅亡
[00:05:32.780 --> 00:05:34.500]  然後呢 我們可以看啊
[00:05:34.500 --> 00:05:37.940]  聖靈和情欲呢 他們之間的關係
