
[00:00:00.000 --> 00:00:03.220]  各位弟兄姐妹們 主內平安
[00:00:03.220 --> 00:00:06.520]  感恩神又帶領我們相聚
[00:00:06.520 --> 00:00:09.520]  那麼我們繼續約書亞紀的講道系列
[00:00:09.520 --> 00:00:12.560]  這次來到了第16章
[00:00:12.560 --> 00:00:15.520]  主要講的就是
[00:00:15.520 --> 00:00:18.540]  約瑟子孫所得之地
[00:00:18.540 --> 00:00:20.640]  那麼剛才謝謝主席Cassie
[00:00:20.640 --> 00:00:24.040]  帶領我們已經讀過了這段的經文
[00:00:24.040 --> 00:00:27.040]  都是在描述這個地界
[00:00:27.040 --> 00:00:30.040]  怎麼來劃分的 簡單的敘述了一下
[00:00:30.040 --> 00:00:33.040]  他們有得地
[00:00:33.040 --> 00:00:36.040]  沒有做一些什麼事情
[00:00:36.040 --> 00:00:39.040]  如果我們看到地界的劃分
[00:00:39.040 --> 00:00:42.040]  這裡有一份地圖 按照經文
[00:00:42.040 --> 00:00:45.040]  它重點羅列了幾個地方
[00:00:45.040 --> 00:00:48.040]  首先是從耶利哥的約旦河
[00:00:48.040 --> 00:00:51.040]  這邊起 在下面這個地方
[00:00:51.040 --> 00:00:54.040]  然後直到這裡到伯特利
[00:00:54.040 --> 00:00:57.040]  伯特利在這裡了
[00:00:57.040 --> 00:01:00.040]  然後之後又到路斯 這個地方
[00:01:00.040 --> 00:01:03.040]  然後下來亞他路
[00:01:03.040 --> 00:01:06.040]  然後下渤河崙
[00:01:06.040 --> 00:01:09.040]  直到基瑟和海這邊的地方
[00:01:09.040 --> 00:01:12.040]  所以如果我們先看經文的
[00:01:12.040 --> 00:01:15.040]  16章1到3節
[00:01:15.040 --> 00:01:18.040]  就從南邊劃了一條的地界
[00:01:18.040 --> 00:01:21.040]  劃了一條的地界
[00:01:21.040 --> 00:01:24.040]  就告訴了所有的以色列民
[00:01:24.040 --> 00:01:27.040]  約瑟的子孫
[00:01:27.040 --> 00:01:30.040]  他們得的地在什麼的地方
[00:01:30.040 --> 00:01:33.040]  如果按照一個總括的地圖來看
[00:01:33.040 --> 00:01:36.040]  約瑟的子孫
[00:01:36.040 --> 00:01:39.040]  都在迦南地的中部的位置
[00:01:39.040 --> 00:01:42.040]  都是非常好的一個土地
[00:01:42.040 --> 00:01:45.040]  他們只抽了1000
[00:01:45.040 --> 00:01:48.040]  就把他兩個兒子
[00:01:48.040 --> 00:01:51.040]  也之後的兩個支派
[00:01:51.040 --> 00:01:54.040]  分得的土地劃歸在了這個地方
[00:01:54.040 --> 00:01:57.040]  那麼如果我們看到這樣一個方位
[00:01:57.040 --> 00:02:02.040]  如果是面朝日出之地東邊
[00:02:02.040 --> 00:02:06.040]  大家想像一下 如果是面朝日出之地的東邊
[00:02:06.040 --> 00:02:09.040]  馬拿西支派
[00:02:09.040 --> 00:02:12.040]  是在哪隻手的方向
[00:02:12.040 --> 00:02:15.040]  左手邊
[00:02:15.040 --> 00:02:18.040]  然後以法連的支派
[00:02:18.040 --> 00:02:21.040]  是在右手邊的
[00:02:21.040 --> 00:02:24.040]  他不單是現在劃分土地
[00:02:24.040 --> 00:02:27.040]  這樣一個劃分 這樣的簡單
[00:02:27.040 --> 00:02:30.040]  他也關係到很久以前
[00:02:30.040 --> 00:02:33.040]  記載在創世紀的時候
[00:02:33.040 --> 00:02:36.040]  關於到他們的祝福有關係
[00:02:36.040 --> 00:02:39.040]  今天也會和大家詳細分享其中的原委
[00:02:39.040 --> 00:02:42.040]  大家就會對這次的分地
[00:02:42.040 --> 00:02:45.040]  更加的清晰 而且明白其中的寓意
[00:02:45.040 --> 00:02:48.040]  就像剛才和大家提到的
[00:02:48.040 --> 00:02:51.040]  這同樣是兩個支派
[00:02:51.040 --> 00:02:54.040]  馬拿西和以法連
[00:02:54.040 --> 00:02:57.040]  他同樣也是約瑟的兩個兒子
[00:02:57.040 --> 00:03:00.040]  約瑟的兩個兒子
[00:03:00.040 --> 00:03:03.040]  稍展的那個是馬拿西
[00:03:03.040 --> 00:03:06.040]  展子是馬拿西
[00:03:06.040 --> 00:03:09.040]  次子是以法連
[00:03:09.040 --> 00:03:12.040]  以法連
[00:03:12.040 --> 00:03:15.040]  那麼今天會一起享用成就上帝恩典的主題
[00:03:15.040 --> 00:03:18.040]  來分享約瑟
[00:03:18.040 --> 00:03:21.040]  他的子孫成就地業
[00:03:21.040 --> 00:03:24.040]  這樣一個記載
[00:03:24.040 --> 00:03:27.040]  那麼同樣這樣一個說話
[00:03:27.040 --> 00:03:30.040]  也是對所有屬神的兒女
[00:03:30.040 --> 00:03:33.040]  神有各樣的恩典會次在我們的生命裡邊
[00:03:33.040 --> 00:03:36.040]  我們如何成就得到
[00:03:36.040 --> 00:03:39.040]  上帝給我們的恩典呢
[00:03:39.040 --> 00:03:42.040]  那麼我在講道當中也會分為三個方向
[00:03:42.040 --> 00:03:45.040]  的提醒來和大家一起來分享
[00:03:45.040 --> 00:03:48.040]  我們一起先有一個禱告
[00:03:48.040 --> 00:03:51.040]  主啊
[00:03:51.040 --> 00:03:54.040]  我們要來到你的面前
[00:03:54.040 --> 00:03:57.040]  我們獻上自己無盡的感謝和感恩
[00:03:57.040 --> 00:04:00.040]  因為所有所有的恩典都是來自於
[00:04:00.040 --> 00:04:03.040]  天父上帝
[00:04:03.040 --> 00:04:06.040]  也盼望我們成為主你所合用的器皿
[00:04:06.040 --> 00:04:09.040]  成就到你所賜的恩典
[00:04:09.040 --> 00:04:12.040]  這其中有很多
[00:04:12.040 --> 00:04:15.040]  生命的功課
[00:04:15.040 --> 00:04:18.040]  求神你也打開我們眾弟兄姐妹的心
[00:04:18.040 --> 00:04:21.040]  將你的話語和提醒澆灌在
[00:04:21.040 --> 00:04:24.040]  我們的心田當中
[00:04:24.040 --> 00:04:27.040]  讓我們不單可以經歷主的恩典
[00:04:27.040 --> 00:04:30.040]  更加可以成就主的恩典
[00:04:30.040 --> 00:04:33.040]  感謝我們的父神
[00:04:33.040 --> 00:04:36.040]  我們要將以下聆聽主你真道的時間
[00:04:36.040 --> 00:04:39.040]  恭敬交託在主你的手中
[00:04:39.040 --> 00:04:42.040]  願我口中的言語
[00:04:42.040 --> 00:04:45.040]  眾弟兄姊妹的心懷意念
[00:04:45.040 --> 00:04:48.040]  都得蒙天父上帝你的悅納
[00:04:48.040 --> 00:04:51.040]  同心禱告奉主明求
[00:04:51.040 --> 00:04:54.040]  好 想要成就恩典啊
[00:04:54.040 --> 00:04:57.040]  就好像當時約瑟的子孫可以成就恩典一樣
[00:04:57.040 --> 00:05:00.040]  第一個要素 大家要留意就是
[00:05:00.040 --> 00:05:03.040]  傳遞屬天的祝福
[00:05:03.040 --> 00:05:06.040]  這個恩典不是
[00:05:06.040 --> 00:05:09.040]  以法聯合馬拿西平白無故就有的
[00:05:09.040 --> 00:05:12.040]  它是以色列民
[00:05:12.040 --> 00:05:15.040]  從很早以前被神所選取
[00:05:15.040 --> 00:05:18.040]  一代一代傳著下來
[00:05:18.040 --> 00:05:21.040]  一直到了這兩個兒子
[00:05:21.040 --> 00:05:24.040]  這兩個支派的子孫
[00:05:24.040 --> 00:05:27.040]  是以色列人才可以擁有的
[00:05:27.040 --> 00:05:30.040]  我們看川師記第48章就可以看到
[00:05:30.040 --> 00:05:33.040]  當時以色列
[00:05:33.040 --> 00:05:36.040]  就是我們熟悉的雅各
[00:05:36.040 --> 00:05:39.040]  他那個時候改了名字叫以色列
[00:05:39.040 --> 00:05:42.040]  他那個時候病了
[00:05:42.040 --> 00:05:45.040]  有人就告訴約瑟了
[00:05:45.040 --> 00:05:48.040]  約瑟就把他的兩個兒子
[00:05:48.040 --> 00:05:51.040]  兩個兒子是誰啊
[00:05:51.040 --> 00:05:54.040]  約瑟帶到去以色列的面前
[00:05:54.040 --> 00:05:57.040]  那麼之後就會
[00:05:57.040 --> 00:06:00.040]  讓以色列去賜福
[00:06:00.040 --> 00:06:03.040]  給這兩個孩子
[00:06:03.040 --> 00:06:06.040]  那麼當時
[00:06:06.040 --> 00:06:09.040]  以色列就說了
[00:06:09.040 --> 00:06:12.040]  當時全能的上帝
[00:06:12.040 --> 00:06:15.040]  曾經就在迦南的那個地方就賜福於我了
[00:06:15.040 --> 00:06:18.040]  我必使你生養眾多
[00:06:18.040 --> 00:06:21.040]  然後又把這地賜給你的後裔
[00:06:21.040 --> 00:06:24.040]  永遠為業
[00:06:24.040 --> 00:06:27.040]  那個時候已經給了雅各了
[00:06:27.040 --> 00:06:30.040]  已經給了以色列了
[00:06:30.040 --> 00:06:33.040]  然後傳遞到了約瑟帶領的孩子
[00:06:33.040 --> 00:06:36.040]  馬拿西和伊法連
[00:06:36.040 --> 00:06:39.040]  為他們祝福
[00:06:39.040 --> 00:06:42.040]  才引致了今天
[00:06:42.040 --> 00:06:45.040]  在經文當中所讀的這段的記載
[00:06:45.040 --> 00:06:48.040]  終於去到了迦南地業
[00:06:48.040 --> 00:06:51.040]  把這兩塊的土地只抽了一千
[00:06:51.040 --> 00:06:54.040]  但是分給了他的兩個孩子
[00:06:54.040 --> 00:06:57.040]  兩個孩子呢
