
[00:00:00.000 --> 00:00:02.000]  (字幕組:請勿模仿)
[00:00:03.000 --> 00:00:05.000]  各位弟兄姊妹
[00:00:05.000 --> 00:00:09.000]  我們現在還是在瓦可福音的講道系列
[00:00:09.000 --> 00:00:14.000]  我們已經前面講了三講了
[00:00:14.000 --> 00:00:18.000]  第一講,如果你記得的話,就是我們講了耶穌是誰
[00:00:18.000 --> 00:00:22.000]  第二講,我們講耶穌給世人的使命
[00:00:22.000 --> 00:00:26.000]  第三講,我們說耶穌在加百農的侍奉
[00:00:26.000 --> 00:00:33.000]  今天我們要來看的是耶穌一致被社會遺棄的人
[00:00:33.000 --> 00:00:39.000]  想問大家一個問題,讓大家一起來思考一下
[00:00:39.000 --> 00:00:44.000]  你認為哪一些人是被社會遺棄的人呢?
[00:00:44.000 --> 00:00:49.000]  遺棄這兩個字你是怎樣理解呢?
[00:00:49.000 --> 00:00:53.000]  就是社會已經不管了
[00:00:53.000 --> 00:01:00.000]  如果我們用比較窄的定義呢
[00:01:00.000 --> 00:01:05.000]  我們用比較窄的定義呢,基本上就是社會已經不理他了
[00:01:05.000 --> 00:01:08.000]  如果我們用比較寬的定義呢
[00:01:08.000 --> 00:01:13.000]  有些社會,比如香港,是做得比較好的
[00:01:13.000 --> 00:01:18.000]  他會有各種不同的福利的政策
[00:01:18.000 --> 00:01:24.000]  不同的部門來處理一些弱勢群體
[00:01:24.000 --> 00:01:30.000]  好像某種程度肯定會有幫忙
[00:01:30.000 --> 00:01:35.000]  但是在整個社會來說,有時候就形成了一種
[00:01:35.000 --> 00:01:39.000]  我們交給政府去處理
[00:01:39.000 --> 00:01:46.000]  然後整個社會其實也沒有太在意這些人的需要
[00:01:46.000 --> 00:01:50.000]  所以這個遺棄這個觀念呢
[00:01:50.000 --> 00:01:54.000]  我想跟大家說,他有很狹窄的定義
[00:01:54.000 --> 00:01:58.000]  就是真的是完全不理不管
[00:01:58.000 --> 00:02:02.000]  但是有比較廣的定義呢,我覺得是比較普遍的
[00:02:02.000 --> 00:02:08.000]  就是我們不怎麼管,我們認為有個制度在那邊了
[00:02:08.000 --> 00:02:12.000]  那麼我們就不怎麼理會
[00:02:12.000 --> 00:02:16.000]  那麼我們再看一下,今天呢
[00:02:16.000 --> 00:02:19.000]  這裡我們會看到一些的例子
[00:02:19.000 --> 00:02:23.000]  比如說在我們香港,我們只是幾個例子
