
[00:00:00.000 --> 00:00:01.020]  早晨 各位
[00:00:01.020 --> 00:00:04.040]  今天是講Let Me See Jesus
[00:00:04.040 --> 00:00:07.040]  就是Camp的主題的最後一講
[00:00:07.040 --> 00:00:13.440]  我在想 其實Jesus一直都在這裡
[00:00:13.440 --> 00:00:17.200]  但是我們看不到祂
[00:00:17.200 --> 00:00:20.720]  可能是我們看得祂太小
[00:00:20.720 --> 00:00:24.160]  是不是我們的Jesus太小了
[00:00:24.160 --> 00:00:27.840]  這幅相片 這位女士
[00:00:27.840 --> 00:00:31.040]  她叫做Julianne Lynn
[00:00:31.040 --> 00:00:36.000]  她是一個在英國很有名的芭蕾舞家
[00:00:36.000 --> 00:00:42.160]  其實她小時候在學校不是讀得很好
[00:00:42.160 --> 00:00:45.920]  為什麼呢 因為老師說她很容易分心
[00:00:45.920 --> 00:00:48.160]  還有她經常動來動去
[00:00:48.160 --> 00:00:50.240]  不知道為什麼 可能上課的時候
[00:00:50.240 --> 00:00:53.760]  她就會自己起來走動 搞一下同學
[00:00:53.760 --> 00:00:56.080]  所以一直成績都不是太好
[00:00:56.080 --> 00:01:00.480]  很快 她的老師就給了她一個名字
[00:01:00.480 --> 00:01:02.880]  形容她說slow
[00:01:02.880 --> 00:01:06.400]  就是一個very slow student
[00:01:06.400 --> 00:01:11.360]  但是Julianne的媽媽不願意接受這個名字
[00:01:11.360 --> 00:01:15.040]  所以她帶著女兒去看醫生
[00:01:15.040 --> 00:01:17.600]  真的去了看醫生
[00:01:17.600 --> 00:01:22.160]  在看醫生的途中 在醫生的診所那裡
[00:01:22.160 --> 00:01:24.960]  醫生就開始幫她做一些測試
[00:01:24.960 --> 00:01:28.000]  Julianne一樣在動來動去
[00:01:28.000 --> 00:01:29.440]  很容易分心
[00:01:29.440 --> 00:01:31.920]  但是做了一個測試
[00:01:31.920 --> 00:01:33.680]  醫生就停止了
[00:01:33.680 --> 00:01:35.600]  他說我們先不做了
[00:01:35.600 --> 00:01:39.200]  Julianne我和你媽媽出去房間
[00:01:39.200 --> 00:01:40.960]  你自己在這裡坐一會
[00:01:40.960 --> 00:01:44.640]  出去之前 醫生就按著收音機
[00:01:44.640 --> 00:01:45.920]  開著音樂
[00:01:45.920 --> 00:01:48.800]  醫生就和媽媽出了房間
[00:01:48.800 --> 00:01:52.320]  出去之前 她就在房間裡
