
[00:00:00.000 --> 00:00:03.000]  各位聽眾姐妹早安 主來平安
[00:00:03.000 --> 00:00:07.000]  我們今天會看《馬可福音》的尾聲部分
[00:00:07.000 --> 00:00:13.000]  就是講到耶穌基督被埋葬和復活
[00:00:13.000 --> 00:00:19.000]  耶穌在傳道過程裏面有三次跟祂的門徒預言
[00:00:19.000 --> 00:00:24.000]  自己會受死和復活
[00:00:24.000 --> 00:00:29.000]  分別記載在《馬可福音》第八、第九、第十章
[00:00:29.000 --> 00:00:35.000]  耶穌跟門徒講的時候其實都是很具體和逼真的
[00:00:35.000 --> 00:00:45.000]  譬如第十章當耶穌第三次跟門徒講自己末後的情況
[00:00:45.000 --> 00:00:47.000]  耶穌是這樣說的
[00:00:47.000 --> 00:00:52.000]  「人子將要被交給祭司、長和民事
[00:00:52.000 --> 00:00:55.000]  他們要定他死罪交給外邦人
[00:00:55.000 --> 00:01:00.000]  他們要戲弄他吐唾沫在他的臉上鞭打他殺害他
[00:01:00.000 --> 00:01:03.000]  過了三天他要復活」
[00:01:03.000 --> 00:01:07.000]  重要的事講三次
[00:01:07.000 --> 00:01:14.000]  但是聽了三次其實門徒都未能夠去明白理解掌握
[00:01:14.000 --> 00:01:17.000]  耶穌跟我們一起
[00:01:17.000 --> 00:01:22.000]  祂的受死、祂要復活究竟是怎樣的一回事呢?
[00:01:22.000 --> 00:01:25.000]  會不會都引起我們的共鳴?
[00:01:25.000 --> 00:01:33.000]  我們聽了幾次原來都未必真的明白
[00:01:33.000 --> 00:01:39.000]  上星期李文耀博士跟我們講耶穌受死的時候
[00:01:39.000 --> 00:01:46.000]  他就講到羅馬的白夫長去見到耶穌斷氣的過程
[00:01:46.000 --> 00:01:48.000]  白夫長就這樣說
[00:01:48.000 --> 00:01:51.000]  「這人真是神的兒子」
[00:01:51.000 --> 00:01:54.000]  學者有不同的解釋
[00:01:54.000 --> 00:01:57.000]  為何白夫長能夠講這句話
[00:01:57.000 --> 00:02:01.000]  李文耀博士的看法就是
[00:02:01.000 --> 00:02:04.000]  白夫長得到神的啟示
[00:02:04.000 --> 00:02:08.000]  用現代的說話可能是一個叫作覺醒
[00:02:08.000 --> 00:02:12.000]  即是能夠去體會一些
[00:02:12.000 --> 00:02:17.000]  平時從人的角度、人的思考不能夠理解的事
[00:02:17.000 --> 00:02:23.000]  我們作為信徒其實都可以有很多的覺醒
[00:02:23.000 --> 00:02:26.000]  今天下午就是水禮和入會禮
[00:02:26.000 --> 00:02:33.000]  當我們去看受浸或者是弟兄姊妹信主之後
[00:02:33.000 --> 00:02:36.000]  其實他們都經歷到這個覺醒
[00:02:36.000 --> 00:02:43.000]  體會自己其實原來每天都經歷了很多神的保守
[00:02:43.000 --> 00:02:46.000]  上帝的恩典不斷地看顧
[00:02:46.000 --> 00:02:48.000]  他靠我做些甚麼
[00:02:48.000 --> 00:02:53.000]  我看自己只是時時都在一些限制
[00:02:53.000 --> 00:02:56.000]  在一些做不到的環境下
[00:02:56.000 --> 00:03:01.000]  這個覺醒真的不出於人自己的思考
[00:03:01.000 --> 00:03:03.000]  是神的啟示
[00:03:03.000 --> 00:03:09.000]  當在前面馬賀福音的時候
[00:03:09.000 --> 00:03:15.000]  作者是去講到門徒不明白耶穌的受死復活
[00:03:15.000 --> 00:03:17.000]  伯夫長這個覺醒
[00:03:17.000 --> 00:03:19.000]  這個看到神的啟示
[00:03:19.000 --> 00:03:24.000]  似乎會不會是作者要掀起耶穌受死
[00:03:24.000 --> 00:03:27.000]  去到復活的時候會去到一個高潮
[00:03:27.000 --> 00:03:33.000]  當時在死之前人都不明白
[00:03:33.000 --> 00:03:35.000]  會去到復活的時候
[00:03:35.000 --> 00:03:39.000]  所有人都能夠去體會耶穌復活的大能
[00:03:39.000 --> 00:03:43.000]  其實馬賀福音是否想有一個這樣的鋪排呢?
[00:03:43.000 --> 00:03:46.000]  當我們看完伯夫長之後
[00:03:46.000 --> 00:03:53.000]  聖經就會記載有一個叫阿里瑪泰藥室去安葬耶穌
[00:03:53.000 --> 00:03:59.000]  是一個公會有名望的人
[00:03:59.000 --> 00:04:02.000]  亦都是有錢人
[00:04:02.000 --> 00:04:11.000]  他放膽去求彼拉多取耶穌的屍體然後去埋葬
[00:04:11.000 --> 00:04:14.000]  我們看經文之先
[00:04:14.000 --> 00:04:16.000]  我們先做一個祈禱
[00:04:16.000 --> 00:04:19.000]  用上帝的話語去甦醒我們的心
[00:04:19.000 --> 00:04:23.000]  天父上帝我們將到今天去閱讀
[00:04:23.000 --> 00:04:27.000]  和去領悟從上帝而來的話語
[00:04:27.000 --> 00:04:29.000]  求上帝祢的同在
[00:04:29.000 --> 00:04:31.000]  上帝祢的啟示
[00:04:31.000 --> 00:04:35.000]  在當日怎樣去臨到羅馬的伯夫長
[00:04:35.000 --> 00:04:39.000]  今天都臨到我們每一位去恭敬
[00:04:39.000 --> 00:04:44.000]  並且去領受上帝的話語的眾弟兄姊妹
[00:04:44.000 --> 00:04:48.000]  願講的、聽的、蒙上帝祢自己的恩典
[00:04:48.000 --> 00:04:51.000]  同心禱告奉耶穌基督的名字
[00:04:51.000 --> 00:04:57.000]  我們一起去讀一下段落的經文
[00:04:57.000 --> 00:05:00.000]  就是15章42節
[00:05:00.000 --> 00:05:04.000]  我們一路去讀到47節
[00:05:04.000 --> 00:05:13.000]  「到了晚上,因為這是預備日,就是安息日的前一日。
[00:05:13.000 --> 00:05:23.000]  有阿利瑪泰的約瑟前來,他是尊貴的議員,也是盼望著神國的。
[00:05:23.000 --> 00:05:29.000]  他放膽進去見彼拉多,請求要耶穌的身體。
[00:05:29.000 --> 00:05:39.000]  彼拉多詫異耶穌已經死了,就叫伯夫長來,問他耶穌是不是死了很久。
[00:05:39.000 --> 00:05:47.000]  既從伯夫長得知實情,就把耶穌的身體賜給約瑟。
[00:05:47.000 --> 00:05:52.000]  約瑟買了細麻布,把耶穌取下來,
[00:05:52.000 --> 00:05:59.000]  用細麻布裹好,安放在岩石中作出來的墓穴裡,
[00:05:59.000 --> 00:06:04.000]  又滾來一塊石頭擋住墓門。
[00:06:04.000 --> 00:06:14.000]  活大拉的瑪利亞和約瑟的母親瑪利亞都看見房榻的地方。
[00:06:14.000 --> 00:06:27.000]  阿利瑪泰約瑟前來,在一片耶穌死,被黑暗籠罩的時候,有一個人出來。
[00:06:27.000 --> 00:06:35.000]  上帝為他的兒子安排了阿利瑪泰的約瑟。
[00:06:35.000 --> 00:06:41.000]  當然,上帝有安排,人都要做一個回應。
[00:06:41.000 --> 00:06:51.000]  剛才我們讀的時候,就會看到這一位尊貴的議員,他怎樣去回應。
[00:06:51.000 --> 00:06:57.000]  聖經是記載,是這樣去描述他的,他是盼望著神國的。
[00:06:57.000 --> 00:07:04.000]  即是說,他對於尼賽亞的救恩,神國的臨到,
[00:07:04.000 --> 00:07:09.000]  他是相信的,並且他等候盼望的。
[00:07:09.000 --> 00:07:17.000]  在他的身份,他就勇於進去見比拉多。
[00:07:17.000 --> 00:07:29.000]  因為按照他對救約的認識,釘死十字架的屍體,要在日落之前埋葬。
[00:07:29.000 --> 00:07:38.000]  耶穌斷氣的時候是星期五的三點鐘,猶太人計算每一天的日子,是六點鐘開始計算的。
