
[00:00:00.000 --> 00:00:11.520]  大家好,很高興今天我們又來到四月第一個星期的主日崇拜
[00:00:11.520 --> 00:00:18.400]  今天我們來到大家在祈願之前的最後兩個星期
[00:00:18.400 --> 00:00:24.480]  剛才我們在報告中也說過,我們四月十五就是壽苦節的崇拜
[00:00:24.480 --> 00:00:34.560]  在四月我們也有機會去思想耶穌的人生,特別是祂最後的部分
[00:00:34.560 --> 00:00:43.200]  因為我們說耶穌在當時十字架上不僅僅是被門徒遺棄
[00:00:43.200 --> 00:00:47.920]  甚至是被當初的群眾遺棄
[00:00:47.920 --> 00:00:52.400]  所以我們今天說耶穌被釘的時候
[00:00:52.400 --> 00:00:56.480]  我們今天主要去想的題目就是
[00:00:56.480 --> 00:01:02.880]  當耶穌被人遺棄,祂很孤獨地在十字架上的時候
[00:01:02.880 --> 00:01:05.680]  到底祂有什麼反應呢?
[00:01:05.680 --> 00:01:11.840]  我們當然知道耶穌是一個完全的神,也是一個完全的人
[00:01:11.840 --> 00:01:17.040]  但是我們知道祂也在十字架上遭受了很真實的痛苦
[00:01:17.040 --> 00:01:19.840]  當時的群眾,如果大家記得第一次
[00:01:19.840 --> 00:01:22.720]  三月的時候我第一次去說這個系列的時候
[00:01:22.720 --> 00:01:24.720]  應該會記得很清楚的
[00:01:24.720 --> 00:01:28.160]  就算當時的群眾是多麼的擁護耶穌
[00:01:28.160 --> 00:01:29.680]  多麼的擁戴耶穌
[00:01:29.680 --> 00:01:32.720]  但是結果仍然是
[00:01:32.720 --> 00:01:35.520]  到這一刻裡面,你會看到很多群眾
[00:01:35.520 --> 00:01:40.880]  如果大家看過聖經也知道,他們是叫祂要死在十字架上
[00:01:40.880 --> 00:01:42.880]  讓祂釘死在十字架上
[00:01:43.840 --> 00:01:49.920]  到底耶穌在面對這個時候的經歷,祂可以做些什麼呢?
[00:01:49.920 --> 00:01:56.640]  到底耶穌面對著群眾的唾棄、拋棄
[00:01:56.640 --> 00:01:59.360]  面對著他們的門徒都離棄了祂的時候
[00:01:59.360 --> 00:02:02.240]  到底祂可以做些什麼呢?
[00:02:02.240 --> 00:02:08.320]  所以今天我們就去到思想的段落
[00:02:08.320 --> 00:02:10.720]  去到剛才思想的第一個部分
[00:02:10.720 --> 00:02:17.760]  我們會分兩個星期去到思想耶穌在十字架上的經歷
[00:02:17.760 --> 00:02:20.960]  祂被人離棄的時候,祂怎樣去回應
[00:02:20.960 --> 00:02:24.160]  今天其實想說兩件事
[00:02:24.160 --> 00:02:29.920]  當時的人釘耶穌在十字架上的時候
[00:02:29.920 --> 00:02:33.760]  其實他們很想耶穌展現神蹟
[00:02:33.760 --> 00:02:36.080]  用他們的方法去展現神蹟
[00:02:36.080 --> 00:02:41.840]  接下來我們會看到耶穌為何就算被所有人遺棄也好
[00:02:41.840 --> 00:02:48.240]  他也拒絕去到照這群人所想的方法去表現自己呢?
[00:02:48.240 --> 00:02:50.240]  這就是我們今天會討論的題目
[00:02:50.240 --> 00:02:57.040]  今天的經文主要是在路加福音23章32至43節
[00:02:57.040 --> 00:03:01.680]  其實前面有一個很長的段落去說耶穌被受審
[00:03:01.680 --> 00:03:03.680]  剛才第一段影片播放的部分內容
[00:03:03.680 --> 00:03:08.480]  就是耶穌被祭司受審,當年被判死刑
[00:03:08.480 --> 00:03:13.680]  然後就像剛才那樣被人拉著在街上
[00:03:13.680 --> 00:03:21.600]  好像背著十字架走到他山上釘十字架
[00:03:21.600 --> 00:03:29.280]  其實從耶穌受審到被捕受審以至被釘十字架上
[00:03:29.280 --> 00:03:34.480]  其實最明顯的特徵就是耶穌身邊的人
[00:03:34.480 --> 00:03:39.680]  其實他們都很期待耶穌做一些驚天動地的事情
[00:03:39.680 --> 00:03:46.560]  他們很期望耶穌用神蹟去證明自己的身份、地位和價值
[00:03:46.560 --> 00:03:51.280]  所以這群領袖就去取笑耶穌
[00:03:51.280 --> 00:03:54.080]  當他們帶領耶穌去釘十字架的時候
[00:03:54.080 --> 00:03:58.080]  他們就取笑耶穌,說他是基督
[00:03:58.080 --> 00:04:01.680]  當然我們叫耶穌做基督
[00:04:01.680 --> 00:04:04.880]  但在這裡,如果我們在聖經的時候
[00:04:04.880 --> 00:04:08.880]  其實很多人當時在耶穌被捕受審
[00:04:08.880 --> 00:04:10.880]  以至這裡的部分
[00:04:10.880 --> 00:04:13.680]  當我們叫耶穌做基督的時候
[00:04:13.680 --> 00:04:15.680]  叫做上帝做假孫的時候
[00:04:15.680 --> 00:04:17.680]  當然我們知道不是稱讚他
[00:04:17.680 --> 00:04:24.080]  因為路加已經用了嘲笑這個字眼去說
[00:04:24.080 --> 00:04:27.280]  這些人在嘲笑什麼呢?
[00:04:27.280 --> 00:04:30.480]  在嘲笑耶穌已經被人遺棄
[00:04:30.480 --> 00:04:33.680]  他已經沒有人去擁護他
[00:04:33.680 --> 00:04:37.280]  在當時,不是當時的
[00:04:37.280 --> 00:04:40.080]  今天我們會覺得一個救主
[00:04:40.080 --> 00:04:42.480]  我們有時去想一個有能力
[00:04:42.480 --> 00:04:44.080]  去到所謂拯救別人的人
[00:04:44.080 --> 00:04:45.280]  應該是有能力的
[00:04:45.280 --> 00:04:48.080]  應該可以救自己脫離很多的痛苦
[00:04:48.080 --> 00:04:52.880]  所以被人遺棄的人、被人離棄、沒有追隨的人
[00:04:52.880 --> 00:04:56.880]  是沒有資格叫自己做基督或救主
[00:04:56.880 --> 00:05:01.280]  所以如果我們回想耶穌第一天進入耶路撒冷的時候
[00:05:01.280 --> 00:05:03.280]  其實他前呼後擁
[00:05:03.280 --> 00:05:06.880]  周圍都是他支持的人、門徒
[00:05:06.880 --> 00:05:10.480]  可能很多民眾很期待耶穌去做的工作
[00:05:10.480 --> 00:05:12.880]  大家很期待這樣的形象
[00:05:12.880 --> 00:05:15.680]  如果耶穌是這麼有能力的人
[00:05:15.680 --> 00:05:19.680]  又怎麼可能會受盡羞辱、死於自教呢?
[00:05:19.680 --> 00:05:23.280]  這就是那些人要嘲笑他的事情
[00:05:23.280 --> 00:05:26.080]  所以連冰釘都會笑他
[00:05:26.080 --> 00:05:28.880]  連士兵都會說
[00:05:28.880 --> 00:05:32.880]  為什麼你不救自己呢?你是王啊
[00:05:32.880 --> 00:05:38.080]  我想不少的X-Files都會知道
[00:05:38.080 --> 00:05:43.680]  十字架本身是當時羅馬政權很慘的刑罰
[00:05:43.680 --> 00:05:46.880]  是用來懲罰那些有很大的罪行
[00:05:46.880 --> 00:05:50.080]  甚至是叛國罪行的人
[00:05:50.080 --> 00:05:53.680]  而當時為什麼要釘在塔山上呢?
[00:05:53.680 --> 00:05:56.880]  大家會想,為什麼要這樣給很多群眾看呢?
[00:05:56.880 --> 00:06:00.480]  其實這是當時很刻意的做法
[00:06:00.480 --> 00:06:09.280]  當時政府用這個刑罰去羞辱那些被釘死的人
[00:06:09.280 --> 00:06:11.680]  所以當耶穌接受這個刑罰的時候
[00:06:11.680 --> 00:06:16.480]  其實當時他們會覺得他很無能
[00:06:16.480 --> 00:06:18.480]  很羞辱
[00:06:18.480 --> 00:06:22.080]  完全是無能為力
[00:06:22.080 --> 00:06:26.080]  不能夠自己去救自己
[00:06:26.080 --> 00:06:28.880]  所以當他們的想法是什麼呢?
[00:06:28.880 --> 00:06:32.480]  其實這個想法是今天很多人都這樣想的
[00:06:32.480 --> 00:06:34.880]  為什麼我要信耶穌呢?
[00:06:34.880 --> 00:06:38.880]  如果耶穌站在我面前走神色,我就相信了
[00:06:38.880 --> 00:06:42.080]  其實對當時的人來說,他們一方面嘲笑耶穌
[00:06:42.080 --> 00:06:45.280]  另一方面他們也是在呼應這種想法
[00:06:45.280 --> 00:06:48.080]  一個人要證明自己的價值
[00:06:48.080 --> 00:06:50.480]  就只可以透過他有多少能力
[00:06:50.480 --> 00:06:54.080]  正如耶穌要證明自己的時候,就一定要走神色歧視
[00:06:54.080 --> 00:06:57.080]  他一定要走一些驚天動地的事
[00:06:57.080 --> 00:07:01.080]  否則就沒有人有資格去相信他
[00:07:01.080 --> 00:07:08.880]  但我們看到耶穌是沒有理會到這群人的想法
[00:07:08.880 --> 00:07:12.880]  耶穌是沒有理會他們想要求什麼
[00:07:12.880 --> 00:07:18.480]  耶穌其實沒有直接去回應這群人的要求
[00:07:18.480 --> 00:07:21.480]  甚至是嘲笑的內容
