
[00:00:00.000 --> 00:00:09.000]  主持人:各位弟兄姊妹,大家主內平安
[00:00:09.000 --> 00:00:15.000]  感恩今天可以和大家來分享如何在世上做官
[00:00:15.000 --> 00:00:21.000]  相信這樣一個議題對各位基督徒的弟兄姊妹來說一定不會陌生
[00:00:21.000 --> 00:00:26.000]  大家在平時的小組、團契甚至是各樣的禱告當中
[00:00:26.000 --> 00:00:32.000]  都會聽過我們要做言、做官這樣的一個說法
[00:00:32.000 --> 00:00:38.000]  這樣的一個句子也經常成為我們生命當中的鼓勵
[00:00:38.000 --> 00:00:40.000]  究竟這樣一個句子當中
[00:00:40.000 --> 00:00:44.000]  怎麼樣讓我們可以做好世上的官呢?
[00:00:44.000 --> 00:00:47.000]  我們今天要進入到經文當中
[00:00:47.000 --> 00:00:53.000]  我也願意從四個方面和大家來分享這樣一個議題
[00:00:53.000 --> 00:00:59.000]  當我們來看到《馬太福音》五章第十三和十四節的時候
[00:00:59.000 --> 00:01:06.000]  你就會發現經文裡面沒有說叫你要做官和做言
[00:01:06.000 --> 00:01:10.000]  它裡面直接的經文反而是提醒我們
[00:01:10.000 --> 00:01:17.000]  你們是世上的言,你們是世上的官
[00:01:17.000 --> 00:01:21.000]  所以我們怎麼樣可以做好這樣一個身份呢?
[00:01:21.000 --> 00:01:26.000]  第一點我們要認識、認知自己的身份
[00:01:26.000 --> 00:01:32.000]  明白原來我們就是世上的官和言的時候
[00:01:32.000 --> 00:01:36.000]  我們就可以更好的擺上來做好自己的本份
[00:01:36.000 --> 00:01:37.000]  好,弟兄姊妹
[00:01:37.000 --> 00:01:41.000]  我們一起來禱告前有一個同心合一的禱告
[00:01:41.000 --> 00:01:45.000]  天父上帝我們滿心感謝和讚美你
[00:01:45.000 --> 00:01:49.000]  是你的恩典時時拖待著我們
[00:01:49.000 --> 00:01:52.000]  就算現在疫情依舊困擾著我們
[00:01:52.000 --> 00:01:56.000]  就算這個世界還有很多的一些的壓力
[00:01:56.000 --> 00:01:59.000]  還有很多複雜的境況的時候
[00:01:59.000 --> 00:02:03.000]  主啊,你的恩典從來沒有離開我們
[00:02:03.000 --> 00:02:06.000]  壓力再怎麼樣大,黑暗再怎麼籠罩
[00:02:06.000 --> 00:02:10.000]  越發凸顯到人們對官民的渴求
[00:02:10.000 --> 00:02:14.000]  就讓我們今天主你繼續借用這樣一個主題
[00:02:14.000 --> 00:02:16.000]  跟我們來說話
[00:02:16.000 --> 00:02:21.000]  讓我們明白怎麼樣在世上可以做官
[00:02:21.000 --> 00:02:24.000]  我們把接下來聆聽主你真道的時間
