
[00:00:00.000 --> 00:00:03.000]  各位家人們 弟兄姊妹們 主內平安
[00:00:03.000 --> 00:00:06.000]  感恩主又讓我們相聚在一起
[00:00:06.000 --> 00:00:09.000]  那麼 今天要和大家一起思想的題目
[00:00:09.000 --> 00:00:12.000]  成為主所喜悅的兒女
[00:00:12.000 --> 00:00:15.000]  那麼 這一段的經文呢
[00:00:15.000 --> 00:00:18.000]  來自於舊約的最後一卷的書卷啊
[00:00:18.000 --> 00:00:21.000]  馬拉基書
[00:00:21.000 --> 00:00:24.000]  那麼這一卷書卷呢 也是大家平時
[00:00:24.000 --> 00:00:27.000]  比較容易忽略的一卷的先知書啊
[00:00:27.000 --> 00:00:30.000]  那麼在馬拉基的先知的時代呢
[00:00:30.000 --> 00:00:33.000]  他約在公元前的430年
[00:00:33.000 --> 00:00:36.000]  那麼在當時呢
[00:00:36.000 --> 00:00:39.000]  很多被擄的以色列的漁民呢
[00:00:39.000 --> 00:00:42.000]  已經陸續的歸回了耶路撒冷了
[00:00:42.000 --> 00:00:45.000]  那麼那個時候呢 聖殿及城牆呢
[00:00:45.000 --> 00:00:48.000]  已經完成了重建
[00:00:48.000 --> 00:00:51.000]  有一段比較長的時間
[00:00:51.000 --> 00:00:54.000]  那麼在這個時候呢 神的話語
[00:00:54.000 --> 00:00:57.000]  就又臨到了先知
[00:00:57.000 --> 00:01:00.000]  馬拉基 要和這個
[00:01:00.000 --> 00:01:03.000]  以色列民來說話
[00:01:03.000 --> 00:01:06.000]  在經文中呢 講到了上帝與子民之間
[00:01:06.000 --> 00:01:09.000]  也有父親和孩子之間的
[00:01:09.000 --> 00:01:12.000]  類比啊
[00:01:12.000 --> 00:01:15.000]  那麼講到神的子民呢 上帝會有
[00:01:15.000 --> 00:01:18.000]  管教 講到神的孩子呢
[00:01:18.000 --> 00:01:21.000]  神也有喜愛和厭惡
[00:01:21.000 --> 00:01:24.000]  那麼今天呢 就讓我們藉著這段經文呢
[00:01:24.000 --> 00:01:27.000]  給我們有生命的提醒
[00:01:27.000 --> 00:01:30.000]  正如在今天這段經文
[00:01:30.000 --> 00:01:33.000]  第一章一節裡面這樣說到
[00:01:33.000 --> 00:01:36.000]  耶和華藉馬拉基
