
[00:00:00.000 --> 00:00:02.000]  好,弟兄姐妹平安!
[00:00:02.000 --> 00:00:06.500]  很高興今天能夠跟大家分享聖的話語
[00:00:06.500 --> 00:00:09.500]  那今天的題目是全然成聖
[00:00:09.500 --> 00:00:17.000]  基本來自剛剛讀的那個天上的一家前書第五章第十六到第十八節
[00:00:17.000 --> 00:00:21.500]  其實我們已經來到這卷書的最後一章了
[00:00:21.500 --> 00:00:27.000]  我不知道當中有沒有一直跟著我們去研讀這卷書的
[00:00:27.000 --> 00:00:32.000]  那如果沒有,沒有關係,我現在給你一個很快的背景
[00:00:32.000 --> 00:00:39.000]  天上羅尼迦是一個保羅和他的團隊曾經去過傳福音的地方
[00:00:39.000 --> 00:00:42.000]  在當地有很多人歸向主了
[00:00:42.000 --> 00:00:45.000]  但是當時也有很多攔阻
[00:00:45.000 --> 00:00:51.000]  以至於當地的一些猶太的領袖還有一些政權的問題
[00:00:51.000 --> 00:00:56.500]  以至於他們當時受到壓力的時候就要先離開那個地方
[00:00:56.500 --> 00:00:59.000]  當後來他們就拆開了提摩台
[00:00:59.000 --> 00:01:02.500]  在他們當中看一下他們信得怎麼樣
[00:01:02.500 --> 00:01:07.500]  就發現原來他們是非常的昌盛,信得蠻不錯的
[00:01:07.500 --> 00:01:15.000]  所以這封信就是保羅在後期聽到他們的事情以後再寫給他們的
[00:01:15.000 --> 00:01:18.000]  所以頭第一到第三章
[00:01:18.000 --> 00:01:25.000]  其實他寫的還是一種比較傾族他們的宗臣的一個書信
[00:01:25.000 --> 00:01:27.000]  那個內容
[00:01:27.000 --> 00:01:31.000]  那後面第四到第五章其實說明了
[00:01:31.000 --> 00:01:35.000]  如果我們要繼續跟隨主的時候
[00:01:35.000 --> 00:01:39.500]  我們在成長的那個過程其實還是蠻多的挑戰的
[00:01:39.500 --> 00:01:42.000]  那我們現在到第五章
[00:01:42.000 --> 00:01:45.500]  就是他的結尾還有一些總結
[00:01:45.500 --> 00:01:47.500]  還有他最後的一些教導
[00:01:47.500 --> 00:01:51.500]  所以今天我們要看的就是這個部分
[00:01:51.500 --> 00:01:57.500]  那我們看一下這個成聖的過程
[00:01:57.500 --> 00:02:00.500]  我相信如果在我們當中
[00:02:00.500 --> 00:02:04.000]  絕大部分的應該也是已經絕痴信主了
[00:02:04.000 --> 00:02:07.500]  所以從我們絕痴以後就是悔改
[00:02:07.500 --> 00:02:13.500]  承認我們的罪也願意神來掌管我們的生命的時候
[00:02:13.500 --> 00:02:18.000]  我們這個就是成聖的過程就開始了
[00:02:18.000 --> 00:02:21.500]  然後中間我們就是有一個成聖的過程
[00:02:21.500 --> 00:02:25.500]  就是我們可能以前還活在罪的當中
[00:02:25.500 --> 00:02:28.500]  有很多我們根本就不知道原來得罪神的地方
