
[00:00:00.000 --> 00:00:03.020]  集中姐妹 新年快樂
[00:00:03.020 --> 00:00:05.420]  新年快樂
[00:00:05.420 --> 00:00:07.120]  感謝贊美神
[00:00:07.120 --> 00:00:11.580]  祂真的是帶領我們經過了2021
[00:00:11.580 --> 00:00:13.380]  不但是帶領我們經過
[00:00:13.380 --> 00:00:17.200]  還在某一些方面使我們得勝有餘
[00:00:17.200 --> 00:00:21.360]  真的是賜給我們超出我們所求所想的
[00:00:21.360 --> 00:00:26.100]  甚至帶領我們一起進入2022的時候
[00:00:26.100 --> 00:00:27.960]  我們的人數又增加了
[00:00:27.960 --> 00:00:30.400]  奇妙的上帝 感謝贊美神
[00:00:30.400 --> 00:00:32.780]  就是愛我們的上帝
[00:00:32.780 --> 00:00:35.100]  今天是一個新年崇拜
[00:00:35.100 --> 00:00:37.180]  我很想在這個時候
[00:00:37.180 --> 00:00:40.600]  用今天這篇信息作為新的一年
[00:00:40.600 --> 00:00:44.040]  第一個崇拜 祝福大家新的開始
[00:00:44.040 --> 00:00:48.280]  我們看今天的主題
[00:00:48.280 --> 00:00:49.880]  講到的經文
[00:00:49.880 --> 00:00:52.400]  剛才Kathy姐妹已經幫我們讀過了
[00:00:52.400 --> 00:00:56.760]  要常常喜樂 不住地禱告 凡事謝恩
[00:00:56.760 --> 00:01:02.000]  因為這是神在基督里向你們所定的旨意
[00:01:02.000 --> 00:01:05.120]  我們一起同心禱告
[00:01:05.120 --> 00:01:06.760]  天父上帝啊
[00:01:06.760 --> 00:01:10.760]  我們真的是無法不對禰獻上感恩
[00:01:10.760 --> 00:01:12.080]  但是主啊
[00:01:12.080 --> 00:01:14.760]  我們從哪裡找到足夠的詞彙
[00:01:14.760 --> 00:01:17.640]  來向禰獻上我們的感謝呢?
[00:01:17.640 --> 00:01:19.040]  因為主啊
[00:01:19.040 --> 00:01:22.080]  我們實在是數算禰的恩典的時候
[00:01:22.080 --> 00:01:23.760]  我們就發現主啊
[00:01:23.760 --> 00:01:25.720]  實在是太多太多
[00:01:25.720 --> 00:01:27.520]  我們感謝贊美禰
[00:01:27.520 --> 00:01:29.440]  我們祈求禰祝福今天
[00:01:29.440 --> 00:01:32.080]  來到崇拜的每一個弟兄姐妹
[00:01:32.080 --> 00:01:34.840]  我們祈求禰真的是與大家同在
[00:01:34.840 --> 00:01:38.120]  以致我們這新的一年有新的氣象
[00:01:38.120 --> 00:01:40.680]  有新的祝福 有新的新意
[00:01:40.680 --> 00:01:42.080]  我們感謝贊美禰
[00:01:42.080 --> 00:01:43.480]  求禰與我們同在
[00:01:43.480 --> 00:01:46.160]  禱告奉耶穌基督的聖名祈求
[00:01:46.160 --> 00:01:47.640]  Amen
[00:01:47.640 --> 00:01:51.440]  好 這是我們今天的講到經文
[00:01:51.440 --> 00:01:53.440]  要常常喜樂
[00:01:53.440 --> 00:01:56.040]  那麼新年快樂
[00:01:56.040 --> 00:02:01.680]  如果你問我快樂跟喜樂有沒有分別呢?
[00:02:01.680 --> 00:02:04.520]  我會很勉強地盡量地將它分別
[00:02:04.520 --> 00:02:05.680]  不過我知道呢
[00:02:05.680 --> 00:02:08.760]  基本上是在翻譯上而已
[00:02:08.760 --> 00:02:09.520]  不過呢
[00:02:09.520 --> 00:02:12.080]  就算是翻譯上的分別呢
[00:02:12.080 --> 00:02:13.720]  是快樂跟喜樂
[00:02:13.720 --> 00:02:18.280]  當然有些講員是喜歡把它講到很大的分別
[00:02:18.280 --> 00:02:21.160]  對我來說是字眼上是一樣的
[00:02:21.160 --> 00:02:23.560]  但是概念上可以有很大的分別
[00:02:23.560 --> 00:02:28.960]  概念上可以是我們普通人的快樂
[00:02:28.960 --> 00:02:30.240]  快樂是什麼呢
[00:02:30.240 --> 00:02:32.480]  快樂是一種情緒反應
[00:02:32.480 --> 00:02:37.080]  快樂是你心情感到輕鬆
[00:02:37.080 --> 00:02:40.920]  快樂是你心情會有一種開心的感覺
[00:02:40.920 --> 00:02:43.880]  快樂就是你能夠怎麼樣呢
[00:02:43.880 --> 00:02:47.160]  有時候就不經意地微笑
[00:02:47.160 --> 00:02:49.040]  不會心情沈重
[00:02:49.040 --> 00:02:50.400]  甚至是怎麼樣呢
