
[00:00:00.000 --> 00:00:02.000]  今日的講員很特別
[00:00:02.000 --> 00:00:03.500]  中少年傳道
[00:00:03.500 --> 00:00:05.800]  我們稱他為黃媽媽
[00:00:05.800 --> 00:00:10.000]  是台中榮忠禮拜堂寶貝班的創辦人
[00:00:10.000 --> 00:00:15.600]  在20年前在台灣舉辦特兒親子的福音營
[00:00:15.600 --> 00:00:20.600]  女兒誕生後經歷了不一樣的人生經歷
[00:00:20.600 --> 00:00:24.000]  我們很盼望從他們一家的口中
[00:00:24.000 --> 00:00:27.000]  看到上帝如何帶領他們
[00:00:27.000 --> 00:00:28.600]  如何使用他們
[00:00:28.600 --> 00:00:30.600]  歡迎你們來到我們中間
[00:00:30.600 --> 00:00:32.600]  我們給掌聲鼓勵
[00:00:32.600 --> 00:00:35.600]  交給他們介紹自己
[00:00:35.600 --> 00:00:37.600]  所以今天會是國語的
[00:00:37.600 --> 00:00:40.600]  所以我們會預備轉Channel
[00:00:40.600 --> 00:00:44.200]  好,你們大概都第一次看我
[00:00:44.200 --> 00:00:47.000]  可是我是第三次來到港福堂
[00:00:47.000 --> 00:00:49.000]  第一次是五中文牧師
[00:00:49.000 --> 00:00:52.000]  你們都不知道你們的孫敬明牧師
[00:00:52.000 --> 00:00:56.400]  是我人生第一個廣東話的翻譯
[00:00:56.400 --> 00:00:58.800]  以前我到香港各教會去
[00:00:58.800 --> 00:01:00.800]  我的旁邊都站的是誰啊
[00:01:00.800 --> 00:01:01.800]  孫敬明
[00:01:01.800 --> 00:01:05.600]  人家說他簡直就是黃媽媽的分身
[00:01:05.600 --> 00:01:07.800]  他真的翻譯得很棒
[00:01:07.800 --> 00:01:12.200]  好,我今天要來跟你們講一個故事
[00:01:12.200 --> 00:01:14.800]  但是我先介紹我的女兒好嗎
[00:01:14.800 --> 00:01:17.400]  其實等一下我的女兒跟她的爸爸
[00:01:17.400 --> 00:01:19.400]  他會來跟你們唱一首歌
[00:01:19.400 --> 00:01:23.000]  然後你們不要不專注的聽
[00:01:23.000 --> 00:01:24.000]  因為怎樣
[00:01:24.000 --> 00:01:26.400]  他在全世界被人家稱為怎樣
[00:01:26.400 --> 00:01:28.000]  天使歌手
[00:01:28.000 --> 00:01:30.000]  他都到了高中
[00:01:30.000 --> 00:01:32.000]  他講話人家都聽不懂
[00:01:32.000 --> 00:01:34.000]  他本來一生不看好
[00:01:34.000 --> 00:01:36.000]  他能夠活到二十歲
[00:01:36.000 --> 00:01:37.000]  他今年幾歲
[00:01:37.000 --> 00:01:39.000]  三十八歲
[00:01:39.000 --> 00:01:41.000]  而且每一次他唱歌都怎樣
[00:01:41.000 --> 00:01:42.400]  好感動人
[00:01:42.400 --> 00:01:46.400]  好,人類歷史上最偉大的事情是什麼嗎
[00:01:46.400 --> 00:01:48.400]  其實都跟聖經有關
[00:01:48.400 --> 00:01:51.800]  就是耶穌被釘死在獅子腳
[00:01:51.800 --> 00:01:53.800]  這是非常不公平的
[00:01:53.800 --> 00:01:58.000]  一個神的愛子沒有犯任何的罪
[00:01:58.000 --> 00:02:01.000]  卻被釘死在獅子腳上
[00:02:01.000 --> 00:02:03.600]  耶穌在獅子腳上的寶血
[00:02:03.600 --> 00:02:06.000]  洗淨我們每一個人的罪
[00:02:06.000 --> 00:02:10.000]  讓我們可以跟上帝重新的和好
[00:02:10.000 --> 00:02:11.000]  你知道嗎
[00:02:11.000 --> 00:02:13.600]  耶穌在羅馬的時代
[00:02:13.600 --> 00:02:14.800]  是冰釘啊
[00:02:14.800 --> 00:02:18.000]  把耶穌的手釘那個很大的鐵釘
[00:02:18.000 --> 00:02:21.000]  然後就把他槌掛在獅子腳上
[00:02:21.000 --> 00:02:23.000]  然後烈日就曝曬
[00:02:23.000 --> 00:02:25.000]  他會一直這樣滴血
