
[00:00:00.000 --> 00:00:02.240]  訂姐妹平安
[00:00:02.240 --> 00:00:06.160]  我第一次跟大家講
[00:00:06.160 --> 00:00:07.320]  不敗的溝通
[00:00:07.320 --> 00:00:08.080]  1
[00:00:08.080 --> 00:00:12.440]  有1即是有2
[00:00:12.440 --> 00:00:14.600]  為什麼要講溝通呢
[00:00:14.600 --> 00:00:17.200]  因為我發現
[00:00:17.200 --> 00:00:18.480]  在我們中間
[00:00:18.480 --> 00:00:20.160]  explorer中間
[00:00:20.160 --> 00:00:26.120]  有人會因為溝通的問題而離開
[00:00:26.120 --> 00:00:28.680]  為什麼會溝通的問題而離開呢
[00:00:28.680 --> 00:00:30.400]  有人會因為溝通的問題而離開
[00:00:30.400 --> 00:00:35.760]  因為沒有好好地彼此聊天
[00:00:35.760 --> 00:00:38.680]  或者不關你的事
[00:00:38.680 --> 00:00:40.320]  你又去跟別人聊天
[00:00:40.320 --> 00:00:41.840]  關你的事的時候
[00:00:41.840 --> 00:00:43.120]  你又不聊天
[00:00:43.120 --> 00:00:45.400]  我們一起聽聽
[00:00:45.400 --> 00:00:50.120]  到底溝通是什麼一回事
[00:00:50.120 --> 00:00:53.600]  溝通到底是不是很老套
[00:00:53.600 --> 00:00:55.520]  是不是不說話
[00:00:55.520 --> 00:00:59.280]  這個世界就平靜了呢
[00:00:59.280 --> 00:01:00.640]  又不是
[00:01:00.640 --> 00:01:02.920]  我們看看聖經一起讀
[00:01:02.920 --> 00:01:04.200]  在《雅各書》裏面
[00:01:04.200 --> 00:01:06.800]  一章19節裏面這樣說
[00:01:06.800 --> 00:01:08.400]  怎樣說呢
[00:01:08.400 --> 00:01:11.080]  我親愛的弟兄們
[00:01:11.080 --> 00:01:12.960]  你們要明白
[00:01:12.960 --> 00:01:16.760]  你們每一個人要快快地聽
[00:01:16.760 --> 00:01:18.440]  慢慢地說
[00:01:18.440 --> 00:01:20.880]  慢慢地動腦
[00:01:20.880 --> 00:01:22.720]  在聖經裏面說
[00:01:22.720 --> 00:01:26.280]  叫我們快快地聽
[00:01:26.280 --> 00:01:27.720]  快快地聽
[00:01:27.720 --> 00:01:31.200]  即是叫我們積極地聽
[00:01:31.200 --> 00:01:32.200]  怎樣聽呢
[00:01:32.200 --> 00:01:36.720]  積極地留心聽另一個人說話
[00:01:36.720 --> 00:01:40.360]  你要完全專注地聽他說話
[00:01:40.360 --> 00:01:44.000]  而不是一邊打機一邊聽
[00:01:44.000 --> 00:01:46.200]  我講到啦
[00:01:46.200 --> 00:01:48.280]  真是第一個已經教了
[00:01:48.280 --> 00:01:51.000]  快快地聽
[00:01:51.000 --> 00:01:53.520]  我講得很快
[00:01:53.520 --> 00:01:54.760]  一會兒就完
[00:01:54.760 --> 00:01:56.800]  15分鐘給我
[00:01:56.800 --> 00:01:57.720]  接著
[00:01:57.720 --> 00:02:00.480]  溝通是跟別人分享
[00:02:00.480 --> 00:02:03.960]  一些資訊和心情的過程
[00:02:03.960 --> 00:02:08.360]  今天我就和你分享一些資訊
[00:02:08.360 --> 00:02:12.400]  在《針研》18章13節裏面這樣說
[00:02:12.400 --> 00:02:15.080]  未聽完就回話
[00:02:15.080 --> 00:02:18.040]  就是他的愚昧和羞辱
[00:02:18.040 --> 00:02:21.120]  當你和別人溝通的時候
