
[00:00:00.000 --> 00:00:03.840]  今天的講題是誰關心
[00:00:03.840 --> 00:00:08.120]  你們有沒有想到約拿書第三章
[00:00:08.120 --> 00:00:11.480]  跟這三個字的講題有什麼關係
[00:00:11.480 --> 00:00:17.680]  在開始之前我想問一個問題
[00:00:17.680 --> 00:00:25.520]  在座大家有沒有人沒有智能電話
[00:00:25.520 --> 00:00:28.120]  有沒有人沒有
[00:00:29.680 --> 00:00:31.360]  是嗎?沒有吧?
[00:00:31.360 --> 00:00:35.760]  OK 非常好
[00:00:35.760 --> 00:00:38.200]  我們說在這裡
[00:00:38.200 --> 00:00:43.280]  這麼多人之中原來也有人沒有智能電話
[00:00:43.280 --> 00:00:45.720]  其他人是不是也有
[00:00:45.720 --> 00:00:49.200]  是智能電話
[00:00:49.200 --> 00:00:50.640]  OK 好奇
[00:00:50.640 --> 00:00:53.080]  有的可以拿出來嗎
[00:00:53.080 --> 00:00:55.360]  有沒有
[00:00:55.360 --> 00:00:57.360]  有沒有
[00:00:57.360 --> 00:00:59.480]  有的吧
[00:01:00.320 --> 00:01:01.320]  OK
[00:01:01.320 --> 00:01:05.160]  大家都有智能電話
[00:01:05.160 --> 00:01:07.480]  現在是什麼模式
[00:01:07.480 --> 00:01:11.320]  你們的電話是什麼模式
[00:01:11.320 --> 00:01:14.720]  還有呢
[00:01:14.720 --> 00:01:19.000]  OK 還有沒有
[00:01:19.000 --> 00:01:21.920]  有沒有人真的關掉電話
[00:01:21.920 --> 00:01:23.800]  非常好
[00:01:23.800 --> 00:01:25.240]  OK
[00:01:25.240 --> 00:01:29.160]  我現在想邀請你們
[00:01:29.840 --> 00:01:31.400]  關掉電話
[00:01:31.400 --> 00:01:35.000]  非常好
[00:01:35.000 --> 00:01:37.920]  關掉電話
[00:01:37.920 --> 00:01:41.320]  去專心聽神的話語
[00:01:41.320 --> 00:01:44.240]  可不可以
[00:01:44.240 --> 00:01:48.880]  關不關
[00:01:48.880 --> 00:01:52.040]  或者不關了轉去震機
[00:01:52.040 --> 00:01:53.720]  放進你們的袋子裡
[00:01:53.720 --> 00:01:55.120]  不可以在手上
[00:01:55.120 --> 00:01:56.120]  可以嗎
[00:01:58.840 --> 00:01:59.840]  可不可以
[00:01:59.840 --> 00:02:05.200]  在你手上的電話
[00:02:05.200 --> 00:02:07.920]  我邀請你們要不關掉震機
[00:02:07.920 --> 00:02:09.720]  要不放進袋子裡
[00:02:09.720 --> 00:02:11.360]  不要在手上
[00:02:11.360 --> 00:02:16.640]  你們記住這一刻我和你們說這句話
[00:02:16.640 --> 00:02:18.000]  你有什麼感受
[00:02:18.000 --> 00:02:25.200]  我叫你去關掉手機
[00:02:26.680 --> 00:02:28.400]  其實你們會不會想到
[00:02:28.400 --> 00:02:31.200]  為什麼Pastor Ronica這麼兇
[00:02:31.200 --> 00:02:33.120]  或者想
[00:02:33.120 --> 00:02:35.640]  我不喜歡關掉電話
[00:02:35.640 --> 00:02:37.560]  或者你會這樣想
[00:02:37.560 --> 00:02:39.640]  關不關
[00:02:39.640 --> 00:02:43.880]  和我聽不聽你講神的話有什麼關係
[00:02:43.880 --> 00:02:45.400]  你會這樣想嗎
[00:02:45.400 --> 00:02:47.320]  又或者你會
[00:02:47.320 --> 00:02:48.760]  好吧 我關掉電話
[00:02:48.760 --> 00:02:52.400]  但其實不是心甘情願的
[00:02:54.840 --> 00:02:58.320]  你們會不會覺得這一刻
[00:02:58.320 --> 00:03:02.840]  和你們這兩個星期聽到若嵐的反應
[00:03:02.840 --> 00:03:04.400]  是有點相似
[00:03:04.400 --> 00:03:10.240]  是不是你聽了的東西
[00:03:10.240 --> 00:03:12.480]  你真的會聽會做呢
[00:03:12.480 --> 00:03:17.880]  還是你不聽你不做
[00:03:17.880 --> 00:03:19.760]  其實是意味著
[00:03:19.760 --> 00:03:23.360]  你的選擇才是最重要呢
[00:03:24.240 --> 00:03:26.760]  我看到你們繼續用
[00:03:26.760 --> 00:03:27.760]  我沒有所謂
[00:03:27.760 --> 00:03:29.520]  你們可以繼續用
[00:03:29.520 --> 00:03:31.760]  我們可以一起去
[00:03:31.760 --> 00:03:34.400]  現在的年輕人很厲害
[00:03:34.400 --> 00:03:35.480]  Multitask
[00:03:35.480 --> 00:03:36.560]  可以看著電話
[00:03:36.560 --> 00:03:39.000]  又可以聽到神的話
[00:03:39.000 --> 00:03:39.920]  是的 可以
