
[00:00:00.000 --> 00:00:01.400]  各位電影姐妹早晨
[00:00:01.400 --> 00:00:08.360]  2024年香港話劇團上演了一套原創的話劇
[00:00:08.360 --> 00:00:12.000]  名字叫做《使命必達》
[00:00:12.000 --> 00:00:17.600]  內容是講述香港有九位年青女孩
[00:00:17.600 --> 00:00:19.320]  她們有一個心志
[00:00:19.320 --> 00:00:21.680]  就是去到西伯利亞一個小鎮
[00:00:21.680 --> 00:00:24.960]  去送聖誕禮物
[00:00:24.960 --> 00:00:29.760]  這個小鎮的氣溫是零下70度
[00:00:29.760 --> 00:00:33.760]  所以有這個任務
[00:00:33.760 --> 00:00:36.440]  有九個人一起有這個心志
[00:00:36.440 --> 00:00:39.120]  於是她們就要有很多的鍛鍊
[00:00:39.120 --> 00:00:40.720]  不單止是體魄
[00:00:40.720 --> 00:00:42.960]  也都在心志上
[00:00:42.960 --> 00:00:47.640]  就是堅毅就要這樣去做鍛鍊
[00:00:47.640 --> 00:00:52.760]  如果神給我們的人生
[00:00:52.760 --> 00:00:54.760]  都有一個大的使命
[00:00:54.760 --> 00:00:58.480]  我們願意跟隨祂的吩咐
[00:00:58.480 --> 00:01:01.720]  又願意做足夠的準備
[00:01:01.720 --> 00:01:03.720]  又願意出發
[00:01:03.720 --> 00:01:06.920]  你認為這個使命
[00:01:06.920 --> 00:01:09.920]  神給我們的任務是否可以完成呢?
[00:01:09.920 --> 00:01:14.400]  大家可以在心裏給自己一個答案
[00:01:14.400 --> 00:01:16.080]  我見到一些笑容
[00:01:16.080 --> 00:01:19.880]  這些笑容可能代表你們都相信
[00:01:19.880 --> 00:01:22.440]  神給我們人生有使命
[00:01:22.440 --> 00:01:24.440]  我們願意聽
[00:01:24.440 --> 00:01:28.200]  願意跟順帝給我們有什麼準備
[00:01:28.200 --> 00:01:29.920]  還有要起行
[00:01:29.920 --> 00:01:30.920]  不是坐在那裏
[00:01:30.920 --> 00:01:32.920]  這樣一個使命必達
[00:01:32.920 --> 00:01:36.200]  今年教會的門訓系列崇拜
[00:01:36.200 --> 00:01:38.200]  就會讀文素記
[00:01:38.200 --> 00:01:41.960]  這本書是舊約第四卷的書
[00:01:41.960 --> 00:01:46.000]  這樣會不會可以讀到簡稱
