
[00:00:00.000 --> 00:00:03.000]  各位弟兄姐妹 開心又和大家相聚
[00:00:03.000 --> 00:00:06.000]  感恩是神的恩典 讓我們成為祂的兒女
[00:00:06.000 --> 00:00:09.000]  那麼今天我們逐日相聚
[00:00:09.000 --> 00:00:12.000]  要特別和大家一起來思想的一個主題
[00:00:12.000 --> 00:00:15.000]  我要向山舉目
[00:00:15.000 --> 00:00:18.000]  出自這一篇的詩篇呢
[00:00:18.000 --> 00:00:21.000]  相信一部分在我們教會大家庭成長的弟兄姐妹
[00:00:21.000 --> 00:00:24.000]  都會有很多的感受
[00:00:24.000 --> 00:00:27.000]  那今天我們就來分享一下
[00:00:27.000 --> 00:00:30.000]  教會大家庭成長的弟兄姐妹
[00:00:30.000 --> 00:00:33.000]  都不會陌生
[00:00:33.000 --> 00:00:36.000]  來自詩篇的一百二十一篇
[00:00:36.000 --> 00:00:39.000]  也有很多的小朋友呢
[00:00:39.000 --> 00:00:42.000]  會唱這首的兒童主義學的詩歌
[00:00:42.000 --> 00:00:45.000]  一起舉目 一起來讚美神
[00:00:45.000 --> 00:00:48.000]  那麼當大家來誦讀這篇詩篇的時候
[00:00:48.000 --> 00:00:51.000]  如果大家留意呢
[00:00:51.000 --> 00:00:54.000]  會發現在這詩篇的旁邊
[00:00:54.000 --> 00:00:57.000]  有四個小字
[00:00:57.000 --> 00:01:00.000]  叫做善行之詩
[00:01:00.000 --> 00:01:03.000]  那麼為什麼會稱為善行之詩呢
[00:01:03.000 --> 00:01:06.000]  是當時很多的朝聖者
[00:01:06.000 --> 00:01:09.000]  從不同的地方要去到耶路撒冷
[00:01:09.000 --> 00:01:12.000]  這個高山所在的一個地區
[00:01:12.000 --> 00:01:15.000]  西安山的地方的時候
[00:01:15.000 --> 00:01:18.000]  就會特別誦讀這樣一個詩篇
[00:01:18.000 --> 00:01:21.000]  其中經文的意義呢
[00:01:21.000 --> 00:01:24.000]  更加帶出了一個朝聖之旅的意義
[00:01:24.000 --> 00:01:27.000]  更加帶來一個生命的反省
[00:01:27.000 --> 00:01:30.000]  求主也帶領我們今天的聽道
[00:01:30.000 --> 00:01:33.000]  來重整我們的生命
[00:01:33.000 --> 00:01:36.000]  我們一起來禱告
[00:01:36.000 --> 00:01:39.000]  天父上帝我們感恩感謝你
[00:01:39.000 --> 00:01:42.000]  你帶領我們的人生道路
[00:01:42.000 --> 00:01:45.000]  當我們每一次相聚的時候
[00:01:45.000 --> 00:01:48.000]  都讓我們好像一次的朝聖之旅一樣
[00:01:48.000 --> 00:01:51.000]  來朝見你
[00:01:51.000 --> 00:01:54.000]  來明白我們來的目的
[00:01:54.000 --> 00:01:57.000]  更加清楚我們人生的意義
[00:01:57.000 --> 00:02:00.000]  願我口中的言語
[00:02:00.000 --> 00:02:03.000]  眾弟兄姊妹的心懷意念
[00:02:03.000 --> 00:02:06.000]  都得蒙天父上帝你的願啊
