
[00:00:00.000 --> 00:00:02.000]  各位explorer早晨
[00:00:02.000 --> 00:00:05.000]  你應該第三個星期見到我
[00:00:05.000 --> 00:00:08.000]  坦白說我都沒有期望今個星期站在這裡
[00:00:08.000 --> 00:00:11.000]  因為我知道有些人已經覺得很悶
[00:00:11.000 --> 00:00:12.000]  想轉一下人聽
[00:00:12.000 --> 00:00:14.000]  所以大家記住紀念
[00:00:14.000 --> 00:00:16.000]  特別是Pastor Gavin
[00:00:16.000 --> 00:00:18.000]  他還需要時間去康復
[00:00:18.000 --> 00:00:20.000]  雖然症狀減了一點
[00:00:20.000 --> 00:00:22.000]  但都是需要禱告的
[00:00:22.000 --> 00:00:25.000]  希望下星期主約願意
[00:00:25.000 --> 00:00:27.000]  如果我們有Pastor Johnny
[00:00:27.000 --> 00:00:30.000]  或者Pastor Gavin在中間
[00:00:30.000 --> 00:00:34.000]  大家暫時一兩個星期不用再見到我
[00:00:34.000 --> 00:00:37.000]  希望大家如果覺得悶就bear with me
[00:00:37.000 --> 00:00:39.000]  即是今個時間
[00:00:39.000 --> 00:00:40.000]  我都會盡量短一點
[00:00:40.000 --> 00:00:43.000]  因為知道大家很心急想去outing
[00:00:43.000 --> 00:00:46.000]  雖然去outing我開心
[00:00:46.000 --> 00:00:52.000]  但這個時間我們都一起去學習關於上帝的說話
[00:00:52.000 --> 00:00:55.000]  所以今天我們來到提摩太前書院
[00:00:55.000 --> 00:00:59.000]  最後一個講道的部分
[00:00:59.000 --> 00:01:01.000]  我之前講了兩個星期
[00:01:01.000 --> 00:01:03.000]  很簡單的recap就是
[00:01:03.000 --> 00:01:06.000]  雖然這本是一本有點悶的書
[00:01:06.000 --> 00:01:09.000]  我想聖經也有一些很悶的書
[00:01:09.000 --> 00:01:12.000]  我想就算大家不是很熟悉聖經
[00:01:12.000 --> 00:01:15.000]  你都會知道有些書很難明白
[00:01:15.000 --> 00:01:17.000]  好像不關我的事
[00:01:17.000 --> 00:01:21.000]  我相信我們中間的mentor可能都有點同感
[00:01:21.000 --> 00:01:23.000]  為什麼要講這本書呢?
[00:01:23.000 --> 00:01:26.000]  我想雖然他好像很悶
[00:01:26.000 --> 00:01:28.000]  雖然這本書有很多內容
[00:01:28.000 --> 00:01:30.000]  好像和我們有點懸
[00:01:30.000 --> 00:01:32.000]  但裡面有些原則
[00:01:32.000 --> 00:01:33.000]  有些想法
[00:01:33.000 --> 00:01:34.000]  可能對今天
[00:01:34.000 --> 00:01:38.000]  就算我們只是一個青少年也好
[00:01:38.000 --> 00:01:39.000]  都有些提醒
[00:01:39.000 --> 00:01:41.000]  所以為什麼會繼續講呢?
[00:01:41.000 --> 00:01:44.000]  還有為什麼今天會講他呢?
[00:01:44.000 --> 00:01:46.000]  就是這個原因
[00:01:46.000 --> 00:01:50.000]  所以今天就來到提摩太前書院最後一個講道
[00:01:50.000 --> 00:01:55.000]  所以今天就來到提摩太前書院最後一章的部分
[00:01:55.000 --> 00:01:56.000]  小小recap的話
[00:01:56.000 --> 00:02:00.000]  這本書是講提摩太
[00:02:00.000 --> 00:02:05.000]  保羅教提摩太如何處理在異忽所裡面的問題
[00:02:05.000 --> 00:02:10.000]  我想就算沒有聽完兩個sermon的explorer
[00:02:10.000 --> 00:02:12.000]  你們如果是junior小組
[00:02:12.000 --> 00:02:14.000]  都會有少少接觸到這本書
[00:02:14.000 --> 00:02:17.000]  提摩太前書去面對的教會
[00:02:17.000 --> 00:02:21.000]  有很多奇怪的道理
[00:02:21.000 --> 00:02:24.000]  有些人的道德和生活很有問題
[00:02:24.000 --> 00:02:26.000]  所以要去處理
[00:02:26.000 --> 00:02:27.000]  這本書是一卷
[00:02:27.000 --> 00:02:28.000]  的確多些規則
[00:02:28.000 --> 00:02:33.000]  多些去講我們應該怎樣做基督徒的例子
[00:02:33.000 --> 00:02:39.000]  但裡面也有些事情值得我們去反思去思考
[00:02:39.000 --> 00:02:41.000]  今天主要講第六章
[00:02:41.000 --> 00:02:44.000]  第六章是結尾的部分
[00:02:44.000 --> 00:02:46.000]  保羅在結尾的部分
[00:02:46.000 --> 00:02:50.000]  再次講當時的教會是有些不好的人
[00:02:50.000 --> 00:02:53.000]  當時的假教師
[00:02:53.000 --> 00:02:57.000]  或者今天可能講一些不對的道理的人
[00:02:57.000 --> 00:03:00.000]  後面就講到保羅叫提摩太
[00:03:00.000 --> 00:03:02.000]  怎樣才算是好的基督徒呢
[00:03:02.000 --> 00:03:04.000]  如果提摩太是一個領袖
