
[00:00:00.000 --> 00:00:11.520]  主持人:各位弟兄姐妹 大家逐內平安
[00:00:11.520 --> 00:00:15.740]  很感恩我們又在逐日的崇拜當中相聚
[00:00:15.740 --> 00:00:19.080]  今天要和大家一起思想的題目
[00:00:19.080 --> 00:00:20.900]  來自於我們的主題
[00:00:20.900 --> 00:00:23.940]  一個特別的另外一個複合的名字
[00:00:23.940 --> 00:00:26.100]  耶和華尼西
[00:00:26.100 --> 00:00:30.480]  那麼相信剛才主席帶領我們讀出的這段經文
[00:00:30.480 --> 00:00:32.560]  大家一定不會陌生
[00:00:32.560 --> 00:00:35.980]  它來自於摩西舉手
[00:00:35.980 --> 00:00:40.640]  那麼帶領以色列民就戰勝亞馬利人的記載
[00:00:40.640 --> 00:00:45.680]  那麼同樣我們個人都會面臨各樣的征戰
[00:00:45.680 --> 00:00:52.080]  我們大家一起還在這一場對疫情的征戰當中
[00:00:52.080 --> 00:00:56.480]  盼望今天的經文能夠給我們鼓勵和提醒
[00:00:56.480 --> 00:00:58.680]  盼望神向我們來說話
[00:00:58.680 --> 00:01:00.480]  我們一起來禱告
[00:01:00.480 --> 00:01:04.280]  天父我們感謝你
[00:01:04.280 --> 00:01:06.780]  在各樣的境況當中
[00:01:06.780 --> 00:01:10.380]  你都帶領我們來建立我們的生命
[00:01:10.380 --> 00:01:14.980]  主啊 面對各樣征戰的時候
[00:01:14.980 --> 00:01:17.280]  我們就注目向你
[00:01:17.280 --> 00:01:21.780]  看到你給我們的憐憫慈愛醫治和幫助
[00:01:21.780 --> 00:01:25.880]  以至於我們其中就建立我們的生命
[00:01:25.880 --> 00:01:30.780]  我們也把今天我們聆聽主你真道的環節
[00:01:30.780 --> 00:01:34.080]  恭敬交託在主你的手中
[00:01:34.080 --> 00:01:37.480]  主啊 願我口中的言語
[00:01:37.480 --> 00:01:40.480]  眾弟兄姐妹的心懷意念
[00:01:40.480 --> 00:01:43.480]  都得蒙天父上帝你的願啊
[00:01:43.480 --> 00:01:45.480]  同心合一地禱告
[00:01:45.480 --> 00:01:49.280]  奉我主耶穌基督得勝的名而求
[00:01:49.280 --> 00:01:51.780]  阿們
[00:01:51.780 --> 00:01:57.780]  好 那麼剛才主席帶領我們讀出經文的時候
[00:01:57.780 --> 00:02:01.780]  就把這一個時間的背景在的地方
[00:02:01.780 --> 00:02:04.780]  給我們有一個概括式的總結
[00:02:04.780 --> 00:02:07.780]  我們看到第八節的時候就發現
[00:02:07.780 --> 00:02:11.780]  亞馬利人就來到這個利菲丁
[00:02:11.780 --> 00:02:14.780]  就和以色列人征戰
[00:02:14.780 --> 00:02:17.280]  說到這個地方利菲丁
[00:02:17.280 --> 00:02:19.280]  大家一定不會陌生
[00:02:19.280 --> 00:02:23.780]  如果大家再看17章1到7節的記載
[00:02:23.780 --> 00:02:25.780]  也會更加的明顯
[00:02:25.780 --> 00:02:31.280]  就會發現到當時百姓來到這個地方
[00:02:31.280 --> 00:02:36.780]  經歷了磐石出水這樣一個神蹟
[00:02:36.780 --> 00:02:39.280]  其實在整個過程當中
[00:02:39.280 --> 00:02:41.280]  以色列的權貴眾
[00:02:41.280 --> 00:02:45.780]  都是按照耶和華的吩咐來行的
[00:02:45.780 --> 00:02:48.780]  但是來到這樣一個特別的情況
[00:02:48.780 --> 00:02:53.280]  安寧的時候卻發現了沒有水喝
[00:02:53.280 --> 00:02:56.280]  那麼就是一個水源的問題
[00:02:56.280 --> 00:03:00.280]  卻帶來了很多的試探和紛爭
[00:03:00.280 --> 00:03:02.280]  甚至於在解決了
[00:03:02.280 --> 00:03:06.280]  以色列人喝水危機的情況下
[00:03:06.280 --> 00:03:09.280]  那麼摩西又把這個地方
[00:03:09.280 --> 00:03:13.780]  起名叫做Masa又叫米利巴
[00:03:13.780 --> 00:03:16.780]  因為以色列人在這裡爭鬧
[00:03:16.780 --> 00:03:19.780]  又因他們試探耶和華
[00:03:19.780 --> 00:03:22.780]  耶和華在我們中間不是
[00:03:22.780 --> 00:03:26.780]  有這樣一種各樣的生命的表現就出來了
[00:03:26.780 --> 00:03:30.780]  生命的軟弱各項都發散了出來
[00:03:30.780 --> 00:03:32.780]  從中我們也可以看到
[00:03:32.780 --> 00:03:35.280]  因這一場水源危機
[00:03:35.280 --> 00:03:38.280]  引致於帶來了帶領的危機
[00:03:38.280 --> 00:03:40.780]  大家都向摩西發怨言
[00:03:40.780 --> 00:03:43.780]  以至於更加引申到
[00:03:43.780 --> 00:03:46.780]  變成了一場信仰的危機
[00:03:46.780 --> 00:03:49.780]  開始試探他們的生命
[00:03:49.780 --> 00:03:54.780]  耶和華在我們中間不是呢
[00:03:54.780 --> 00:03:58.780]  所以我們看到這個時候的以色列民
[00:03:58.780 --> 00:04:03.780]  進入了一場內憂外患之中
[00:04:03.780 --> 00:04:06.780]  其中內憂當然就是沒有水喝
[00:04:06.780 --> 00:04:08.780]  這個是表面上看來
[00:04:08.780 --> 00:04:10.780]  當然在解除了這樣一個
[00:04:10.780 --> 00:04:12.780]  淫水危機的時候
[00:04:12.780 --> 00:04:16.780]  還可以看到其中的以色列民眾
[00:04:16.780 --> 00:04:20.780]  他們在其中有爭鬧也有懷疑
[00:04:20.780 --> 00:04:22.780]  還有外患
[00:04:22.780 --> 00:04:25.780]  外患就看到亞馬利人
[00:04:25.780 --> 00:04:27.780]  強敵這個時候又來襲
[00:04:27.780 --> 00:04:31.780]  他們要面對這一場的真戰
[00:04:31.780 --> 00:04:34.780]  那麼這一場的真戰還是以色列民
[00:04:34.780 --> 00:04:38.780]  在曠野當中的第一次真戰
[00:04:38.780 --> 00:04:40.780]  以前所有遇到的困難
[00:04:40.780 --> 00:04:42.780]  都是神在帶領
[00:04:42.780 --> 00:04:44.780]  他們只是跟隨
[00:04:44.780 --> 00:04:46.780]  就解決了這樣的危機
[00:04:46.780 --> 00:04:49.780]  包括埃及時代也是
[00:04:49.780 --> 00:04:51.780]  包括他們過紅海也是
[00:04:51.780 --> 00:04:54.780]  那麼神就讓他們渡過了紅海
[00:04:54.780 --> 00:04:56.780]  就讓紅海的水合起來
[00:04:56.780 --> 00:04:59.780]  把法老的軍兵把他們除滅
[00:04:59.780 --> 00:05:01.780]  以色列民呢
[00:05:01.780 --> 00:05:04.780]  真正第一次正面面對
